手招く てまねく	27-4375-B
手指 しゅし	119-1523-B
手捌き てさばき	139-5786-B,182-4290-B
手捕り てどり	266-1976-B
手掌 しゅしょう	211-3823-B,211-3871-B
手掛かり てがかり	139-4576-B,168-1870-B,263-0-B,311-972-B,311-3887-B
手掛ける てがける	139-5329-B,182-959-B,242-1697-B
手掛り てがかり	139-4613-B,168-1902-B,263-34-B,311-1006-B,311-3921-B
手控え てびかえ	187-1221-B
手控える てびかえる	246-1108-B
手掴み てづかみ	135-5040-B
手提げ てさげ	139-3894-B
手提げ袋 てさげぶくろ	139-3924-B
手提げ鞄 てさげかばん	36-1912-B
手摺 てすり	140-203-B
手摺り てすり	140-231-B
手放し てばなし	205-5132-B
手放す てばなす	248-384-B,248-2543-B,267-978-B
手数 てかず	315-162-B
手数 てすう	139-5820-B,169-5092-B,315-189-B
手数料 てすうりょう	55-5351-B
手斧 ちょうな	7-3432-B
手斧 ておの	7-3459-B
手旗信号 てばたしんごう	267-1529-B
手早い てばやい	199-3001-B
手本 てほん	192-463-B,214-4473-B
手柄 てがら	4-2326-B,116-4212-B
手桶 ておけ	37-4282-B,211-412-B
手機 てばた	139-5882-B
手段 しゅだん	185-4200-B,330-1049-B
手法 しゅほう	303-3942-B
手洗い てあらい	171-4737-B,253-2863-B
手洗い鉢 てあらいばち	329-2398-B
手淫 しゅいん	184-3183-B,205-1039-B
手渡す てわたす	299-210-B
手焼き てやき	146-2913-B
手狭 てぜま	196-4436-B,278-2143-B
手番 てつがい	221-5846-B
手痛い ていたい	140-4472-B,269-3895-B
手真似 てまね	131-4754-B,273-4986-B
手短い てみじかい	36-1751-B,272-1778-B
手立て てだて	188-3124-B
手筈 てはず	18-3423-B,221-5873-B,232-2925-B
手筋 てすじ	17-1610-B,140-758-B
手答え てごたえ	97-4943-B,241-3539-B,252-1230-B,252-5307-B
手簡 しゅかん	174-231-B
手籠め てごめ	240-3907-B
手紙 てがみ	174-260-B
手細工 てざいく	139-4870-B,139-4972-B,146-2944-B
手続 てつづき	124-4647-B,231-2884-B
手続き てつづき	124-4681-B,231-2916-B
手続き的 てつづきてき	231-2784-B
手綱 たづな	36-1706-B
手緩い てぬるい	171-5978-B,173-5195-B,278-57-B
手練 しゅれん	83-2302-B,276-1079-B
手織 ており	140-626-B
手織り ており	140-655-B
手習い てならい	293-1092-B
手翰 しゅかん	174-286-B
手職 てしょく	139-4906-B
手職 てじょく	139-4939-B
手腕 しゅわん	1-3733-B
手荒 てあら	258-1703-B,326-2494-B
手落ち ておち	204-5950-B,210-1387-B
手蔓 てづる	157-6416-B
手薄 てうす	161-1561-B
手術室 しゅじつしつ	298-4824-B
手術室 しゅじゅつしつ	298-4863-B
手袋 てぶくろ	133-2386-B
手製 てせい	140-62-B
手解き てほどき	158-4594-B
手触り てざわり	116-5632-B,310-3832-B
手記 しゅき	187-1257-B,200-4430-B
手詰まり てづまり	286-4712-B
手詰め てづめ	229-3434-B,321-5187-B
手詰り てづまり	286-4750-B
手跡 しゅせき	140-789-B
手蹟 しゅせき	140-823-B,146-1899-B
手車 てぐるま	139-4313-B,331-5376-B
手軽 てがる	47-3565-B,96-4639-B,158-281-B,204-1900-B,274-3703-B
手込め てごめ	240-3934-B
手近 てぢか	114-3949-B,140-1071-B,197-2796-B
手造り てづくり	140-90-B,146-2345-B,146-2978-B
手遊び てあそび	129-2792-B
手遊び てすさび	90-4182-B
手違い てちがい	32-1817-B,191-1986-B
手配 てはい	18-3454-B
手酷い てひどい	141-2104-B,269-3927-B
手間 てま	169-5452-B,308-3031-B
手間仕事 てましごと	220-1173-B
手間暇 てまひま	315-216-B
手間賃 てまちん	214-5872-B
手間隙 てまひま	315-249-B
手際 てぎわ	217-832-B,276-1107-B,301-5064-B
手際良く てぎわよく	51-4064-B,98-73-B,276-1895-B
手頃 てごろ	140-1096-B,192-947-B
手順 てじゅん	231-2951-B,231-3471-B,234-6553-B
手頸 てくび	336-846-B
手風琴 てふうきん	3-6236-B,141-793-B
手首 てくび	336-871-B
手馴らし てならし	109-1831-B,227-220-B,311-5139-B
才 さい	1-3763-B,17-1638-B,131-1488-B,132-513-B,302-1262-B
才分 さいぶん	88-5343-B
才力 さいりょく	1-3784-B,302-1282-B
才名 さいめい	114-3493-B
才器 さいき	302-1314-B
才幹 さいかん	1-3817-B
才気 さいき	333-5524-B
才略の有る さいりゃくのある	252-3053-B
才能 さいのう	1-3847-B,302-1340-B
才腕 さいわん	1-3877-B,276-1132-B
才覚 さいかく	83-410-B,221-5897-B
才量 さいりょう	185-4609-B
打ちまける ぶちまける	60-3105-B
打ち上げ うちあげ	171-4071-B
打ち上げる うちあげる	52-1836-B,119-2145-B,171-4106-B
打ち付ける うちつける	169-2817-B
打ち倒す うちたおす	77-3043-B
打ち傷 うちきず	37-2730-B
打ち克つ うちかつ	209-4384-B
打ち出す うちだす	27-2438-B,28-1893-B,52-1876-B,101-1242-B
打ち切り うちきり	52-1910-B,86-4947-B,101-1274-B,119-2186-B
打ち切る うちきる	1-5358-B,52-1944-B,86-4990-B,290-2039-B
打ち割る うちわる	86-3718-B,284-4768-B
打ち勝つ うちかつ	61-4738-B,209-4421-B
打ち取る うちとる	44-167-B
打ち合う うちあう	118-2482-B,240-2185-B
打ち合せ うちあわせ	16-3935-B
打ち合せる うちあわせる	18-2457-B
打ち合わせ うちあわせ	16-3978-B
打ち合わせる うちあわせる	18-2502-B
打ち壊す うちこわす	71-2461-B,82-983-B,284-5182-B,336-59-B
打ち壊す ぶちこわす	71-2498-B,82-1022-B,284-5219-B,336-96-B
打ち寄せる うちよせる	21-4585-B
打ち払う うちはらう	249-6433-B
打ち捨てる うちすてる	1-139-B
打ち掛かる うちかかる	292-1451-B
打ち損なう うちそこなう	191-695-B
打ち明け話 うちあけばなし	60-3276-B
打ち止める うちとめる	168-3305-B,277-948-B
打ち歩 うちぶ	228-3578-B
打ち水 うちみず	329-5631-B
打ち消し うちけし	79-4099-B,197-5921-B
打ち消す うちけす	64-842-B,79-6096-B,197-5689-B
打ち滅ぼす うちほろぼす	82-1061-B
打ち留める うちとめる	168-3344-B,277-987-B
打ち砕く うちくだく	71-2535-B,278-3137-B
打ち破る うちやぶる	145-4886-B
打ち立てる うちたてる	105-2606-B,124-5914-B
打ち萎れる うちしおれる	94-1032-B
打ち負かす うちまかす	77-3081-B
打ち身 うちみ	37-2762-B
打ち込み うちこみ	94-566-B
打ち込む うちこむ	278-3174-B
打ち込む ぶちこむ	278-3208-B
打ち首 うちくび	75-5444-B
打ち鳴らす うちならす	50-3578-B,256-1595-B
打っ続け ぶっつづけ	307-5009-B
打っ通しに ぶっとおしに	63-6496-B,307-5051-B
打っ飛ばす ぶっとばす	27-2471-B,169-2857-B,292-1492-B
打つ うつ	145-4921-B,292-1533-B
打つ ぶつ	145-4941-B,292-1556-B
打つかる ぶつかる	292-1579-B
打ん殴る ぶんなぐる	169-2897-B
打付ける うちつける	169-2934-B
打付ける ぶつける	169-2971-B
打倒 だとう	77-3122-B,210-2101-B
打傷 うちきず	37-2791-B
打取る うちとる	168-3383-B
打合せ うちあわせ	16-4024-B
打合せる うちあわせる	18-2550-B
打合わせ うちあわせ	16-4064-B
打撃 だげき	73-5826-B,271-5299-B,292-1614-B
打撲 だぼく	37-2820-B
打撲傷 だぼくしょう	37-2846-B,64-4946-B
打擲 ちょうちゃく	307-1624-B
打棒 だぼう	26-4483-B
打消 うちけし	79-4134-B,197-5958-B
打消し うちけし	79-4163-B,197-5989-B
打消す うちけす	64-881-B,79-6129-B,197-5724-B
打球 だきゅう	26-4510-B
打破 だは	1-4828-B,77-3148-B
打算 ださん	40-1748-B,266-5201-B,267-527-B
打算的 ださんてき	40-1527-B,187-4018-B
打診 だしん	216-4969-B
打電 だでん	303-5229-B
払い はらい	3-6438-B,30-2093-B,215-527-B
払い下げ はらいさげ	88-4815-B,260-4862-B
払い戻し はらいもどし	249-5053-B
払い戻す はらいもどす	249-4884-B
払い残り はらいのこり	18-4197-B
払い清める はらいきよめる	109-5525-B,237-1288-B
払い渡す はらいわたす	214-5901-B
払い込む はらいこむ	80-2526-B
払い過ぎ はらいすぎ	210-811-B
払う はらう	333-5042-B
払底 ふってい	75-2546-B,114-4589-B,262-3876-B,272-2118-B
払暁 ふつぎょう	74-5304-B,74-5822-B
托する たくする	103-3387-B
扣除 こうじょ	295-829-B
扨 さて	201-3144-B,305-5251-B,331-3570-B
扮装 ふんそう	87-3990-B,181-4068-B
扱い あつかい	269-231-B,313-4805-B
扱う あつかう	139-5364-B,313-3832-B
扱き下ろす こきおろす	2-5781-B,79-4742-B,88-1735-B,170-2278-B
扱き落とす こきおとす	307-3264-B
扱下ろす こきおろす	2-5821-B,79-4785-B,88-1779-B,170-2320-B
扶く たすく	143-4324-B,251-3135-B,261-5848-B
扶ける たすける	1-3092-B,143-4348-B,233-1204-B,247-2561-B,251-3161-B,261-5872-B
扶助 ふじょ	9-2538-B,20-4340-B,143-4378-B,298-99-B
扶助料 ふじょりょう	294-4269-B
扶持 ふち	11-282-B,241-1487-B,289-5254-B
扶植 ふしょく	105-3163-B,298-126-B
扶翼 ふよく	20-4370-B
扶養 ふよう	181-2200-B,298-156-B
扶養料 ふようりょう	10-1581-B
扶養者 ふようしゃ	35-3341-B,298-1284-B
批准 ひじゅん	241-994-B,241-1064-B
批判 ひはん	55-3610-B,70-2173-B,167-1394-B
批判的 ひはんてき	70-2037-B
批判者 ひはんしゃ	70-1703-B
批評 ひひょう	55-3820-B,70-2202-B,254-5716-B
批評家 ひひょうか	70-1738-B
批難 ひなん	21-4626-B,31-2424-B,70-2234-B
扼殺 やくさつ	291-1891-B
承る うけたまわる	169-3516-B
承伏 しょうふく	58-870-B,61-6346-B,294-1950-B
承允 しょういん	3-1516-B,9-1408-B,61-6379-B
承引 しょういん	3-1552-B,9-1443-B,61-6412-B
承服 しょうふく	58-906-B,61-6445-B,294-1986-B
承知 しょうち	3-1588-B,4-3308-B,9-1478-B,20-1396-B,23-5460-B,58-942-B,61-6478-B
承知の幕 しょうちのまく	9-1510-B
承知之助 しょうちのすけ	9-1557-B
承継 しょうけい	3-1817-B,158-3293-B,295-2065-B
承認 しょうにん	4-3033-B,9-1604-B,17-350-B,61-6508-B,244-1392-B
承諾 しょうだく	4-4640-B,9-1639-B,61-6541-B
技 わざ	19-188-B,303-3974-B
技倆 ぎりょう	1-3907-B,41-4500-B,276-1160-B,302-1369-B
技工 ぎこう	69-161-B,69-370-B
技巧 ぎこう	119-1332-B,303-3997-B
技師 ぎし	102-558-B,303-3804-B
技法 ぎほう	303-4026-B
技能 ぎのう	1-3937-B,41-4531-B
技能者 ぎのうしゃ	303-3831-B
技術 ぎじゅつ	19-205-B,276-1188-B,303-4055-B,303-4261-B
技術水準 ぎじゅつすいじゅん	287-5114-B
技術的 ぎじゅつてき	226-6103-B,303-3733-B
技術者 ぎじゅつしゃ	102-583-B
技術革新 ぎじゅつかくしん	159-1675-B
技量 ぎりょう	1-3964-B,57-2022-B
抄出 しょうしゅつ	111-6355-B
抄本 しょうほん	108-2916-B
抄録 しょうろく	239-2109-B,266-2854-B,296-3507-B
抉る えぐる	33-5312-B,107-6234-B,134-2954-B
把っ手 とって	137-1372-B,139-5393-B,169-2596-B
把手 とって	137-1399-B,139-5422-B,169-2623-B
把手 はしゅ	137-1423-B,139-5448-B,169-2647-B
把持 はじ	135-4630-B,137-1447-B,146-342-B
把握 はあく	44-201-B,135-4652-B,318-2868-B
抑え おさえ	64-3623-B,229-3855-B
抑える おさえる	18-4597-B,47-4604-B,64-3650-B,72-1932-B,298-1892-B
抑え付ける おさえつける	250-4825-B
抑え難い おさえがたい	165-1297-B,317-6634-B
抑制 よくせい	64-3683-B,253-1912-B,298-2378-B
抑圧 よくあつ	47-4635-B,206-3480-B,253-1944-B,298-2412-B
抑揚 よくよう	3-599-B,157-5287-B,163-4496-B,192-2865-B
抑止 よくし	47-4663-B,47-5320-B,64-3713-B,253-1976-B
抑留 よくりゅう	82-3935-B,162-6263-B
抑留者 よくりゅうしゃ	82-2999-B
抑鬱 よくうつ	78-2626-B,80-4472-B
抒情 じょじょう	180-1922-B
抓み つまみ	39-2915-B,169-2671-B
抓る つねる	220-4052-B
投げる なげる	307-5231-B
投げ出す なげだす	1-181-B,260-687-B
投げ売り なげうり	95-120-B
投げ掛ける なげかける	240-1151-B,316-964-B
投げ荷 なげに	166-1823-B
投げ遣り なげやり	42-5206-B,198-1114-B
投げ飛ばす なげとばす	149-1189-B
投じる とうじる	43-3281-B,164-3097-B,307-5259-B
投下 とうか	94-2001-B,164-4289-B
投与量 とうよりょう	92-1306-B,92-1427-B
投了 とうりょう	252-462-B
投光器 とうこうき	121-4617-B
投光照明器 とうこうしょうめいき	121-4656-B
投函 とうかん	181-745-B,226-947-B
投合 とうごう	9-1674-B,53-5085-B,61-1376-B
投宿 とうしゅく	177-4322-B
投射 とうしゃ	232-5078-B
投影 とうえい	232-5111-B
投書 とうしょ	64-2062-B
投棄 とうき	1-746-B
投機 とうき	283-2166-B
投機的 とうきてき	283-2382-B
投獄 とうごく	153-2411-B
投球動作 とうきゅうどうさ	333-4134-B
投票 とうひょう	224-3272-B,327-5538-B
投票者 とうひょうしゃ	327-5498-B
投稿 とうこう	64-2097-B,294-2022-B
投薬 とうやく	92-1344-B
投資 とうし	164-4319-B
投資家 とうしか	164-4465-B
投降 とうこう	299-245-B
抗う あらがう	17-5171-B,89-99-B,206-2225-B
抗うつ こううつ	14-4866-B
抗うつ剤 こううつざい	14-4906-B
抗けいれん薬 こうけいれんやく	14-4750-B
抗ヒスタミン剤 こうヒスタミンざい	14-5395-B
抗ヒスタミン薬 こうヒスタミンやく	14-5461-B
抗争 こうそう	89-129-B,252-1266-B
抗体 こうたい	14-3940-B
抗凝固 こうぎょうこ	14-4658-B,14-4703-B
抗原 こうげん	14-5325-B
抗告 こうこく	15-4599-B,57-4203-B,234-6278-B
抗弁 こうべん	222-5215-B,234-6308-B,246-3411-B
抗戦 こうせん	252-1299-B
抗拒 こうきょ	206-3180-B,252-1332-B
抗生剤 こうせいざい	14-3858-B
抗痙攣薬 こうけいれんやく	14-4811-B
抗真菌 こうしんきん	14-5283-B
抗菌 こうきん	14-3777-B,14-5527-B
抗菌性 こうきんせい	14-3813-B
抗言 こうげん	234-6338-B
抗議 こうぎ	202-3300-B,234-6368-B
折 おり	46-70-B
折々 おりおり	203-4059-B
折も折 おりもおり	53-5209-B
折りに触れて おりにふれて	203-4094-B
折り入って おりいって	96-1659-B
折り合い おりあい	58-4998-B
折り合う おりあう	58-5037-B
折り好く おりよく	125-745-B,179-3824-B
折り悪く おりわるく	319-1700-B
折り悪しく おりあしく	319-1745-B
折り敷き おりしき	169-2023-B
折り曲げる おりまげる	29-551-B,92-2083-B
折り目 おりめ	182-5274-B
折り目正しい おりめただしい	68-1683-B
折り節 おりふし	203-4147-B
折り紙付き おりがみつき	22-5656-B
折り襟 おりえり	171-161-B
折り込み おりこみ	159-5096-B
折り返し おりかえし	49-2725-B,120-3924-B,171-192-B,246-1147-B,250-307-B
折り鞄 おりかばん	36-1956-B,225-2690-B
折る おる	35-4074-B,122-3148-B
折れる おれる	35-4096-B
折れ合う おれあう	58-5076-B
折れ返る おれかえる	246-1186-B,249-5560-B
折中 せっちゅう	58-5115-B
折半 せっぱん	91-738-B,139-2248-B
折悪しくして おりあしくして	320-5652-B
折折 おりおり	203-4185-B
折曲げる おりまげる	29-590-B,92-2124-B
折檻 せっかん	47-2397-B
折目 おりめ	182-5303-B
折節 おりふし	203-4220-B
折衝 せっしょう	198-1826-B
折衷 せっちゅう	58-5151-B,70-3879-B,97-656-B
折衷主義 せっちゅうしゅぎ	97-693-B
折込 おりこみ	159-5134-B
折返る おれかえる	246-1225-B,249-5598-B
抛つ なげうつ	1-217-B
抛る ほうる	1-247-B,310-3080-B
抛棄 ほうき	1-777-B,252-499-B
抛物線 ほうぶつせん	212-954-B
抜かす ぬかす	205-287-B
抜かり ぬかり	32-1850-B,191-737-B,210-1419-B,277-3877-B
抜きん出る ぬきんでる	108-1141-B
抜き去る ぬきさる	210-1889-B
抜き足で ぬきあしで	288-2659-B
抜き足差し足で ぬきあしさしあしで	288-2701-B
抜く ぬく	111-6133-B,205-314-B,298-5472-B,320-3043-B
抜ける ぬける	104-5804-B
抜け作 ぬけさく	31-5727-B,123-609-B
抜け出す ぬけだす	108-1181-B
抜け出る ぬけでる	108-1215-B
抜け替わる ぬけかわる	194-3227-B
抜け目 ぬけめ	153-4470-B
抜け目ない ぬけめない	21-1448-B,72-1224-B,273-146-B
抜け穴 ぬけあな	178-2925-B
抜け裏 ぬけうら	39-4247-B,39-4489-B
抜け道 ぬけみち	178-2959-B
抜擢 ばってき	266-2889-B
抜本的 ばっぽんてき	93-751-B,239-4029-B
抜枠 ばっすい	108-2949-B,266-2921-B
抜穴 ぬけあな	178-2993-B
抜粋 ばっすい	108-2979-B,111-6157-B,266-2953-B
抜萃 ばっすい	108-3009-B,111-6187-B,266-2985-B
抜道 ぬけみち	178-3024-B
択ぶ えらぶ	49-2063-B,266-2359-B
択一的 たくいつてき	11-4822-B
披歴 ひれき	254-2303-B
披瀝 ひれき	287-4649-B
披見 ひけん	218-4621-B,241-3680-B
披露 ひろう	13-6126-B
披露目 ひろめ	75-4815-B
抱え かかえ	18-429-B,100-1527-B
抱きよせる だきよせる	99-4303-B
抱き付く だきつく	99-4345-B
抱き寄せる だきよせる	99-4381-B
抱き抱える だきかかえる	43-982-B,146-363-B
抱き止める だきとめる	44-226-B,253-1586-B
抱き込む だきこむ	164-5857-B
抱く いだく	102-6022-B,140-4184-B,148-2484-B
抱く だく	102-6051-B,140-4211-B,148-2507-B
抱卵 ほうらん	155-3294-B
抱懐 ほうかい	102-6363-B
抱擁 ほうよう	99-4423-B,148-2527-B
抱負 ほうふ	12-1845-B,19-5484-B,229-5078-B
抵当 ていとう	194-605-B,265-4843-B
抵当権 ていとうけん	194-636-B
抵当流れ ていとうながれ	123-4296-B
抵抗 ていこう	206-3213-B,252-1365-B
抵触 ていしょく	60-5510-B
抹殺 まっさつ	79-4195-B,104-3852-B,202-4633-B
抹消 まっしょう	104-3882-B
抹香 まっこう	154-1005-B
押え おさえ	64-3740-B,229-3883-B
押えつける おさえつける	250-4870-B
押える おさえる	250-4915-B,253-1629-B,266-1580-B,290-2072-B,298-1926-B
押え付ける おさえつける	250-4948-B
押さえ おさえ	64-3767-B,229-3911-B
押さえる おさえる	250-4993-B,253-1663-B,266-1611-B,290-2102-B,298-1960-B
押さえ付ける おさえつける	250-5029-B
押さえ込む おさえこむ	151-5559-B
押し おし	22-3874-B,23-660-B,229-3942-B,237-3341-B
押しつける おしつける	123-3134-B,229-3041-B,237-3362-B
押しつぶす おしつぶす	71-2572-B,120-4922-B,286-288-B
押して おして	123-3669-B
押し上げる おしあげる	33-4373-B
押し下げる おしさげる	80-3764-B
押し並べて おしなべて	10-2469-B
押し付ける おしつける	123-3174-B,229-3081-B,237-3401-B
押し入り おしいり	38-4638-B
押し入れ おしいれ	52-2792-B
押し出し おしだし	15-5668-B,228-6570-B
押し合う おしあう	71-0-B,139-1093-B,166-4826-B
押し問答 おしもんどう	89-159-B
押し広げる おしひろげる	109-6200-B,111-2409-B
押し止める おしとどめる	47-4688-B,290-2135-B
押し渡る おしわたる	328-1089-B
押し潰す おしつぶす	71-2612-B,120-4964-B,286-329-B
押し留める おしとどめる	290-2177-B
押し目 おしめ	85-959-B,330-3069-B
押し立てる おしたてる	298-183-B
押し込み おしこみ	38-4674-B,38-4982-B,52-2827-B
押し込める おしこめる	153-1984-B
押し返す おしかえす	166-4861-B
押し隠す おしかくす	58-6756-B
押す おす	229-3121-B,237-3440-B
押っ始める おっぱじめる	28-1927-B
押っ立てる おったてる	240-1191-B
押っ被せる おっかぶせる	68-2962-B
押上げる おしあげる	33-4413-B
押入 おしいれ	52-2862-B
押入れ おしいれ	52-2891-B
押出し おしだし	15-5707-B,228-6607-B
押収 おうしゅう	60-5248-B,266-2006-B
押込める おしこめる	153-2027-B
押送 おうそう	105-535-B
抽き出し ひきだし	93-1486-B
抽せん ちゅうせん	178-5036-B,239-4936-B
抽出 ちゅうしゅつ	2-3231-B,97-4104-B,261-941-B
抽出し ひきだし	93-1521-B
抽斗 ひきだし	93-1553-B
抽籤 ちゅうせん	178-5072-B,239-4971-B
抽象 ちゅうしょう	2-3268-B
抽象化 ちゅうしょうか	2-3471-B
抽象的 ちゅうしょうてき	2-3305-B
抽選 ちゅうせん	178-5105-B,239-5003-B
担い手 にないて	43-639-B
担ぎ かつぎ	43-672-B
担ぎ上げる かつぎあげる	120-5192-B
担ぐ かつぐ	272-3174-B
担体 たんたい	43-699-B,324-1611-B
担保 たんぽ	265-4874-B
担架 たんか	176-4298-B,291-6205-B
拇指 ぼし	307-5697-B
拈くる ひねくる	283-5436-B,316-3101-B
拉致 らち	1-2804-B
拍動 はくどう	236-2042-B
拍子 はくし	27-2510-B,46-90-B,255-3438-B,304-1613-B
拍子 ひょうし	27-2534-B,46-116-B,255-3464-B,304-1638-B
拍子抜け ひょうしぬけ	86-169-B
拍手 はくしゅ	16-1928-B
拍手喝采 はくしゅかっさい	16-1959-B
拍車を掛ける はくしゃをかける	100-5622-B,110-1446-B
拐う さらう	1-2720-B,168-2926-B
拐かす かどわかす	168-2952-B
拐引 かいいん	168-2987-B
拒む こばむ	76-4643-B,246-3047-B,247-3447-B
拒否 きょひ	79-4224-B,246-2817-B,247-4495-B,325-2249-B
拒否反応 きょひはんのう	247-4524-B
拒止 きょし	246-2844-B
拒絶 きょぜつ	246-2871-B,247-4571-B
拒絶反応 きょぜつはんのう	247-4603-B
拒食症 きょしょくしょう	14-1717-B
拓殖 たくしょく	54-4365-B,110-5189-B
