accumulate	samle
accumulation	opphopning
accumulator	akkumulator
accuracy	presisjon
accurate	nøyaktig
accurate	presis
accursed	forbannet
accusation	anklage
accuse	anklage
accuser	anklager
accustom	venne
accustomed	vanlig
accustomed	vant
acerbity	bitterhet
ache	gjøre vondt
ache	smerte
ache	verke
achieve	fullføre
achieve	vinne
achievement	bedrift
acid	sur
acid	syre
acidulous	syrlig
acknowledge	anerkjenne
acknowledge	bekrefte
acknowledge	besvare
acknowledge	erkjenne
acknowledge	godta
acknowledge	innrømme
acknowledge	tilstå
acknowledge	vedgå
acknowledgement	anerkjennelse
acme	topp
acoustic	akustisk
acoustics	akustikk
acquaintance	bekjentskap
acquaintance	kjenning
acquiesce	samtykke
acquire	erverve
acquire	få
acquirement	ervervelse
acquisition	ervervelse
acquit	frikjenne
acrid	bitende
acrid	skarp
across	over
across	vannrett
act	akt
act	dokument
act	fungere
act	gjerning
act	handle
act	handling
act	lov
act	oppføre
act	opptre
act	spille
acting	spill
action	bevegelse
action	gang
action	gjerning
action	handling
action	klage
action	prosess
action	påvirkning
action	søksmål
action	virkning
activate	aktivere
active	aktiv
active	sprek
active	virksom
activity	aktivitet
activity	virksomhet
actor	skuespiller
actual	aktuell
actual	egentlig
actual	faktisk
actual	virkelig
actuate	utløse
acute	intens
acute	skarp
acute	spiss
acuteness	skarphet
ad	annonse
adage	ordspråk
adapt	avpasse
adapt	bearbeide
adapt	tillempe
adapt	tilpasse
add	addere
add	bygge til
add	legge sammen
add	tilføye
add	tilsette
addendum	tilføyelse
addicted	avhengig
addition	tilføyelse
addition	tillegg
addition	tilsetning
address	adresse
address	adressere
address	tale
address	tiltale
adept	mester
adequate	tilstrekkelig
adhere	klebe
adherent	tilhenger
adieu	adjø
adieu	farvel
adipose	fet
adjacent	tilstøtende
adjective	adjektiv
adjourn	utsette
adjudge	tilkjenne
adjunct	tilbehør
adjunct	tillegg
adjust	innstille
adjust	justere
adjust	korrigere
adjust	rette
adjutant	adjutant
administer	administrere
administer	forvalte
administer	gi
administration	forvaltning
admirable	beundringsverdig
admiral	admiral
admiration	beundring
admire	beundre
admission	adgang
admission	opptak
admit	gi adgang
admit	innrømme
admit	tilstå
admit	vedgå
admittance	adgang
admonish	formane
adolescent	halvvoksen
adopt	adoptere
adopt	anta
adopt	velge
adorable	bedårende
adorn	pryde
adorn	smykke
adroit	behendig
adroit	dyktig
adult	myndig
adult	voksen
advance	forskudd
advance	framsteg
advance	fremskritt
advantage	fordel
advantage	fortrinn
adventure	eventyr
adventure	opplevelse
adventurer	eventyrer
adversary	motstander
adverse	fiendtlig
advert	annonse
advert	henvise
advertise	reklamere
advertisement	annonse
advertisement	avertissement
advice	råd
advocate	advokat
aerial	luftig
aerie	ørnereir
aerodrome	flyplass
aeroplane	fly
affability	vennlighet
affable	omgjengelig
affair	affære
affair	anliggende
affair	forhold
affair	forretning
affair	greie
affair	historie
affair	sak
affair	ting
affect	angripe
affect	berøre
affect	foretrekke
affect	like
affect	påvirke
affection	ømhet
affiance	forlove
affirm	bekrefte
affirm	erklære
affirm	forsikre
affirm	påstå
affirmative	bekreftende
afflict	bedrøve
afflict	hjemsøke
afflict	plage
affliction	lidelse
affliction	sorg
affluence	overflod
afford	yte
affranchise	frigjøre
affray	slagsmål
