kindle	tenne
kindly	kjærlig
kindred	beslektet
kindred	slektskap
king	dam
king	konge
kingdom	kongerike
kirk	kirke
kiss	kysse
kit	sett
kit	utrustning
kit	utstyr
kitchen	kjøkken
kitchenette	tekjøkken
kite	drage
kitten	kattunge
kitty	kattunge
kleptomaniac	kleptoman
knack	håndlag
knack	knep
knapsack	ransel
knapsack	ryggsekk
knave	kjeltring
knave	knekt
knead	elte
knead	kna
knee	kne
kneecap	kneskål
kneel	knele
knife	kniv
knight	ridder
knit	rynke
knit	strikke
knitting	strikketøy
knob	knott
knobbly	knudret
knock	banke
knock	dunke
knock	slå
knoll	haug
knoll	koll
knot	knop
knot	knute
knot	knytte
knot	kvist
know	kjenne
know	kunne
know	vite
knowledge	kjennskap
knowledge	kunnskap
knowledgeable	kunnskapsrik
knuckle	knoke
label	etikett
label	merke
label	merkelapp
label	seddel
laboratory	laboratorium
laborious	møysommelig
laborious	slitsom
labour	anstrengelse
labour	arbeid
labour	arbeide
labour	fødselsveer
labour	strev
labourer	arbeider
lace	knipling
lace	lisse
lace	snøre
lack	mangle
lack	skorte
lackadaisical	affektert
lacklustre	matt
lacquer	lakkere
lacquey	lakei
lacuna	hull
lad	gutt
ladder	raknet maske
ladder	stige
ladder	trapp
lade	laste
lading	ladning
lading	last
ladle	øse
lady	dame
lady	frue
lag	forsinkelse
lag	nøle
lagoon	lagune
lair	hi
lair	hule
lake	innsjø
lake	sjø
lamb	lam
lamb	lamme
lamb	lammekjøtt
lambent	lysende
lame	halt
lame	lam
lame	lamme
lament	beklage
lament	jamre
lament	klage
lament	syte
lamp	lampe
lamp	lykt
lance	lanse
lance	spyd
land	havne
land	jord
land	jordsmonn
land	land
land	lande
landholder	grunneier
landing	landing
landlady	vertinne
landlord	vert
landscape	landskap
landslide	skred
lane	kjørefelt
lane	strede
language	mål
language	språk
languid	matt
languid	treg
languish	smekte
languish	vansmekte
lank	mager
lank	skrinn
lank	tynn
lantern	lanterne
lantern	lykt
lap	runde
lap	slikke
lappet	flik
lappet	snipp
lapse	forfall
lapse	forfalle
lapse	forløp
larboard	babord
larceny	tyveri
larch	lerk
lard	smult
larder	spiskammer
large	stor
large	tykk
large	vid
lariat	lasso
lark	lerke
lark	moro
larva	larve
larynx	strupehode
lascivious	lysten
lash	piske
lash	slag
lash	øyenvipp
lass	pike
lasso	lasso
last	lest
last	sist
last	vare
lasting	holdbar
lasting	varig
lastly	endelig
lastly	til slutt
latch	klinke
latch	slå
latch	smekklås
late	avdød
late	forsinket
late	nylig
late	salig
late	sein
late	sen
latent	latent
latent	skjult
lathe	dreiebenk
lather	skum
lather	skumme
lather	såpeskum
latin	latin
latitude	bredde
latitude	breddegrad
lattice	gitter
latvian	latvier
laud	prise
laugh	latter
laugh	le
laughable	latterlig
laughing	latter
laughter	latter
launch	lansere
launch	stabelavløpning
launderette	vaskeri
laundry	vask
laundry	vaskeri
laurel	laurbær
lavatory	do
lavatory	toalett
lavender	lavendel
lavish	overdådig
