dexterous	23-2920-B
diabetes	23-2937-B
diabetic	23-2957-B
diagnose	23-2977-B
diagnosis	23-3000-B
diagram	23-3019-B
dial	23-3035-B,23-3046-B,23-3056-B
dialect	23-3069-B,23-3085-B
dialogue	23-3103-B,23-3119-B
diameter	23-3136-B
diamond	23-3154-B,23-3170-B
diaper	23-3184-B
diaphragm	23-3197-B,23-3215-B
diarrhoea	23-3236-B
diary	23-3253-B
dice	23-3266-B
dictate	23-3279-B,23-3294-B,23-3310-B
diction	23-3329-B,23-3344-B
dictionary	23-3357-B
didactic	23-3375-B
diddle	23-3395-B
die	23-3408-B,23-3416-B,23-3428-B,24-0-B,24-12-B
diet	24-22-B,24-33-B
differ	24-43-B
difference	24-57-B,24-78-B
different	24-99-B
difficult	24-121-B
difficulty	24-141-B
diffuse	24-165-B,24-178-B
diffusion	24-192-B
dig	24-212-B,24-224-B,24-236-B,24-246-B,24-259-B
digest	24-269-B,24-285-B
digestion	24-301-B
digger	24-323-B
digit	24-342-B,24-355-B,24-368-B,24-379-B
dignified	24-389-B
dignity	24-409-B
digress	24-427-B
dike	24-442-B,24-451-B,24-464-B
dilapidated	24-474-B
dilemma	24-498-B
diligence	24-514-B
diligent	24-529-B
dilute	24-546-B
dim	24-562-B,24-572-B,24-582-B,24-590-B,24-601-B,24-615-B,24-624-B,24-634-B,24-643-B
dimension	24-653-B,24-673-B
diminish	24-688-B,24-707-B
diminution	24-725-B
diminutive	24-749-B
dimple	24-766-B,24-779-B
din	24-796-B,24-805-B
dingy	24-814-B
dinky	24-828-B
dinner	24-839-B
diocese	24-857-B
dip	24-877-B,24-887-B,24-897-B,24-907-B,24-919-B,24-931-B
diploma	24-940-B
dipper	24-955-B,24-969-B
dire	24-981-B,24-991-B
direct	24-1007-B,24-1024-B,24-1038-B,24-1052-B,24-1067-B,24-1082-B,24-1098-B,24-1113-B,24-1126-B,24-1139-B
direction	24-1157-B,24-1177-B,24-1196-B,24-1218-B,24-1236-B,24-1254-B,24-1270-B
director	24-1291-B,24-1309-B,24-1328-B
directory	24-1343-B
direful	24-1364-B
dirk	24-1384-B
dirt	24-1394-B,24-1404-B,24-1415-B,24-1426-B
disability	24-1437-B,24-1457-B
disadvantage	24-1480-B,24-1499-B,24-1516-B
disagreeable	24-1536-B
disagreement	24-1560-B
disappear	24-1591-B
disappoint	24-1611-B
disappointed	24-1629-B
disappointment	24-1650-B
disarm	24-1675-B
disarmament	24-1691-B,24-1714-B
disarray	24-1738-B
disassemble	24-1754-B
disaster	24-1776-B,24-1796-B
disastrous	24-1812-B
disband	24-1835-B
disbelief	24-1854-B
disc	24-1869-B
discard	24-1889-B,24-1908-B,24-1924-B
discern	24-1938-B,24-1954-B
discharge	24-1970-B,24-1987-B,24-2007-B,24-2023-B,24-2042-B
discipline	24-2061-B
disclaim	24-2081-B,24-2100-B
disclose	24-2123-B,24-2141-B
disclosure	24-2156-B
disco	24-2178-B
discomfort	24-2193-B
disconnect	24-2218-B,24-2238-B,24-2257-B
disconsolate	24-2278-B,24-2304-B
discontented	24-2329-B
discontinue	24-2354-B
discoteque	24-2374-B
discount	24-2394-B
discourage	24-2410-B
discourse	24-2431-B,24-2450-B,24-2467-B,24-2485-B
discourteous	24-2500-B
discover	24-2522-B
discoverer	24-2539-B
discovery	24-2559-B
discredit	24-2580-B
discreet	24-2595-B
discrepancy	24-2614-B
discretion	24-2644-B,24-2666-B
discriminate	24-2685-B
discuss	24-2706-B,24-2724-B,24-2742-B
discussion	24-2758-B,24-2779-B
disdain	24-2800-B,24-2815-B
disease	24-2831-B
diseased	24-2846-B,24-2859-B
disfigure	24-2876-B
disgrace	24-2894-B,24-2908-B
disgraceful	24-2926-B
disguise	24-2948-B,24-2964-B,24-2985-B
disgust	24-3001-B,24-3015-B,24-3030-B
disgusting	24-3047-B
dish	24-3069-B,24-3078-B
dished	24-3093-B
dishonest	24-3107-B
dishonesty	24-3125-B
dishonour	24-3147-B,24-3162-B
dishwasher	24-3180-B
disinclination	24-3205-B
disinfect	24-3226-B
disinfectant	24-3248-B
disinterested	24-3281-B,24-3303-B
disjointed	24-3326-B
dislike	24-3353-B
dislocation	24-3368-B
dislodge	24-3392-B
disloyal	25-0-B,25-17-B,25-34-B
dismantle	25-48-B
dismay	25-68-B
dismiss	25-87-B,25-106-B,25-121-B
dismissal	25-138-B
disobedience	25-156-B
disobedient	25-179-B
disorder	25-198-B,25-220-B,25-240-B
disorderly	25-256-B
disparate	25-278-B
disparity	25-293-B
dispatch	25-311-B,25-330-B,25-351-B
dispel	25-366-B,25-382-B
dispensation	25-394-B
dispersal	25-416-B
disperse	25-436-B
dispersion	25-450-B
displace	25-471-B,25-487-B
display	25-505-B,25-520-B,25-541-B,25-561-B,25-580-B,25-596-B,25-615-B
disposable	25-628-B
disposal	25-650-B,25-671-B,25-688-B
dispraise	25-707-B
disproportion	25-723-B
disproportional	25-748-B
disputable	25-780-B
disputed	25-802-B
disquiet	25-820-B,25-840-B,25-853-B
disquieting	25-867-B
disrepair	25-893-B
disreputable	25-911-B,25-933-B,25-953-B,25-973-B
disrespectful	25-996-B
disrupt	25-1021-B
dissatisfied	25-1037-B
dissect	25-1062-B
dissension	25-1080-B
dissent	25-1097-B
dissimilar	25-1112-B,25-1135-B
dissipate	25-1151-B,25-1168-B,25-1186-B
dissipated	25-1201-B
dissociate	25-1223-B,25-1243-B
dissolute	25-1261-B
dissolution	25-1282-B
dissolve	25-1306-B
distance	25-1323-B,25-1340-B
distant	25-1358-B
distaste	25-1372-B,25-1388-B,25-1406-B
distend	25-1424-B,25-1440-B
distil	25-1455-B
distillation	25-1473-B
distinct	25-1499-B,25-1520-B,25-1534-B,25-1551-B
distinction	25-1569-B,25-1591-B
distinguish	25-1614-B,25-1635-B,25-1655-B
distinguished	25-1675-B
distort	25-1696-B,25-1713-B
distortion	25-1731-B
distract	25-1755-B,25-1771-B,25-1791-B
distracted	25-1809-B
distraction	25-1831-B
distraught	25-1855-B
distress	25-1877-B,25-1894-B,25-1913-B
distribute	25-1927-B,25-1946-B,25-1969-B
distribution	25-1988-B,25-2011-B
district	25-2033-B
distrust	25-2051-B
distrustful	25-2070-B
disturb	25-2092-B
disturbance	25-2110-B,25-2135-B
ditch	25-2151-B,25-2162-B,25-2174-B
diuretic	25-2187-B
diurnal	25-2209-B
divan	25-2224-B
dive	25-2236-B,25-2247-B,25-2257-B,25-2268-B,25-2278-B
diver	25-2288-B
diverge	25-2301-B
diverse	25-2327-B,25-2347-B
diversion	25-2360-B,25-2380-B
divert	25-2401-B,25-2415-B,25-2429-B,25-2445-B
divest	25-2463-B
divide	25-2477-B,25-2489-B,25-2505-B,25-2520-B,25-2535-B
dividers	25-2549-B
divination	25-2565-B
divine	25-2584-B
division	25-2603-B,25-2621-B,25-2637-B,25-2655-B
divorce	25-2674-B,25-2689-B
dizziness	25-2708-B
dizzy	25-2729-B
do	25-2743-B,25-2754-B,25-2763-B,25-2771-B,25-2781-B
docile	25-2792-B
dock	25-2808-B,25-2825-B,25-2835-B,25-2846-B
docker	25-2858-B
doctor	25-2879-B,25-2893-B,25-2906-B
document	25-2918-B,25-2936-B
dodder	25-2957-B
dodge	25-2972-B
dog	25-2983-B,25-2994-B,25-3008-B
dogged	25-3017-B
dogtooth	25-3029-B
dole	25-3050-B
doleful	25-3060-B
doll	25-3078-B
dollop	25-3089-B
dolor	25-3102-B
dolorous	25-3113-B
dolphin	25-3132-B
domain	25-3147-B
dome	25-3165-B
domestic	25-3177-B,25-3194-B,25-3210-B
domicile	25-3231-B,25-3246-B
dominant	25-3264-B
dominate	25-3287-B
domination	25-3305-B
