kinin	75-1179-B
kinn	14-1638-B,51-1038-B
kinnskjegg	87-1214-B,109-933-B
kino	15-575-B
kiosk	92-2109-B
kirke	15-468-B,52-103-B
kirkegard	13-1977-B,40-1838-B
kirkelig	27-1562-B,27-1584-B
kirketjener	7-2335-B,82-1591-B,85-2767-B
kiropraktiker	14-2792-B
kiropraktor	14-2819-B
kirsebar	14-1868-B
kirurg	96-1439-B
kirurgi	96-1454-B
kiste	14-1978-B,16-869-B
kitt	74-2597-B
kittel	16-571-B,37-376-B
kjake	51-0-B,51-1048-B
kjale	61-1159-B,68-330-B
kjalebarn	68-341-B
kjaledegge	21-1438-B,68-356-B
kjar	21-2250-B
kjare	21-2261-B
kjareste	59-871-B,96-3270-B
kjarlig	8-1529-B,35-1465-B,51-2657-B,52-13-B,55-1911-B
kjarlighet	55-1809-B
kjartegn	28-2038-B
kjartegne	12-2727-B,35-1488-B,68-372-B
kje	51-2440-B
kjede	10-438-B,13-1157-B,13-2640-B,75-2841-B,100-1091-B,101-1803-B
kjedelig	10-449-B,26-1056-B,26-2605-B,34-1727-B,89-97-B,98-611-B,100-1152-B
kjeft	60-1002-B,102-11-B
kjegle	17-2330-B,68-2286-B,88-890-B
kjegleformet	17-3173-B,17-3205-B
kjekk	9-2467-B,36-2943-B,67-2421-B
kjekl	92-342-B,110-1742-B
kjekle	8-2230-B,92-357-B
kjeks	8-2862-B,19-2351-B
kjele	9-2353-B,13-1354-B,51-2265-B,106-2309-B
kjeledress	65-258-B
kjelke	88-1507-B,88-1530-B,100-1544-B
kjeller	7-1722-B,13-1898-B
kjeltring	9-340-B,52-325-B,76-512-B,84-0-B,107-218-B
kjemi	14-1787-B
kjemiker	14-1770-B
kjemisk	14-1736-B
kjemme	16-1701-B
kjempe	7-2080-B,16-1725-B,33-1965-B,38-2457-B,40-1243-B,94-2649-B
kjempemessig	38-2470-B,38-2700-B
kjemper	33-2046-B
kjempestor	45-1354-B,59-2353-B
kjendis	13-1850-B
kjenne	52-610-B,104-1170-B
kjennelse	22-140-B,106-1773-B
kjennemerke	57-645-B
kjenner	31-861-B,32-1112-B
kjennetegn	6-2864-B
kjenning	2-652-B
kjennskap	52-643-B
kjensgjerning	31-3052-B
kjepp	81-819-B,93-1558-B
kjepphest	44-1050-B
kjerne	15-505-B,18-3379-B,29-2584-B,39-217-B,43-1007-B,51-2202-B,62-1878-B,68-2566-B,95-1079-B
kjerre	13-390-B
kjerring	109-1682-B,110-594-B
kjertel	39-558-B
kjetter	43-2379-B
kjetteri	43-2363-B
kjeve	51-10-B,51-1059-B,56-2610-B
kjevle	81-962-B
kjodelig	13-49-B
kjokken	20-1933-B,52-160-B
kjol	51-2022-B
