cloth	ścierka
clothe	okryć
clothe	ubierać
clothe	ubrać
clothes	odzież
clothes	ubranie
clothing	odzież
clothing	ubranie
cloud	chmura
cloud	obłok
cloudburst	oberwanie chmury
cloudy	pochmurny
cloudy	zachmurzony
clout	bić
cloven	rozszczepiony
clover	koniczyna
clown	błazen
clown	klown
clown	pajac
club	kij
club	klub
club	maczuga
club	trefl
clue	trop
clue	ślad
clueless	bezradny
clump	pęczek
clump	pęk
clump	wiązka
clumsy	niezgrabny
clumsy	niezręczny
cluster	grupa
cluster	pęczek
cluster	pęk
cluster	skupisko
cluster	wiązka
clutch	chwytać
clutter	nieporządek
clyster	lewatywa
cm	centymetr
co-operation	kooperacja
co-operation	współpraca
coach	autobus
coach	autokar
coach	powóz
coach	samochód
coach	trener
coach	trenować
coach	wagon
coaction	współpraca
coagulate	krzepnąć
coagulation	koagulacja
coal	węgiel
coalition	koalicja
coarse	brutalny
coarse	gruby
coarse	ordynarny
coarse	rubaszny
coarse	surowy
coast	wybrzeże
coat	kurtka
coat	lakier
coat	marynarka
coat	powłoka
coat	płaszcz
coat	skóra
coat	warstwa
coat	żakiet
coating	powłoka
coating	warstwa
coating	wykładzina
cobalt	kobalt
cobber	kolega
cobber	kumpel
cobble	brukować
cobbler	szewc
cobra	kobra
cobweb	pajęczyna
cocain	kokaina
cocaine	kokaina
cochlea	ślimak
cock	kogut
cock	kran
cock	kurek
cockcrow	brzask
cockiness	zarozumiałość
cockle	zmarszczka
cockroach	karaluch
cocktail	koktajl
cocoa	kakao
cocoanut	orzech kokosowy
coconut	orzech kokosowy
cocoon	kokon
cod	dorsz
code	kod
code	kodeks
code	kodować
code	szyfr
code	szyfrować
coder	programista
codex	kodeks
codfish	dorsz
coefficient	współczynnik
coequal	równy
coerce	przymusić
coerce	zmusić
coerce	zmuszać
coercion	wymuszenie
coexistence	koegzystencja
coffee	kawa
coffer	skrzynia
coffin	trumna
cog	ząb
cogitate	medytować
cogitate	rozmyślać
cogitate	zastanawiać się
cognac	koniak
cognizable	rozpoznawalny
cognizance	poznanie
cognizance	przytomność
cognizance	świadomość
cognomen	przezwisko
cognoscente	koneser
cognoscente	znawca
coherence	łączność
coherency	łączność
coherent	logiczny
coif	czapka
coif	czepek
coiffure	fryzura
coil	cewka
coil	nawijać
coil	spirala
coil	szpula
coil	wąż
coil	zwijać
coil	zwój
coincide	zgadzać się
coincidence	przypadek
coincidence	traf
coincidence	zbieg okoliczności
coincidental	przypadkowy
coke	koks
col	pułkownik
colander	cedzak
cold	chłodny
cold	chłód
cold	katar
cold	przeziębienie
cold	zimno
cold	zimny
cold-blooded	zimnokrwisty
coldblooded	zimnokrwisty
coldness	chłód
cole	kapusta
collaborate	współpracować
collaboration	współpraca
collaborationist	kolaborant
collaborator	kolaborant
collapse	runąć
collapse	upadek
collapse	zapaść
collapse	zawalić się
collapsible	składany
collar	kołnierz
collarbone	obojczyk
collate	porównać
collateral	zastaw
collation	porównanie
colleague	kolega
collect	gromadzić
collect	inkasować
collect	kolekcjonować
collect	odbierać
collect	skupić
collect	zbierać
collection	kolekcja
collection	odbiór
collection	zbiór
collective	kolektyw
collective	kolektywny
collective	wspólny
collective	zbiorowy
collectively	razem
collector	kolekcjoner
collector	kolektor
collector	zbieracz
colleen	dziewczyna
college	uniwersytet
collegian	student
collide	kolidować
collier	górnik
collision	kolizja
collision	zderzenie
colloquial	potoczny
colloquy	konwersacja
colloquy	rozmowa
colon	dwukropek
colonel	pułkownik
colonial	kolonialny
