helm	ster
helmet	hełm
helmet	kask
helmsman	sternik
help	pomagać
help	pomoc
help	pomocnik
help	pomóc
helper	pomocnik
helpful	pomocny
helpful	przydatny
helpless	bezbronny
helpless	bezradny
helpmate	pomocnik
helter-skelter	bezładny
helve	rączka
helve	trzonek
helve	uchwyt
hem	brzeg
hem in	otoczyć
hemisphere	półkula
hemorrhage	krwawienie
hemorrhage	krwotok
hemp	konopie
hen	kura
hence	dlatego
hence	stąd
hence	więc
henceforth	na przyszłość
henceforward	na przyszłość
henchman	zwolennik
henhouse	kurnik
her	jej
herald	goniec
herald	posłaniec
heraldry	heraldyka
herb	ziele
herd	stado
herd	trzoda
herdsman	pastuch
here	tutaj
hereafter	potem
hereditary	dziedziczny
heredity	dziedziczność
herein	tutaj
heresy	herezja
heretic	heretyk
herewith	w załączeniu
heritable	dziedziczny
heritage	dziedzictwo
heritage	spadek
heritage	spuścizna
hermetic	hermetyczny
hermetical	hermetyczny
hermit	pustelnik
hernia	przepuklina
hero	bohater
heroic	bohaterski
heroic	heroiczny
heroine	bohaterka
heroism	bohaterstwo
herring	śledź
hers	jej
herself	siebie
herself	się
herself	sobie
hertz	herc
hesitance	chwiejność
hesitance	niezdecydowanie
hesitance	wahanie
hesitancy	chwiejność
hesitancy	niezdecydowanie
hesitancy	wahanie
hesitant	chwiejny
hesitate	być niezdecydowanym
hesitate	wahać się
hesitation	wahanie
heterogeneous	heterogeniczny
heterogeneous	niejednorodny
heterogeneous	różnorodny
hew	ciosać
hew	rąbać
hew	siekać
hexagon	sześciokąt
hexagonal	sześciokątny
hiatus	pauza
hiatus	przerwa
hibernation	przezimowanie
hiccough	czkawka
hiccup	czkawka
hidden	skryty
hidden	ukryty
hide	chować
hide	schować
hide	skóra
hide	ukrywać
hide	ukryć
hide	zakrywać
hide-and-seek	zabawa w chowanego
hideous	ohydny
hideous	straszny
hierarchy	hierarchia
high	wielki
high	wysoki
high	wysoko
high-handed	samowolny
high-handed	władczy
high-powered	gruby
high-powered	silny
highly	bardzo
highly	wielce
highly	wysoko
highness	wysokość
highway	autostrada
highway	szosa
hijack	porwać
hijacker	porywacz
hijacking	porwanie
hike	wycieczka
hilarious	wesoły
hill	góra
hill	kopiec
hill	pagórek
hill	szczyt
hill	wzgórze
hill	wzniesienie
hilltop	szczyt
hilltop	wierzchołek
hilly	pagórkowaty
hilt	rączka
hilt	rękojeść
hilt	trzonek
hilt	uchwyt
him	jego
him	jemu
himself	sam
himself	siebie
himself	sobie
hind	tylny
hind	łania
hinder	powstrzymywać
hinder	przeszkadzać
hindrance	przeszkoda
hinge	przegub
hinge	zależeć
hinge	zawias
hinny	muł
hint	aluzja
hint	dać do zrozumienia
hint	napomknąć
hint	wskazówka
hint	wzmianka
hip	biodro
hippo	hipopotam
hippopotamus	hipopotam
hire	wynajmować
hire	wynająć
hire out	wynająć
his	jego
hiss	syczeć
hiss	syk
historian	historyk
historic	historyczny
historical	historyczny
historiographer	historyk
history	historia
history	historyjka
hit	bić
hit	cios
hit	hit
hit	przebój
hit	sukces
hit	szlagier
hit	trafienie
hit	trafić
hit	uderzenie
hit	uderzyć
hitch	przeszkoda
hitch	szarpnięcie
hitchhiker	autostopowicz
hitherto	dotychczas
hitherto	dotąd
hive	ul
hoard	gromadzić
hoard	skarb
hoard	zapas
hoard	zbierać
hoarse	ochrypły
hoax	kaczka
hoax	szwindel
hobble	kuleć
hobby	hobby
hobgoblin	chochlik
hockey	hokej
hoe	kopać motyką
hoe	motyka
hog	wieprz
hog	świnia
hogwash	nonsens
hoist	dźwig
