lament	skarga
lamentable	godny politowania
lamp	lampa
lamp	latarnia
lampoon	pamflet
land	dno
land	gleba
land	grunt
land	kraj
land	lądować
land	poddasze
land	teren
land	ziemia
landing	lądowanie
landing	podest
landowner	właściciel ziemski
landscape	krajobraz
landslide	obsunięcie się ziemi
lane	alejka
lane	droga
lane	kolej
lane	tor
lane	uliczka
lane	ślad
language	język
language	mowa
languid	słaby
languish	tęsknić
lantern	latarnia
lap	etap
lapse	upłynąć
lapse	upływ
larcenist	złodziej
larceny	kradzież
lard	smalec
larder	spiżarnia
large	duży
large	obszerny
large	wielki
largely	przeważnie
largeness	rozmiar
largeness	wielkość
largesse	hojność
lark	figiel
lark	skowronek
laryngitis	zapalenie krtani
larynx	krtań
laser	laser
lash	chłostać
lash	rzęsa
lass	dziewczyna
lassie	dziewczyna
lassitude	apatia
lassitude	zmęczenie
last	definitywny
last	poprzedni
last	trwać
last	ubiegły
last	w końcu
lasting	stały
lasting	trwały
lastly	w końcu
latch	rygiel
latch	zasuwka
late	opóźniony
late	późno
late	późny
late	zmarły
lately	niedawno
latent	skryty
latent	ukryty
latent	utajony
later	potem
later	później
later	późniejszy
lateral	boczny
latex	lateks
lath	listwa
lathe	tokarka
lather	piana
lather	pienić się
latin	łacina
latin	łaciński
latitude	szerokość
latter	późniejszy
latterly	niedawno
lattice	krata
latticework	krata
latvia	łotwa
latvian	łotysz
laud	chwalić
laugh	śmiać się
laugh	śmiech
laughable	zabawny
laughing	śmiech
laughter	śmiech
launch	wodowanie
launch	wypuścić
launching	wodowanie
launching	wystrzelenie
launder	myć
launder	umyć
launderette	pralnia
laundering	pranie
laundress	praczka
laundry	bielizna
laundry	pralnia
laurel	laur
laurel	wawrzyn
lav	toaleta
lava	lawa
lavatory	toaleta
lavatory	umywalnia
lavatory	ustęp
lavender	lawenda
lavish	hojny
lavish	rozrzutny
lavish	szczodry
lavish	trwonić
law	prawidło
law	prawo
law	słuszność
law	ustawa
lawful	legalny
lawful	prawowity
lawfully	legalnie
lawless	bezprawny
lawlessness	bezprawie
lawn	trawnik
lawsuit	proces
lawyer	adwokat
lawyer	prawnik
lax	luźny
lax	niedbały
lax	swobodny
lay	kłaść
lay	laicki
lay	położenie
lay	położyć
lay down	przepisać
layabout	obibok
layer	położenie
layer	stopień
layer	warstwa
layman	laik
layout	dyspozycja
layout	plan
layout	projekt
layout	rozmieszczenie
laze	leniuchować
laziness	lenistwo
laziness	opieszałość
lazy	leniwy
lazybones	leniuch
lazybones	leń
lb	funt
lea	pastwisko
lead	dyrekcja
lead	kierować
lead	kierownictwo
lead	ołowiany
lead	ołów
lead	prowadzenie
lead	prowadzić
lead	przewód
lead	wieść
leaden	ołowiany
leader	artykuł wstępny
leader	dowodzący
leader	dowódca
leader	kierowniczka
leader	kierownik
leader	lider
leader	przewodnik
leadership	dyrekcja
leadership	kierownictwo
leadership	przewodnictwo
leading	czołowy
leading	dyrekcja
leading	kierownictwo
leading	kierowniczy
leading	przewodzący
leaf	arkusz
leaf	gazeta
leaf	kartka
leaf	liść
leaflet	broszura
leaflet	broszurka
leaflet	prospekt
leaflet	ulotka
leafy	liściasty
league	liga
league	związek
leak	dziura
leak	przeciek
leak	przeciekać
leak	wyciekać
leaky	dziurawy
leaky	nieszczelny
lean	chudy
