physician	lekarz
physicist	fizyk
physics	fizyka
physiologist	fizjolog
physiology	fizjologia
pianist	pianista
piano	fortepian
piano	pianino
piazza	plac
pick	dziobać
pick	dłubać
pick	elita
pick	kilof
pick	skubać
pick	wybierać
pick	wybór
pick	wyrywać
pick	zbierać
pick	zrywać
pick out	wybierać
picket	pal
pickle	marynować
pickled	pijany
pickpocket	kieszonkowiec
pickpocket	złodziej kieszonkowy
picnic	piknik
picture	film
picture	fotografia
picture	obraz
picture	odmalować
picture	opisać
picture	przedstawić
picture	widok
picture	zdjęcie
picturesque	malowniczy
piddle	mocz
pie	placek
piece	część
piece	kawałek
piece	sztuka
piece	utwór
pier	filar
pierce	przebić
pierce	przedziurawić
pierce	przeniknąć
pierce	przeszyć
piercing	ostry
piercing	przenikliwy
piercingly	ostro
piercingly	ostry
piety	pobożność
piffle	bezsens
piffle	bzdura
piffle	nonsens
pig	wieprz
pig	świnia
pigeon	gołąb
piggery	chlew
piggish	brudny
piggish	świński
pigheaded	uparty
piglet	prosię
pigment	pigment
pigmy	karzeł
pigmy	pigmej
pigsty	chlew
pigtail	warkocz
pike	szczupak
pile	gromada
pile	gromadzić
pile	kupa
pile	pal
pile	stos
pile	słup
pilfer	kraść
pilfer	ukraść
pilfer	zwędzić
pilgrim	pielgrzym
pill	pigułka
pill	tabletka
pillage	grabić
pillage	rabować
pillar	filar
pillar	kolumna
pillar	słup
pillock	idiota
pillory	pręgierz
pillow	poduszka
pilot	pilot
pilot	pilotować
pilot	przewodnik
pilot	sterować
pilotless	bezzałogowy
pimp	stręczyciel
pimp	sutener
pimple	krosta
pimple	pryszcz
pin	czop
pin	kołek
pin	odznaka
pin	przymocować
pin	przypiąć
pin	szpilka
pin	sztyft
pinafore	fartuch
pincers	kleszcze
pincers	obcęgi
pincers	szczypce
pinch	kraść
pinch	szczypać
pinch	ukraść
pinch	uszczypnięcie
pinch	zwędzić
pine	pinia
pine	sosna
pine	tęsknić
pinhead	dureń
pinhead	głupiec
pinhead	idiota
pink	róż
pink	różowy
pinnacle	szczyt
pinnacle	wierzchołek
pioneer	pionier
pious	pobożny
pip	gwiazdka
pip	jądro
pipe	fajka
pipe	przewód
pipe	rura
pipe	rurociąg
pipeline	rurociąg
pipes	dudy
pipette	pipeta
piping	rurociąg
pirate	korsarz
pirate	pirat
pirouette	piruet
pismire	mrówka
pistachio	pistacja
pistol	pistolet
piston	tłok
pit	dziura
pit	dół
pit	kopalnia
pit	pestka
pit	szyb
pitch	pech
pitch	podziałka
pitch	rzucać
pitch	skok
pitch	smoła
pitch	stopień
pitch	wysokość tonu
pitcher	dzban
pitchfork	widelec
pitchfork	widły
piteous	nędzny
piteous	żałosny
pitiable	godny politowania
pitiless	bezlitosny
pitman	górnik
pity	litować się
pity	litość
pity	współczucie
pity	współczuć
pity	żałować
pivot	czop
pivot	oś
pivotal	centralny
pizza	pizza
placard	afisz
placard	plakat
place	lokal
place	miejsce
place	mieszkanie
place	plac
place	posada
place	postawić
place	pozycja
place	siedziba
place	stanowisko
place	ulokować
place	umieścić
placement	rozmieszczenie
placid	cichy
placid	spokojny
placid	łagodny
placidly	cicho
placidly	spokojnie
plague	dokuczać
plague	dręczyć
plague	dżuma
plague	epidemia
plague	mór
plague	męczyć
plague	plaga
plague	utrapienie
plague	zaraza
plaguy	nieprzyjemny
