blemish	15-2806-B,15-2824-B,15-2838-B
blend	15-2851-B,15-2866-B,15-2884-B
blender	15-2900-B
bless	15-2915-B
blessed	15-2936-B
blessing	15-2960-B
blight	15-2989-B
blind	15-3006-B,15-3022-B,15-3037-B,15-3053-B
blink	15-3066-B,15-3079-B,15-3094-B,15-3108-B
blissful	15-3124-B
blister	15-3140-B
blithe	15-3157-B
blithesome	16-0-B
bloc	16-19-B
block	16-29-B,16-40-B,16-51-B,16-64-B,16-82-B
block off	16-101-B
block up	16-123-B
blockade	16-144-B,16-161-B
blockhead	16-182-B,16-199-B,16-218-B
blond	16-235-B,16-247-B,16-263-B
blonde	16-275-B
blood	16-292-B
bloodbath	16-303-B,16-321-B
bloodcurdling	16-337-B
blooded	26-2423-S,109-3613-S,109-3633-S
bloodless	16-377-B
bloodline	16-393-B
bloodshed	16-412-B,16-435-B
bloodsucker	16-457-B
bloodthirsty	16-477-B
bloody	16-503-B,16-519-B,16-535-B,16-550-B
bloom	16-564-B,16-576-B
blooming	16-592-B,16-610-B,16-628-B
blossom	16-647-B,16-661-B,16-679-B
blot	16-698-B,16-709-B
blotched	16-722-B
blouse	16-740-B
blow	16-754-B,16-764-B,16-778-B,16-789-B
blow off	16-804-B
blower	16-825-B
blowpipe	16-841-B
blowup	16-857-B
blue	16-878-B,16-894-B,16-909-B,16-928-B
blueprint	16-940-B,16-955-B
bluff	16-973-B,16-984-B,16-1000-B
bluish	16-1017-B
blunder	16-1036-B,16-1051-B,16-1064-B
blunt	16-1081-B,16-1095-B
blur	16-1107-B
blush	16-1121-B
blustering	16-1137-B
blustery	16-1157-B
boar	16-1175-B
board	16-1185-B,16-1197-B,16-1210-B,16-1224-B,16-1238-B,16-1251-B,16-1265-B,16-1279-B,16-1290-B,16-1308-B
boarder	16-1322-B
boarding house	16-1344-B
boardinghouse	16-1369-B
boast	16-1393-B,16-1414-B
boasting	16-1434-B
boat	1-874-S,16-1457-B,16-1469-B,16-1481-B,16-1494-B,52-1575-S
boatswain	16-1507-B
bob	16-1524-B
bob up	16-1536-B
bobbin	16-1558-B,16-1571-B
bobby	16-1585-B
bodice	16-1601-B,16-1615-B
bodily	16-1629-B
body	16-1645-B,16-1657-B,16-1668-B,16-1683-B,16-1693-B,16-1706-B
bodyguard	16-1719-B
bodywork	16-1746-B
bog	16-1765-B,16-1775-B
bogus	16-1786-B,16-1805-B
bogy	16-1822-B
boil	16-1832-B,16-1846-B,16-1861-B
boiled	16-1873-B
boiler	16-1889-B,16-1903-B
boisterous	16-1918-B,16-1938-B
bold	16-1955-B,16-1968-B,16-1979-B,16-1990-B,16-2003-B,16-2017-B,16-2031-B,16-2046-B
bold faced	16-2060-B,16-2081-B
boldfaced	16-2102-B,16-2122-B
boldness	16-2142-B,16-2165-B
bole	16-2187-B,16-2198-B,16-2211-B
bolster	16-2223-B
bolt	16-2240-B,16-2252-B,16-2263-B
bomb	16-2275-B,16-2286-B
bombard	16-2304-B
bomber	16-2325-B
bombshell	16-2342-B
bond	16-2358-B,16-2373-B,16-2386-B,16-2400-B,16-2413-B,16-2425-B
bondage	16-2444-B
bondman	16-2465-B
bone	16-2483-B
bonehead	16-2495-B,16-2511-B,16-2529-B
boner	16-2545-B
bonnet	16-2558-B,16-2572-B
bonnie	16-2586-B
bonus	16-2601-B
bony	16-2614-B
booby	16-2629-B,16-2642-B,16-2657-B
boodle	16-2670-B
book	16-2687-B,16-2697-B,16-2712-B,16-2729-B,16-2748-B,16-2763-B,16-2779-B
bookcase	16-2798-B
bookie	16-2820-B
booking	16-2837-B
bookkeeper	16-2856-B
bookkeeping	16-2877-B,16-2903-B
booklet	16-2930-B
bookmaker	16-2947-B
bookmark	16-2967-B
bookseller	16-2986-B
bookshelf	16-3007-B,16-3025-B
bookshop	16-3042-B
bookstore	16-3063-B
bookworm	16-3085-B
boom	16-3111-B,16-3123-B,16-3140-B,16-3156-B
boon	16-3174-B
boorish	16-3186-B
boost	16-3207-B,16-3223-B,17-0-B
boot	17-18-B,17-33-B
booth	17-42-B,17-53-B,17-65-B
bootlace	17-78-B
bootlegger	17-100-B
bootless	17-122-B
bootmaker	17-139-B
booze	17-155-B
boozer	17-169-B
boozy	17-182-B
bordello	17-195-B
border	17-211-B,17-224-B,17-239-B,17-257-B,17-273-B,17-292-B
border on	17-305-B
borderland	17-326-B
bore	17-348-B,17-361-B,17-374-B
borecole	17-388-B
bored	17-405-B
boredom	17-420-B
borer	17-433-B
boring	17-447-B,17-460-B
born	17-477-B,17-491-B
borough	17-503-B
borrow	17-521-B
bosh	17-539-B,17-552-B,17-564-B
bosom	17-577-B
boss	17-590-B,17-605-B
bossy	17-615-B
botanical	17-630-B
botanist	17-651-B
botany	17-668-B
botch	17-684-B,17-697-B
both	17-715-B,17-725-B,17-735-B
bother	17-746-B,17-763-B,17-778-B,17-797-B,17-822-B
bothersome	17-843-B
bottle	17-864-B,17-879-B
bottleneck	17-892-B
bottom	17-919-B,17-930-B,17-943-B
bottomless	17-956-B,17-976-B
bough	17-1002-B,17-1017-B
bouillon	17-1029-B
boulder	17-1045-B
boulevard	17-1059-B
bound	17-1076-B,17-1090-B,17-1103-B,17-1121-B
boundary	17-1137-B,17-1154-B
bounded	17-1170-B
boundless	17-1190-B,17-1214-B
bounteous	17-1235-B
bounteousness	17-1254-B
bountiful	17-1278-B
bounty	17-1297-B,17-1314-B,17-1328-B
bouquet	17-1345-B
bow	17-1360-B,17-1373-B,17-1385-B,17-1397-B
bowel	17-1406-B,17-1419-B,17-1432-B
bowl	17-1452-B,17-1463-B,17-1475-B,17-1485-B,17-1499-B,17-1509-B,17-1523-B,17-1534-B,17-1550-B
box	17-1560-B,17-1569-B,17-1582-B,17-1595-B,17-1608-B,17-1619-B,78-2167-S
boxer	17-1632-B
boxing	17-1645-B
boy	17-1657-B,17-1670-B
boycott	17-1684-B,17-1699-B
boyfriend	17-1719-B
boyish	17-1740-B
bra	17-1759-B,17-1774-B
brace	17-1785-B
bracelet	17-1798-B,17-1818-B
bracket	17-1839-B,17-1853-B,17-1871-B,17-1885-B
braid	17-1900-B,17-1914-B
brain	17-1928-B,17-1940-B,17-1957-B,17-1969-B
brained	33-165-S
brainless	17-1982-B,17-1999-B
brainpan	17-2019-B
brainy	17-2036-B,17-2050-B,17-2070-B,17-2087-B
brake	17-2102-B,17-2117-B
bran	17-2131-B
branch	17-2144-B,17-2159-B,17-2172-B,17-2188-B,17-2204-B,17-2226-B,17-2240-B
branching	17-2256-B
brand	17-2282-B,17-2294-B,17-2307-B
brandy	17-2318-B
brash	17-2332-B,17-2348-B
brass	17-2364-B
brassiere	17-2379-B,17-2400-B
brassy	17-2417-B,17-2434-B,17-2452-B
brave	17-2469-B,17-2483-B,17-2497-B,17-2512-B,17-2534-B
braveness	17-2549-B,17-2571-B
bravery	17-2588-B,17-2608-B
brawl	17-2623-B
brazen	17-2636-B,17-2653-B
brazen faced	17-2670-B,17-2693-B
brazenness	17-2716-B,17-2741-B
brazil	17-2766-B
brazilian	17-2782-B,17-2805-B
breach	17-2827-B,17-2845-B,17-2861-B
bread	17-2880-B
breadth	17-2892-B
breadwinner	17-2912-B
break	17-2934-B,17-2947-B,17-2963-B,17-2975-B,17-2989-B,17-3006-B,17-3022-B,17-3040-B,17-3055-B,17-3070-B,17-3084-B,17-3100-B,17-3115-B
break down	17-3129-B
break in	18-149-B
break off	17-3149-B,18-0-B
break open	18-20-B
break through	18-41-B,18-64-B
break up	18-90-B,18-107-B,18-128-B
breakable	18-168-B
breakdown	18-185-B,18-202-B,18-223-B,18-240-B,18-264-B,18-283-B,18-300-B
breakfast	18-317-B,18-345-B
breakneck	18-366-B
breakout	18-388-B
breakup	18-404-B,18-421-B
breakwater	18-436-B
breast	18-457-B,18-469-B,18-484-B
breasted	42-1802-S
breastpin	18-498-B
breath	18-516-B,18-528-B
breathe	18-542-B
bred	146-1643-S
breeches	18-560-B
breed	18-577-B,18-591-B,18-606-B,18-620-B,18-634-B,18-650-B,18-663-B
breeding	18-677-B
breeze	18-694-B,18-707-B
breezy	18-724-B
brew	18-739-B
brewery	18-752-B
bribe	18-767-B,18-784-B
bribery	18-800-B,18-821-B
brick	18-839-B
bricklayer	18-852-B
bride	18-870-B
bridegroom	18-889-B
bridge	18-911-B,18-926-B,18-938-B
brief	18-952-B,18-970-B,18-984-B
briefcase	18-1000-B,18-1019-B
brigade	18-1036-B
brigand	18-1052-B
bright	18-1068-B,18-1082-B,18-1096-B,18-1109-B,18-1123-B,18-1138-B,18-1155-B,18-1170-B
brighten	18-1185-B
brightly	18-1203-B
brightness	18-1218-B
brilliance	18-1239-B,18-1256-B
brilliancy	18-1277-B,18-1294-B
brilliant	18-1315-B,18-1333-B,18-1356-B,18-1375-B,18-1395-B,18-1416-B,18-1434-B,18-1454-B
brim	18-1475-B,18-1486-B,18-1501-B,18-1515-B
brimstone	18-1526-B
brine	18-1543-B
bring	18-1557-B,18-1573-B,18-1591-B,18-1609-B
bring about	18-1627-B
bring in	18-1649-B
bring to bear	18-1667-B
bring up	18-1690-B
brink	18-1711-B,18-1723-B,18-1738-B
brio	18-1750-B
brisk	18-1761-B
british	18-1775-B
britisher	18-1793-B
brittle	18-1814-B
broach	18-1829-B
broad	18-1844-B,18-1856-B,18-1871-B,18-1885-B,18-1899-B
broad minded	18-1914-B
broadcast	18-1940-B,18-1959-B
broaden	18-1983-B
broadly	18-2003-B
brochure	18-2019-B
broider	18-2037-B
broke	18-2055-B
broken	18-2072-B
broker	18-2087-B,18-2100-B,18-2114-B
bromide	18-2132-B
bronchitis	18-2147-B
bronze	18-2167-B
brooch	18-2180-B
brood	18-2195-B,18-2208-B
brook	18-2231-B,18-2243-B,18-2257-B
broom	18-2271-B
bros	18-2285-B
broth	18-2297-B,18-2310-B
brothel	18-2324-B,18-2339-B
brother	18-2361-B,18-2374-B,18-2389-B,18-2404-B,18-2419-B,62-2830-S
brother in law	18-2437-B
brotherhood	18-2461-B,18-2481-B
brotherly	18-2504-B
brow	18-2524-B
brown	18-2536-B,18-2551-B
brownie	18-2566-B
bruise	18-2586-B
brunette	18-2605-B
brunt	18-2623-B
brush	18-2636-B,18-2653-B,18-2667-B,18-2682-B
brush off	18-2701-B
brusque	18-2718-B,18-2735-B,18-2750-B
brutal	18-2767-B
brutality	18-2783-B
brute	18-2806-B,18-2821-B,18-2834-B,18-2847-B
bubble	18-2860-B,18-2874-B,18-2890-B
bubbly	18-2908-B
buccaneer	18-2925-B,18-2943-B
buck	18-2959-B,18-2970-B
bucket	18-2983-B,18-2997-B,18-3011-B
buckle	18-3027-B,18-3041-B,18-3059-B
buckler	18-3075-B
buckshee	18-3090-B
buckskin	18-3110-B
bucolic	18-3125-B
bud	18-3141-B,18-3161-B,18-3173-B
buddy	18-3182-B,18-3195-B,18-3208-B,18-3221-B
budge	18-3237-B
budget	18-3253-B
buffer	18-3268-B
buffet	18-3281-B
buffoon	18-3294-B,19-0-B,19-14-B
bug	19-28-B,19-43-B
build	19-55-B,19-70-B
builder	19-87-B
building	19-106-B,19-122-B,19-139-B,19-152-B
built in	19-167-B
bulb	19-186-B,19-198-B,19-211-B
bulgaria	19-222-B
bulgarian	19-241-B
bulge	19-262-B,19-273-B
bulk	19-292-B,19-302-B,19-319-B
bull	19-335-B
bulldog	19-344-B
bulldoze	19-359-B
bullet	19-382-B,19-394-B,19-407-B
bulletin	19-421-B,19-439-B
bulletproof	19-458-B
bullring	19-482-B
bullshit	19-497-B,19-514-B,19-530-B
bully	19-547-B
bum	19-559-B,19-570-B,19-581-B
bump	19-597-B,19-607-B
bumper	19-622-B
bumpy	19-637-B
bun	19-652-B
bunch	19-663-B,19-675-B,19-688-B,19-700-B,19-714-B,19-725-B,19-741-B,19-757-B
bundle	19-771-B,19-785-B,19-801-B,19-816-B,19-832-B,19-847-B
bung	19-866-B
bunker	19-877-B,19-892-B
bunkum	19-906-B,19-921-B,19-935-B
buoy	19-950-B
burden	19-960-B,19-976-B,19-992-B,19-1011-B,19-1031-B,19-1050-B,19-1069-B
bureau	19-1085-B,19-1098-B,19-1115-B
bureaucracy	19-1129-B
burg	19-1153-B
burger	19-1165-B
burgess	19-1182-B
burgher	19-1202-B,19-1222-B
burglar	19-1239-B,19-1258-B
burglary	19-1276-B,19-1295-B
burgle	19-1314-B
burial	19-1335-B
buried	19-1350-B
burin	19-1364-B
burly	19-1376-B,19-1390-B
burn	19-1402-B,19-1417-B,19-1429-B,19-1446-B,19-1459-B
burner	19-1474-B
burning	19-1488-B,19-1504-B,19-1522-B,19-1538-B,19-1555-B
burnt	19-1573-B
burrow	19-1587-B
burst	19-1603-B,19-1619-B,19-1635-B,19-1653-B,19-1669-B,19-1685-B,19-1707-B,19-1724-B,19-1737-B
bury	19-1755-B,19-1770-B,19-1786-B
bus	19-1800-B
bush	19-1812-B,19-1823-B
bushy	19-1834-B
business	19-1851-B,19-1867-B,19-1884-B,19-1898-B,19-1913-B,19-1929-B
businesslike	19-1947-B
businessman	19-1969-B,19-1992-B,19-2011-B
bust	19-2039-B,19-2050-B,19-2062-B
bust up	19-2077-B
busy	19-2091-B,19-2104-B,19-2116-B,19-2127-B,19-2141-B,19-2154-B
but	19-2171-B,19-2179-B,19-2190-B,19-2204-B,19-2213-B
butcher	19-2223-B,19-2243-B
butchery	19-2260-B,19-2277-B
butler	19-2292-B,19-2306-B
butt	19-2324-B
butter	19-2341-B
butterfly	19-2355-B
button	19-2371-B,19-2384-B
buttonhole	19-2400-B
buy	19-2429-B,19-2440-B
buyer	19-2450-B,19-2463-B,19-2476-B,19-2492-B
buzz	19-2506-B,19-2522-B
buzzer	19-2536-B
by	19-2553-B,19-2558-B,19-2566-B,19-2576-B,19-2582-B,19-2591-B,19-2599-B,19-2604-B,19-2615-B,19-2620-B,59-2967-S,96-492-S
by step	128-254-S
bygone	19-2626-B,19-2641-B
bypass	19-2658-B,19-2675-B,19-2689-B
bystander	19-2705-B
byte	19-2720-B
byword	19-2730-B,19-2749-B
cab	19-2768-B,19-2781-B
cabal	19-2795-B
cabana	19-2807-B
cabaret	19-2821-B
cabbage	19-2837-B
cabin	19-2853-B,19-2864-B,19-2876-B,19-2891-B,19-2904-B
cabinet	19-2917-B,19-2933-B,19-2950-B
cable	19-2965-B,20-0-B,20-18-B,20-30-B,20-41-B,20-61-B
cablegram	20-76-B
cackle	20-94-B,20-109-B
cactus	20-124-B
cadaver	20-138-B,20-151-B
cadenced	20-167-B
cadet	20-186-B
cadre	20-198-B
caesarean	20-210-B
caffeine	20-238-B
cage	20-255-B
cagey	20-267-B
caginess	20-283-B
cake	20-306-B,20-319-B,20-331-B
