konwencjonalny	31-1241-B
konwersacja	20-863-B,26-3301-B,31-1402-B,39-842-B,40-2256-B,73-2046-B,133-471-B
konwersja	31-1572-B
konwertor	31-1678-B,31-1719-B
konwoj	31-2159-B,47-3688-B
konwulsja	31-2174-B,33-390-B,125-1368-B
kooperacja	26-603-B,31-2565-B
koordynacja	31-2691-B
koordynowac	31-2667-B
kopac	39-1942-B,76-44-B
kopac motyka	65-3164-B
kopacz	39-2005-B
kopalnia	85-480-B,99-2185-B
koparka	39-2019-B,48-3365-B,121-578-B
kopcic	123-2202-B
koper	39-2393-B
koperta	32-2995-B,47-1640-B,74-2062-B,148-690-B
kopia	31-2807-B,104-27-B,112-100-B,137-3092-B
kopiarka	31-2761-B,98-3516-B
kopiec	65-2067-B
kopiowac	31-2818-B,43-2932-B,111-3069-B
kopnac	76-85-B
kopniak	76-56-B
kopniecie	76-69-B
kopuła	34-1469-B,42-934-B
kopyto	66-1845-B
kora	13-278-B
koral	31-2970-B
koran	76-2037-B
korba	33-505-B
korbowy	33-517-S
korea	76-2049-B
koreańczyk	76-2061-B
koreański	1-495-B,76-2080-B
korek	19-866-B,31-3126-B,98-2876-B,100-2568-B,128-2494-B,128-2508-B,145-535-B
korek uliczny	74-2258-B
korekta	105-365-B
korespondencja	32-361-B
korespondent	32-417-B
korespondowac	32-287-B
korona	31-3371-B,33-3113-B,76-2098-B
koronacja	31-3401-B
koronka	76-2520-B
koronowac	33-3126-B
korozja	32-608-B
korporacja	31-3422-B,31-3509-B
korpus	31-3651-B
korsarz	18-2925-B,32-694-B,99-2055-B
korupcja	32-674-B
korygowac	6-1252-B,31-3708-B,45-3488-B
korytarz	32-521-B,62-2943-B,62-3052-B,96-507-B
koryto	139-293-B
korzeń	107-2760-B,107-3032-B,114-1762-B
korzysc	3-3357-B,11-2000-B,14-2274-B,14-2340-S,57-2535-B
korzystny	3-3438-B,51-3024-B,104-2465-B
kosc	16-2483-B
kosc słoniowa	74-1940-B
koscielny	24-2212-B,24-2248-B,25-1953-B,44-2194-B,44-2242-B
