frightened	испуганный
frightening	пугающий
frightening	страшный
frightening	ужасный
frightful	страшный
frightful	ужасный
frightfully	страшно
frightfully	ужасно
frigid	холодный
frigidity	фригидность
frigidity	холодность
frigidly	холодно
frill	оборка
frill	рюш
frilly	цветистый
fringe	бахрома
fringe	кайма
fringe	край
fringe	окаймлять
fringe	окраина
fringe	челка
frippery	мишура
frisk	обыскивать
frisk	прыгать
frisk	резвиться
frisky	резвый
frivolity	ветреность
frivolity	легкомысленность
frivolity	легкомыслие
frivolity	фривольность
frivolous	легкомысленный
frivolous	поверхностный
frivolous	фривольный
frizz	завивать
frizzle	жариться
frizzy	вьющийся
frizzy	завитой
frizzy	кудрявый
frock	платье
frock	ряса
frog	жаба
frog	лягушка
frogman	водолаз
frolic	веселый
frolic	веселье
frolic	резвость
frolic	шалость
frolicsome	резвый
frolicsome	шаловливый
from	из
from	от
from	с
front	первый
front	фасад
front	фронт
frontage	фасад
frontal	фронтальный
frontier	граница
frontier	рубеж
frontiers	границы
fronton	фронтон
frontward	вперед
frontwards	вперед
frost	иней
frost	мороз
frost	покрывать глазурью
frostbitten	отмороженный
frosting	глазурь
frosty	заиндевелый
frosty	ледяной
frosty	морозный
frosty	холодный
froth	кипеть
froth	накипь
froth	пена
froth	пениться
frothy	пенистый
frothy	пустой
froward	упрямый
frowning	неодобрительный
frowning	угрожающий
frowning	хмурый
frowsty	затхлый
frowziness	неряшливость
frowzy	грязный
frowzy	затхлый
frowzy	неряшливый
frozen	замерзший
frozen	замороженный
frozen	ледяной
fructify	оплодотворять
fructify	плодородный: делать плодородным
fructose	фруктоза
frugal	бережливый
frugal	скромный
frugal	скудный
frugal	умеренный
frugal	экономный
frugality	бережливость
frugality	скромность
frugality	экономность
fruit	плод
fruit	плоды
fruit	последствие
fruit	результат
fruit	фрукт
fruit	фрукты
fruitful	выгодный
fruitful	плодовитый
fruitful	плодородный
fruitful	плодотворный
fruitfulness	плодородие
fruitfulness	плодотворность
fruition	осуществление
fruitless	бесплодный
fruitless	бесполезный
fruitlessly	бесплодно
fruits	плоды
fruity	звучный
fruity	смачный
fruity	сочный
frumpy	старомодный
frustrate	расстраивать
frustrate	срывать
frustrating	разочаровывающий
frustration	крушение надежд
frustration	отчаяние
frustration	разочарование
frustration	расстройство
frustration	срыв
frustration	чувство разочарования
fry	жарить
fry	жариться
fuchsia	фуксия
fuddle	напиваться
fuddle	одурманивать
fuddle	опьянение
fuddled	подвыпивший
fudge	помадка
fuel	горючее
fuel	топливо
fugitive	беглец
fugitive	беглый
fugitive	беженец
fugitive	мимолетный
fugue	фуга
fulcrum	точка опоры
fulfil	выполнять
fulfil	исполнять
fulfil	осуществлять
fulfil	удовлетворять
fulfill	выполнять
fulfill	исполнять
fulfill	осуществлять
fulfill	удовлетворять
fulfillment	выполнение
fulfillment	завершение
fulfillment	исполнение
fulfillment	осуществление
fulfillment	свершение
fulfilment	выполнение
fulfilment	завершение
fulfilment	исполнение
fulfilment	осуществление
fulfilment	свершение
fulfilment	совершение
fulgent	блестящий
fulgent	сияющий
full	заполненный
full	обильный
full	полный
full	сытый
full	целый
full-blooded	полнокровный
full-blooded	чистокровный
full-grown	взрослый
fullness	обилие
fullness	полнота
fullness	сытость
fully	вполне
fully	всецело
fully	полностью
fully	совершенно
fully	целиком
fulminate	греметь
fulminating	гремящий
fulness	обилие
fulness	полнота
fulness	сытость
fulsome	мерзкий
fulsome	отвратительный
fulsome	преувеличенный
fulsome	чрезмерный
fumbling	неловкий
fumbling	неуклюжий
fume	дымить
fumigate	дезинфицировать
fumigation	дезинфекция
fun	веселье
fun	забава
