hostelry	постоялый двор
hostess	бортпроводница
hostess	стюардесса
hostess	хозяйка
hostile	враждебный
hostile	вражеский
hostile	неприязненный
hostile	неприятельский
hostility	враждебность
hostility	неприязнь
hostler	конюх
hot	горячий
hot	горячо
hot	жаркий
hot	жарко
hot	острый
hot	пылкий
hot	разгоряченный
hot	резкий
hot	теплый
hot-blooded	вспыльчивый
hot-blooded	пылкий
hot-blooded	страстный
hot-tempered	вспыльчивый
hotbed	парник
hotbed	рассадник
hotel	гостиница
hotel	отель
hotheaded	вспыльчивый
hotheaded	горячий
hothouse	оранжерея
hothouse	теплица
hotly	горячо
hottentot	готтентот
hound	натравливать
hound	охотничья собака
hound	собака
hound	травить
hounding	травля
hour	час
houri	гурия
hourly	ежечасный
hourly	почасовой
house	вмещать
house	дом
house	здание
house	палата
house	помещать
house	предоставлять жилище
house	представление
house	приютить
house	расквартировывать
house	род
house	сеанс
house	семья
house	театр
house	хозяйство
houseboy	мальчик
housebreaker	взломщик
housebreaker	громила
household	домашний: домашнее хозяйство
household	семья
household	хозяйство
householder	глава семьи
housekeeper	домоправительница
housekeeper	эконом
housekeeper	экономка
housekeeping	домашний: домашнее хозяйство
housekeeping	домоводство
housemaid	горничная
housetop	кровля
housetop	крыша
housewife	домашний: домашняя хозяйка
housewife	домохозяйка
housing	жилище
housing	жилищное строительство
housing	жилье
housing	кожух
housing	корпус
housing	убежище
housing	футляр
hovel	лачуга
hovel	навес
hovel	шалаш
hover	колебаться
hover	парить
hover about	слоняться
hovercraft	корабль на воздушной подушке
how	как
how many	сколько
however	ведь
however	же
however	как
however	несмотря на это
however	но
however	однако
howitzer	гаубица
howl	вой
howl	выть
howl	завывать
howl	рев
howl	реветь
howling	вопиющий
howling	завывание
hoy	баржа
hr	час
hub	втулка
hub	ступица
hubbub	галдеж
hubbub	гам
hubbub	неразбериха
hubbub	сумятица
hubbub	шум
hubris	высокомерие
huckleberry	черника
huckster	мелочной торговец
huckster	торгаш
huddle	беспорядок
huddle	груда
huddle	куча
huddle	суматоха
huddle	толпа
hue	оттенок
hue	цвет
huff	раздражать
huffish	обидчивый
huffy	обидчивый
hug	обнимать
hug	объятие
huge	гигантский
huge	громадный
huge	могущественный
huge	мощный
huge	огромный
huge	сильный
hugger-mugger	тайный
huguenot	гугенот
hulking	неуклюжий
hull	корпус
hull	лущить
hull	оболочка
hull	остов
hull	скорлупа
hull	фюзеляж
hull	шелуха
hull	шелушить
hullabaloo	тарарам
hullabaloo	шум
hum	вонь
hum	вонять
hum	гудение
hum	гудеть
hum	жужжание
hum	жужжать
hum	мурлыкать
hum and haw	колебаться
human	людской
human	человеческий
humane	гуманный
humane	человечный
humanely	гуманно
humaneness	гуманность
humaneness	человечность
humanism	гуманизм
humanist	гуманист
humanistic	гуманистический
humanities	гуманитарные науки
humanity	гуманность
humanity	человечество
humanity	человечность
humankind	человечество
humanly	гуманно
humanoid	человекоподобный
humble	покорный
humble	простой
humble	скромный
humble	смиренный
humble	унижать
humbug	вздор
humbug	глупость
humbug	жулик
humbug	мошенник
humbug	мошенничество
humbug	надувательство
humbug	обман
humbug	плут
humbug	чепуха
humid	влажный
humid	сырой
humidification	влажность
humidifier	увлажнитель
humidify	увлажнять
humidity	в²лага
humidity	влага
humidity	влажность
humidity	сырость
humiliate	принижать
humiliate	унижать
humiliating	унизительный
humiliation	унижение
