appetizer	закуска
appetizing	аппетитный
appetizing	вкусный
appetizing	привлекательный
applaud	аплодировать
applaud	одобрять
applaud	рукоплескать
applause	аплодисменты
applause	одобрение
applause	рукоплескания
apple	яблоко
applesauce	яблочное пюре
appliance	прибор
appliance	приспособление
appliance	устройство
applicability	пригодность
applicability	применимость
applicable	пригодный
applicable	применимый
applicant	кандидат
applicant	претендент
applicant	проситель
application	аппликация
application	заявка
application	заявление
application	обиход
application	прибавление
application	приложение
application	применение
application	просьба
application	прошение
application	употребление
applied	прикладной
applique	аппликация
apply	использовать
apply	касаться
apply	относиться
apply	прикладывать
apply	прилагать
apply	применять
apply	употреблять
appoint	договариваться
appoint	назначать
appoint	определять
appoint	предназначать
appointment	встреча
appointment	должность
appointment	место
appointment	назначение
appointment	определение
appointment	пост
appointment	предназначение
appointment	свидание
appointments	оборудование
appointments	обстановка
apportion	выделять
apportion	делить
apportion	оделять
apportion	разделять
apportion	распределять
apportioning	распределение
apportionment	распределение
apposite	подходящий
apposite	соответствующий
apposite	уместный
appraisal	оценка
appraise	оценивать
appraise	расценивать
appraisement	оценка
appraiser	оценщик
appreciable	заметный
appreciable	значительный
appreciable	ощутимый
appreciate	оценивать
appreciate	понимать
appreciate	признательный: быть признательным
appreciate	ценить
appreciation	оценка
appreciation	понимание
appreciation	признательность
appreciation	уважение
appreciative	благодарный
appreciative	признательный
apprehend	арестовывать
apprehend	захватывать
apprehend	опасаться
apprehend	понимать
apprehend	постигать
apprehend	схватывать
apprehensible	вразумительный
apprehensible	понятный
apprehension	опасение
apprehension	понимание
apprehension	представление
apprehension	страх
apprehensive	боязливый
apprehensive	опасающийся
apprentice	учащийся
apprentice	ученик
apprenticeship	обучение
apprenticeship	срок учения
apprenticeship	учеба
apprenticeship	учение
apprenticeship	ученичество
apprise	известить
apprise	извещать
apprise	информировать
apprise	осведомлять
apprize	извещать
apprize	информировать
apprize	осведомлять
approach	близиться
approach	вход
approach	доступ
approach	заход на посадку
approach	надвигаться
approach	обращаться
approach	подступ
approach	подступать
approach	подход
approach	подходить
approach	подъезд
approach	приближаться
approach	приближение
approachability	доступность
approachable	достижимый
approachable	доступный
approaching	наступающий
approaching	приближение
approbation	одобрение
approbation	санкция
approbation	согласие
approbation	утверждение
appropriate	подходящий
appropriate	свойственный
appropriate	соответствующий
appropriateness	соответствие
appropriateness	уместность
appropriation	назначение
appropriation	предназначение
appropriation	присвоение
approval	одобрение
approval	санкция
approval	согласие
approval	утверждение
approve	одобрять
approve	санкционировать
approved	испытанный
approved	проверенный
approving	одобрение
approving	одобрительный
approx	приблизительно
approximate	приближать
approximate	приблизительный
approximately	почти
approximately	приблизительно
approximately	примерно
approximation	приближение
appurtenant	относящийся
appurtenant	принадлежащий
apricot	абрикос
april	апрель
apron	авансцена
apron	передник
apron	фартук
apropos	кстати
apropos	подходящий
apropos	уместный
apt	вероятный
apt	годный
apt	подходящий
apt	пригодный
apt	соответствующий
apt	способный
apt	уместный
aptitude	пригодность
aptitude	склонность
aptitude	способность
aptness	пригодность
aptness	соответствие
apyrous	огнеупорный
aqua	вода
aqualung	акваланг
aquamarine	аквамарин
aquamarine	аквамариновый
aquanaut	акванавт
aquarium	аквариум
aqueduct	акведук
aqueduct	водопровод
aqueous	водянистый
arab	араб
arab	арабский
arabesque	арабеска
arabia	аравия
arabian	аравийский
arabic	арабский
arable	пахотный
arbalest	арбалет
arbalest	самострел
arbiter	арбитр
