maternal	материнский
maternity	материнство
matey	приятель
mathematical	математический
mathematics	математика
matinee	утренник
mating	спаривание
matrimonial	супружеский
matrimony	брак
matrimony	супружество
matron	матрона
matron	экономка
matted	матовый
matter	вещество
matter	вопрос
matter	гной
matter	дело
matter	материал
matter	материя
matter	оглавление
matter	основание
matter	предмет
matter	предмет обсуждения
matter	содержание
matter	сущность
mattock	мотыга
mattress	матрац
mattress	тюфяк
maturation	созревание
mature	выдержанный
mature	вылежаться
mature	выношенный
mature	дозреть
mature	зрелый
mature	зреть
mature	созревать
mature	спелый
maturely	здраво
matureness	зрелость
maturity	зрелость
maudlin	сентиментальный
maul	избивать
mausoleum	мавзолей
maw	пасть
mawkish	приторный
mawkish	сентиментальный
mawkish	слащавый
mawkishness	приторность
maxim	правило
maxim	принцип
maxim	сентенция
maximal	максимальный
maximization	максимизация
maximize	максимизировать
maxims	принципы
maximum	величайший
maximum	максимальный
maximum	максимум
maximum	наибольший
may	возможность: иметь возможность
may	мочь
maybe	авось
maybe	возможно
maybe	может быть
maybe	пожалуй
mayonnaise	майонез
mayor	мэр
mayoress	жена мэра
maypole	майский: майское дерево
maze	лабиринт
maze	путаница
mazy	запутанный
me	меня
me	мне
me	себя
me	я
mead	мед
meadow	луг
meager	бедный
meager	мизерный
meager	недостаточный
meager	ограниченный
meager	скудный
meager	худой
meagre	бедный
meagre	мизерный
meagre	недостаточный
meagre	ограниченный
meagre	скудный
meagre	убогий
meagre	худой
meal	еда
meal	кушанье
meal	пища
meals	пища
mealtime	время принятия пищи
mean	думать
mean	жалкий
mean	значение: иметь значение
mean	значить
mean	намереваться
mean	низкий
mean	означать
mean	плохой
mean	подлый
mean	посредственный
mean	предназначать
mean	придирчивый
mean	скаредный
mean	скупой
mean	состояние
mean	средний
mean	убогий
meander	извилина
meander	изгиб
meanie	скупердяй
meaning	важность
meaning	значение
meaning	значительный
meaning	многозначительный
meaning	смысл
meaningful	многозначительный
meaningless	бессмысленный
meanness	низость
meanness	подлость
meanness	убожество
means	способ
means	средство
meantime	между тем
meanwhile	между тем
measles	корь
measly	жалкий
measly	презренный
measurable	измеримый
measure	вымерять
measure	единица измерения
measure	измерять
measure	критерий
measure	масштаб
measure	мера
measure	мерило
measure	мерить
measure	мерка
measure	мероприятие
measure	метр
measure	обмерять
measure	определять
measure	отмерять
measure	оценивать
measure	предел
measure	размер
measure	степень
measure	такт
measure	танец
measure off	отмерять
measure out	отмерять
measured	измеренный
measured	неторопливый
measured	размеренный
measured	сдержанный
measureless	безграничный
measureless	безмерный
measureless	неизмеримый
measurement	измерение
measurement	обмер
measuring	измерение
measuring	обмер
meat	мясо
meat	суть
meat	ядро
meatball	фрикаделька
meaty	мясистый
mechanic	механик
mechanic	ремесленник
mechanical	машинальный
mechanical	механический
mechanician	механик
mechanics	механика
mechanism	механизм
mechanization	механизация
mechanize	механизировать
medal	медаль
medal	орден
mediaeval	средневековый
medial	средний
median	медиана
mediate	посредничать
mediation	посредничество
mediator	посредник
mediator	примиритель
medic	медицинский
medical	врачебный
medical	медицинский
medical	терапевтический
medicament	лекарство
medicament	медикамент
medication	лечение
medicative	целебный
medicinal	лечебный
medicinal	медицинский
