radical	фундаментальный
radicalism	радикализм
radio	передавать по радио
radio	радио
radio	радиовещание
radio	радиоприемник
radioactive	радиоактивный
radioactivity	радиоактивность
radiobiology	радиобиология
radiochemistry	радиохимия
radiofrequency	радиочастота
radiogram	радиограмма
radiography	радиография
radiography	рентгенография
radiology	радиология
radiology	рентгенология
radiometry	радиометрия
radiotelephony	радиотелефония
radiotherapy	радиотерапия
radiotherapy	рентгенотерапия
radish	редиска
radium	радий
radius	радиус
radius	спица
radix	корень
raffish	беспутный
raffle	лотерея
raffle	разыгрывать в лотерее
raffle off	разыгрывать в лотерее
raft	плот
rafter	стропило
rag	ветошь
rag	дразнить
rag	лоскут
rag	лохмотья
rag	скандалить
rag	тряпка
rag	тряпье
ragamuffin	оборванец
rage	беситься
rage	бесноваться
rage	бешенство
rage	бушевать
rage	гнев
rage	злость
rage	неистовство
rage	неистовствовать
rage	раж
rage	свирепствовать
rage	ярость
ragged	драный
ragged	зазубренный
ragged	изорванный
ragged	косматый
ragged	оборванный
ragged	рваный
raging	бесноватый
raging	сильный
raging	яростный
ragman	старьевщик
ragman	тряпичник
ragpicker	старьевщик
ragpicker	тряпичник
rags	ветошь
raid	грабить
raid	набег
raid	налет
raid	облава
raid	опустошать
raid	рейд
rail	брусок
rail	перила
rail	рейка
rail	рельс
rail in	обносить забором
railing	изгородь
railing	ограда
railing	перила
rails	перила
raiment	наряд
raiment	одежда
raiment	одеяние
rain	град
rain	дождь
rain	литься
rain	поток
rainbow	радуга
raincoat	дождевик
raincoat	непромокаемый плащ
raincoat	плащ
rainproof	непромокаемый
rainwear	непромокаемая одежда
rainy	дождливый
raise	будить
raise	взимать
raise	водружать
raise	возбуждать
raise	возвести
raise	возвышать
raise	воспитывать
raise	вывести
raise	вызывать
raise	выращивать
raise	повышать
raise	повышение
raise	поднимать
raise	подниматься
raise	порождать
raise	прибавка
raise	разводить
raise	растить
raise	собирать
raise	ставить
raisin	изюминка
raising	выведение
raising	выращивание
raising	поднятие
raisins	изюм
rake	грабли
rake	кочерга
rake	повеса
rake	сгребать
rake up	сгребать
rakish	беспутный
rakish	развратный
rakish	распутный
rakish	ухарский
rally	авторалли
rally	восстановление сил
rally	митинг
rally	сбор
rally	слет
rally	собирать
rally	собираться
rally	собрание
ram	баран
ram	вколачивать
ram	долбяк
ram	забивать
ram	заколачивать
ram	плунжер
ram	ползун
ram	таран
ram	таранить
ram	трамбовать
ramble	болтать чепуху
ramble	бродить
ramble	виться
ramble	прогулка
ramble	экскурсия
rambling	бессвязный
rambling	бродячий
rambling	ползучий
rambunctious	буйный
rambunctious	бурный
rambunctious	непокорный
ramification	ветвление
ramification	разветвление
rammer	трамбовка
rammer	шомпол
ramp	бушевать
ramp	неистовствовать
ramp	пандус
ramp	трап
rampage	буйствовать
rampage	неистовство
rampage	неистовствовать
rampancy	буйство
rampant	безудержный
rampart	вал
ramrod	шомпол
ramshackle	ветхий
ramshackle	дряхлый
ramshackle	обветшалый
ranch	ранчо
ranch	ферма
rancher	фермер
rancid	прогорклый
rancidity	прогорклость
rancor	злоба
rancorous	злобный
rancour	злоба
randiness	похоть
random	беспорядочный
random	произвольный
random	случайный
randomness	случайность
range	амплитуда
range	ассортимент
range	бродить
range	величина
range	вереница
range	выравнивать
range	дальнобойность
range	дальность
range	диапазон
range	дистанция
range	досягаемость
range	зона
range	классифицировать
