urchin	мальчишка
urea	карбамид
ureter	мочеточник
urge	подгонять
urge on	подгонять
urge on	понукать
urgency	безотлагательность
urgency	настойчивость
urgency	настоятельность
urgency	срочность
urgent	безотлагательный
urgent	крайне необходимый
urgent	назойливый
urgent	настойчивый
urgent	настоятельный
urgent	насущный
urgent	неотложный
urgent	спешный
urgent	срочный
urgent	упорный
urgently	срочно
urinal	мочеприемник
urinate	мочиться
urination	мочеиспускание
urine	моча
urine	урина
urn	урна
us	нам
us	нас
usable	годный к употреблению
usable	практичный
usage	обиход
usage	обращение
usage	обхождение
usage	обыкновение
usage	обычай
usage	словоупотребление
usage	употребление
use	воспользоваться
use	израсходовать
use	использование
use	использовать
use	обращаться
use	обходиться
use	обыкновение
use	польза
use	пользование
use	пользоваться
use	потреблять
use	привычка
use	применение
use	применять
use	толк
use	употребление
use	употреблять
use	цель
use up	израсходовать
use up	использовать
use up	истощать
use up	истратить
used	подержанный
useful	полезный
useful	пригодный
usefulness	полезность
usefulness	польза
useless	бесплодный
useless	бесполезный
useless	напрасный
useless	непригодный
useless	тщетный
uselessness	бесполезность
user	пользователь
user	потребитель
usher	билетер
usher	вводить
usher	церемониймейстер
usher	швейцар
usherette	билетерша
using	использование
usual	обыкновенный
usual	обычный
usual	привычный
usual	принятый
usual	простой
usually	обыкновенно
usually	обычно
usurer	ростовщик
usurp	узурпировать
usurpation	узурпация
usurper	захватчик
usurper	узурпатор
usury	ростовщичество
uterus	матка
utilisation	использование
utilitarian	утилитарист
utilitarian	утилитарный
utility	полезность
utilization	использование
utilization	употребление
utilization	утилизация
utilize	использовать
utilize	утилизировать
utmost	величайший
utmost	крайний
utmost	предельный
utopia	утопия
utopian	утопический
utter	абсолютный
utter	вымолвить
utter	выражать
utter	изрекать
utter	крайний
utter	молвить
utter	полный
utter	произносить
utter	промолвить
utter	совершенный
utterance	выражение
utterance	высказывание
utterance	манера говорить
utterly	абсолютно
utterly	весьма
utterly	вконец
utterly	дотла
utterly	крайне
utterly	совершенно
utterly	совсем
utterly	чрезвычайно
uttermost	крайний
uttermost	предельный
uvula	язычок
v	вольт
vacancy	вакансия
vacancy	пробел
vacancy	пропуск
vacancy	пустота
vacant	вакантный
vacant	незанятый
vacant	пустой
vacant	свободный
vacate	освобождать
vacate	оставлять
vacation	каникулы
vacation	освобождение
vacation	отпуск
vacationer	отпускник
vacationist	отдыхающий
vacationist	отпускник
vaccinate	вакцинировать
vaccination	вакцинация
vaccination	прививка
vaccine	вакцина
vacillate	качаться
vacillate	колебаться
vacillating	колеблющийся
vacillating	нерешительный
vacillation	колебание
vacillation	нерешительность
vacillation	шатание
vacua	вакуум
vacuity	бессодержательность
vacuity	пустота
vacuous	праздный
vacuous	пустой
vacuously	пусто
vacuum	вакуум
vacuum	пустота
vacuum	пылесосить
vagabond	бродяга
vagabond	бродячий
vagabondage	бродяжничество
vagarious	капризный
vagary	каприз
vagary	причуда
vagina	вагина
vagina	влагалище
vaginal	вагинальный
vaginal	влагалищный
vagrancy	бродяжничество
vagrant	бродяга
vagrant	бродячий
vagrant	странствующий
vague	неопределенный
vague	неясный
vague	отсутствующий
vague	расплывчатый
vague	рассеянный
vague	смутный
vagueness	неопределенность
vain	бесплодный
vain	бесполезный
vain	напрасный
vain	пустой
vain	суетный
vain	тщеславный
vain	тщетно
vain	тщетный
vainglorious	напыщенный
vainglorious	хвастливый
vainly	напрасно
