wince	вздрагивать
winch	ворот
winch	лебедка
wind	вертеть
wind	ветер
wind	виток
wind	дутье
wind	дух
wind	дыхание
wind	заводить
wind	извилина
wind	крутить
wind	мотать
wind	наматывать
wind	обвивать
wind	оборот
wind	поворачивать
wind	поворот
wind	поднимать
wind	подтягивать
wind	трубить
wind	чуять
wind round	обматывать
wind up	завершать
wind up	заводить
wind up	заканчивать
wind up	ликвидировать
wind up	наматывать
windbag	болтун
windbag	пустомеля
winding	витой
winding	извилина
winding	извилистый
winding	изгиб
winding	наматывание
winding	обмотка
windlass	брашпиль
windlass	ворот
windlass	лебедка
windless	безветренный
windmill	ветряк
windmill	ветряной: ветряная мельница
window	витрина
window	окно
windpipe	трахея
windy	ветреный
windy	многословный
wine	вино
winegrower	виноградарь
winegrower	винодел
wing	крыло
wing	створка
wing	фланг
wing	флигель
winged	крылатый
winged	окрыленный
wink	мерцать
wink	миг
wink	мигать
wink	моргать
wink at	подмигивать
winner	победитель
winning	обаятельный
winning	привлекательный
winning	решающий
winnings	выигрыш
winsome	обаятельный
winsome	привлекательный
winsome	располагающий
winter	зима
winter	зимний
winter	зимовать
winter	перезимовать
wintering	зимовка
winterly	зимний
wintry	зимний
wipe	вытереть
wipe	вытирать
wipe	обтирать
wipe	утирать
wipe away	вытирать
wipe away	стирать
wipe away	утирать
wipe off	вытирать
wipe off	стирать
wipe off	утирать
wipe out	вытирать
wipe out	смывать
wipe out	уничтожать
wipe up	вытирать
wipe up	подтирать
wiper	дворник
wiper	стеклоочиститель
wire	провод
wire	проволока
wire	телеграмма
wire	телеграфировать
wire-haired	жесткошерстный
wireless	беспроволочный
wireless	радио
wireless	радиоприемник
wiring	проводка
wiring	электропроводка
wiry	жесткий
wiry	жилистый
wisdom	мудрость
wise	благоразумный
wise	знающий
wise	мудрый
wise	осведомленный
wise	рассудительный
wiseacre	умник
wisecrack	острить
wisecrack	острота
wisely	мудро
wish	желание
wish	желать
wish	пожелание
wish	пожелать
wish	хотеть
wishful	жаждущий
wishful	желающий
wishing	желание
wishy-washy	слабый
wispy	тонкий
wistful	тоскливый
wistful	тоскующий
wit	остроумие
wit	остряк
wit	разум
wit	рассудок
wit	ум
witch	ведьма
witch	колдунья
witch	чародейка
witchcraft	колдовство
witchery	колдовство
with	в
with	вместе с
with	несмотря на
with	от
with	с
with	у
withal	вдобавок
withdraw	аннулировать
withdraw	извлекать
withdraw	изымать
withdraw	отводить
withdraw	отдергивать
withdraw	отзывать
withdraw	отказываться
withdraw	убирать
withdraw	уходить
withdrawal	вывод войск
withdrawal	выход
withdrawal	изъятие
withdrawal	отвод
withdrawal	отнятие
withdrawal	отход
withdrawal	снятие
withdrawal	уход
wither	блекнуть
wither	вянуть
wither	засохнуть
wither	иссушать
wither	отцветать
wither	сохнуть
wither	увядать
withered	высохший
withers	холка
withhold	воздерживаться
withhold	отказывать
withhold	удерживать
withhold	утаивать
within	внутри
within	предел: в пределах
within	течение: в течение
without	без
without	вне
without	за
withstand	выдержать
withstand	выдерживать
withstand	выстоять
withstand	противостоять
withstand	сопротивляться
withstand	устоять
witless	безмозглый
witless	глупый
witless	дурацкий
witless	слабоумный
witness	видеть
witness	заверять
witness	засвидетельствовать
witness	свидетель
witness	свидетельство
witness	свидетельствовать
witness	удостоверять
witticism	острота
witticism	шутка
witty	остроумный
