bluntness	тупость
blur	затемнить
blur	затуманивать
blurred	расплывчатый
blurry	неясный
blurry	расплывчатый
blurry	туманный
blurt	сболтнуть
blurt out	сболтнуть
blush	зардеться
blush	краснеть
blush	румянец
blusher	румяна
blushing	застенчивый
bluster	бушевать
bluster	реветь
bluster	хвастаться
bluster	шуметь
blustery	буйный
blustery	бурный
bo's'n	боцман
boa	боа
boar	боров
boar	кабан
boar	хряк
board	доска
board	коллегия
board	комитет
board	пансион
board	питание
board	полка
board	правление
board	стол
boarder	пансионер
boarder	пенсионер
boarding-house	пансион
boast	бахвалиться
boast	бахвальство
boast	хвалиться
boast	хвастать
boast	хвастаться
boast	хвастовство
boaster	бахвал
boaster	хвастун
boastful	хвастливый
boastfulness	хвастливость
boasting	хвастовство
boat	корабль
boat	лодка
boat	судно
boat	шлюпка
boatman	лодочник
boatswain	боцман
bob	качаться
bob	книксен
bob	поплавок
bob	приседание
bob	танцевать
bob up	всплывать
bobbin	катушка
bobbin	цевка
bobbin	шпулька
bobbin	шпуля
bobbinet	тюль
bobble	промах
bobby	полисмен
bobcat	рысь
bodice	корсаж
bodice	лиф
bodiless	бесплотный
bodiless	бестелесный
bodily	вполне
bodily	всецело
bodily	полностью
bodily	телесный
bodily	физический
bodily	целиком
bodkin	кинжал
bodkin	шило
body	корпорация
body	корпус
body	кузов
body	орган
body	остов
body	тело
body	труп
body	туловище
bodyguard	телохранитель
bog	болото
bog	сортир
bog	топь
bog	трясина
bogey	домовой
boggy	болотистый
bogus	подделанный
bogus	поддельный
bogus	подложный
bogy	привидение
bogy	пугало
bohemian	богемец
boil	бурлить
boil	варить
boil	вариться
boil	кипеть
boil	кипятить
boil	кипятиться
boil	клокотать
boil	нарыв
boil away	выкипеть
boiler	бойлер
boiler	кипятильник
boiler	котел
boiler	куб
boiler	паровой котел
boilersuit	комбинезон
boiling	варка
boiling	кипение
boiling	кипячение
boiling	кипящий
boiling hot	кипящий
boisterous	бурный
boisterous	неистовый
bold	дерзкий
bold	дерзновенный
bold	жирный
bold	наглый
bold	отчетливый
bold	смелый
bold	храбрый
bold-faced	дерзкий
bold-faced	наглый
boldly	смело
boldness	дерзость
boldness	смелость
boldness	удаль
bole	ствол
bolero	болеро
bolide	болид
bolivian	боливийский
boloney	вздор
boloney	ерунда
boloney	чепуха
bolster	валик под подушкой
bolster	поддерживать
bolster	подкладка
bolt	болт
bolt	задвижка
bolt	засов
bolt	молния
bolt	понести
bolt	рулон
bolt	удирать
bolt	шкворень
bolter	беглец
bomb	бомба
bomb	бомбардировать
bomb	бомбить
bombard	бомбардировать
bombardment	бомбардировка
bombast	высокопарность
bombast	напыщенность
bombastic	высокопарный
bombastic	напыщенный
bomber	бомбардировщик
bombing	бомбардировка
bombing	бомбежка
bombing	бомбометание
bombshell	бомба
bona fide	настоящий
bond	залог
bond	облигация
bond	обязательство
bond	связывать
bond	связь
bond	соединение
bondage	рабство
bonded	связанный
bondman	невольник
bondman	поручитель
bondman	раб
bonds	обязательство
bonds	узы
bondsman	крепостной
bondsman	невольник
bondsman	раб
bondswoman	раба
bone	костный
bone	кость
bonehead	дурак
boner	промах
bones	кость
bonhomie	добродушие
bonkers	безумный
bonkers	помешанный
bonnet	капот
bonnet	кожух
bonnet	колпак
bonnet	крышка
bonnet	чепчик
bonnet	шапка
