crossbow	самострел
crossbreed	гибрид
crossbreed	помесь
crossbreed	скрещивать
crossbreeding	скрещивание
crosshead	крейцкопф
crossing	железнодорожный переезд
crossing	переезд
crossing	перекресток
crossing	переправа
crossing	пересечение
crossing	переход
crossing	скрещение
crossing	скрещивание
crossness	раздражительность
crossroad	перекресток
crossroads	перекресток
crossroads	распутье
crosswalk	пешеходный переход
crosswise	крестообразно
crossword	кроссворд
crotch	ветвление
crotch	промежность
crotch	разветвление
crotchet	крюк
crotchet	крючок
croup	круп
croupier	банкомет
croupier	крупье
crow	ворона
crow	кукарекать
crowbar	лом
crowd	гурьба
crowd	толпа
crowd out	вытеснять
crowded	наполненный
crowded	переполненный
crowded	полный
crowfoot	лютик
crown	венец
crown	верхушка
crown	гребень
crown	корона
crown	коронка
crown	короновать
crown	крона
crown	темя
crucial	критический
crucial	решающий
crucible	тигель
crucifix	распятие
cruciform	крестообразный
crude	грубый
crude	необработанный
crude	сырой
crudity	грубость
crudity	необработанность
cruel	грубый
cruel	жестокий
cruel	ужасный
cruelty	жестокость
cruise	крейсировать
cruise	круиз
cruise	рейс
cruiser	крейсер
crumb	кроха
crumb	крошка
crumble	искрошить
crumble	крошить
crumble	крошиться
crumble	обваливаться
crumble	разрушаться
crumble	распадаться
crumble	растирать
crumbly	крошащийся
crumbly	рассыпчатый
crumbly	рыхлый
crumby	мягкий
crummy	мерзкий
crumple	комкать
crumple	мять
crumpled	сморщенный
crunch	грызть
crunch	раздавливать
crunch	скрип
crunch	скрипеть
crunch	хруст
crunch	хрустеть
crunchy	хрустящий
crupper	круп
crusade	бороться
crusade	кампания
crusade	крестовый поход
crusader	крестоносец
crush	давить
crush	уничтожать
crush up	растолочь
crusher	дробилка
crushing	сокрушительный
crushing	уничтожающий
crust	дерзость
crust	кора
crust	корка
crust	корочка
crust	наглость
crust	нахальство
crust	струп
crusty	покрытый корой
crusty	резкий
crutch	костыль
cry	вопль
cry	кричать
cry	плакать
cry	плач
cry down	принижать
cry down	умалять
cry out	вскрикивать
cry out	выкрикивать
crybaby	плакса
crying	вопиющий
crying	кричащий
crying	плач
crying	плачущий
crypt	крипта
crypt	склеп
cryptic	загадочный
cryptic	скрытый
cryptic	сокровенный
cryptic	таинственный
cryptic	тайный
cryptogram	криптограмма
cryptography	тайнопись
crystal	кристалл
crystal	хрусталь
crystalline	прозрачный
crystalline	хрустальный
crystallize	кристаллизовать
crystallize	кристаллизоваться
crystallography	кристаллография
cub	детеныш
cuban	кубинский
cube	возводить в куб
cube	куб
cubic	кубический
cubical	кубический
cubicle	кабина
cubism	кубизм
cubit	локоть
cuckold	рогоносец
cuckoo	глупец
cuckoo	кукушка
cucumber	огурец
cudgel	дубасить
cudgel	дубина
cue	кий
cue	сигнал
cuff	манжета
cuff	манжетка
cuff	обшлаг
cuirassier	кирасир
cuisine	кухня
cuisine	стол
cul-de-sac	тупик
culinary	кулинарный
cull	отбирать
cull	собирать
cullender	дуршлаг
culmination	зенит
culmination	кульминационный пункт
culmination	кульминация
culpability	виновность
culprit	виновник
culprit	преступник
cult	культ
cult	поклонение
cultivate	возделывать
cultivate	выращивать
cultivate	культивировать
cultivate	обрабатывать
cultivate	отделывать
cultivate	развивать
cultivated	возделанный
cultivated	культурный
cultivation	возделывание
cultivation	выращивание
cultivation	культивирование
cultivation	культура
cultivation	обработка
cultivation	отделка
cultivation	разведение
cultivation	развитие
cultivator	культиватор
cultural	культурный
culture	культура
culture	разведение
cultured	культивированный
cultured	культурный
cultured	образованный
cumber	затруднять
cumber	препятствовать
