oleaginous	196-125-B,196-151-B,196-175-B
oligarchy	196-209-B
olive	196-238-B,196-259-B,196-276-B
olympiad	196-301-B
olympian	196-329-B
olympic	196-361-B
omelet	196-392-B
omelette	196-410-B
omen	196-430-B,196-444-B,196-482-B,196-502-B
omened	143-638-S
ominous	196-522-B,196-547-B
omission	196-576-B,196-600-B
omit	196-626-B,196-652-B,196-678-B
omnibus	196-700-B
omnipotence	196-723-B
omnipotent	196-762-B,196-794-B
omnipresent	196-826-B
omniscience	196-859-B
omniscient	196-892-B,196-924-B
on	7-1224-S,28-150-S,28-165-S,38-2932-S,39-3724-S,45-1328-S,45-1358-S,46-459-S,55-5409-S,55-5436-S,55-5463-S,66-971-S,90-3563-S,94-4659-S,113-76-S,113-102-S,121-590-S,123-3324-S,123-3352-S,123-3374-S,123-3394-S,123-3418-S,123-3448-S,123-3472-S,125-2511-S,125-4539-S,125-4560-S,125-4591-S,125-4620-S,125-4639-S,125-4664-S,132-3042-S,160-2034-S,161-795-S,161-822-S,164-3851-S,165-2726-S,165-2756-S,171-3369-S,171-3396-S,171-3421-S,171-3783-S,187-3734-S,195-1108-S,196-956-B,196-962-B,196-993-B,196-1001-B,196-1009-B,196-1015-B,196-1023-B,196-1037-B,196-1057-B,204-3882-S,204-3911-S,205-865-S,210-5227-S,210-5252-S,221-2152-S,228-2141-S,228-2167-S,228-2199-S,228-2223-S,228-2243-S,228-2271-S,228-2303-S,228-2329-S,228-3000-S,235-1563-S,254-3002-S,259-686-S,259-4298-S,264-1411-S,289-2422-S,290-4840-S,296-4250-S,300-268-S,300-300-S,304-3775-S,305-2944-S,314-100-S,314-127-S,320-527-S,320-1754-S,323-4459-S,326-3499-S
on and off	196-1063-B
onanism	196-1105-B
once	196-1128-B,196-1148-B,196-1169-B,196-1189-B,196-1207-B,196-1227-B,196-1239-B
one	196-1278-B,196-1297-B,196-1326-B,196-1343-B,196-1358-B,196-1371-B
one day	196-1384-B
one eyed	196-1426-B,196-1448-B
one handed	196-1478-B
one s nose	33-3363-S
one sided	196-1508-B,196-1537-B,196-1574-B
one thing	196-1407-B
one way	196-1609-B
oneness	196-1644-B,196-1673-B
onerous	196-1698-B,196-1737-B,196-1776-B
