соты	139-17-B
сотый	141-776-B
соударение	51-4472-B,55-1479-B,144-1841-B
соул	272-896-B
соус	91-802-B,128-2917-B,238-5241-B,251-4158-B
соучастие	58-1330-B,204-336-B
соучастник	3-1074-B,5-2586-B,202-1176-B,204-2206-B
соученик	51-5252-B
софа	270-3548-B
сохнуть	92-0-B,203-2351-B,325-4017-B
сохранение	61-2161-B,70-4321-B,161-1190-B,174-3975-B,220-3147-B,243-215-B,250-1047-B,252-121-B,281-827-B,281-1413-B
сохранять	61-2654-B,63-658-B,138-382-B,161-576-B,174-3662-B,220-3471-B,242-5578-B,251-5279-B,281-1105-B
сохраняться	208-5806-B
социализм	270-2655-B
социалист	270-2684-B
социалистический	270-2713-B
социальный	270-2627-B,270-2876-B
социолог	270-3062-B
социологический	270-3018-B
социология	270-3091-B
социополитический	270-3122-B
сочетание	55-3902-B,57-996-B,60-5288-B,160-2587-B,169-3044-B,169-3214-B
сочетать	55-4180-B,60-4919-B,60-5964-B,328-1981-B
сочетаться	32-4354-B,126-58-B,183-646-B
сочинение	58-2273-B,64-3976-B,326-3309-B,327-4151-B
сочинитель	23-2378-B,327-3979-B
сочинять	57-4910-B,58-1847-B,62-768-B,149-566-B,156-3102-B,207-269-B,228-1219-B,322-2395-B,327-3763-B
сочиться	196-3041-B,249-420-B,303-1341-B
сочленение	19-4769-B,159-3000-B
сочность	160-1362-B,173-2125-B,179-2424-B,251-2155-B,285-1665-B
сочный	119-3053-B,160-1389-B,173-2235-B,179-2328-B,244-3193-B,251-2182-B,285-1693-B
сочувственный	289-3964-B
сочувствие	56-3825-B,57-3100-B,59-4242-B,96-4227-B,212-3595-B,289-4180-B
сочувствовать	56-3743-B,57-3253-B,212-3621-B,289-4078-B
сочувствующий	57-3294-B
сошлифовка	3-5028-B
союз	11-5328-B,21-1986-B,53-4477-B,59-5422-B,60-5319-B,109-4350-B,124-22-B,130-3216-B,166-263-B,310-2604-B
союз государств	59-5341-B
союзник	12-2196-B
союзный	12-80-B
соя	272-3305-B,272-3341-B,272-3381-B
спагетти	272-4152-B
спад	15-4340-B,73-3383-B,74-1133-B,74-2909-B,90-841-B,90-955-B,91-3173-B,91-3342-B,107-3333-B,235-350-B,259-1290-B,268-2731-B
спадать	91-3356-B,107-3347-B,107-3482-B,234-4678-B,250-1421-B
спазм	67-2806-B,273-560-B
спазматический	273-674-B
спальный вагон	267-1197-B
спальня	28-3529-B,28-3555-B,28-3961-B,89-3494-B,89-3738-B
спаржа	20-2464-B
спаривание	64-4608-B,66-3686-B,178-188-B,202-1105-B
спаривать	177-4477-B,177-4842-B,202-1067-B
спасание	241-2816-B,250-4660-B,250-4764-B
спасательный трос	168-2596-B
спасать	38-2907-B,236-1076-B,241-2840-B,243-1982-B,250-4685-B,250-4904-B,252-0-B
спасаться бегством	114-335-B
спасение	235-5180-B,236-1280-B,241-2862-B,250-4708-B,250-4791-B,252-149-B
спасибо	294-3105-B,294-3429-B
спаситель	236-1128-B,241-2915-B,252-333-B
спастический	64-2494-B,273-713-B,273-779-B
спать	267-1152-B,268-2659-B
спекаться	42-1450-B
спектакль	208-984-B,213-4500-B,263-946-B,273-3215-B
спектр	273-3609-B
спектрометр	273-3497-B
спектроскоп	273-3533-B
спектроскопия	273-3569-B
спекулировать	121-2189-B,273-3726-B
спекулянт	273-3940-B
спекулятивный	273-3862-B,294-4616-B,294-4727-B
спекуляция	273-1737-B,273-3829-B,316-3455-B
спелость	179-2452-B,245-3392-B
спелый	178-931-B,179-2348-B
сперва	112-3838-B,221-3506-B
сперма	256-2398-B,257-2131-B,273-5527-B
спертый	53-923-B,277-1821-B,283-3024-B
спесивый	19-3645-B,133-5068-B,313-3606-B,313-3682-B
спесь	221-2974-B
специализация	273-2106-B
специализированный	273-2196-B
специализироваться	273-2148-B
специалист	104-5333-B,273-2002-B,292-3145-B
специально	101-226-B,273-2272-B,273-2542-B
специальность	169-1932-B,194-4555-B,223-1224-B,273-2068-B,273-2336-B,300-3687-B
специальный	7-327-B,101-144-B,106-804-B,258-600-B,273-1938-B,292-3112-B
спецификация	273-1763-B,273-2673-B,278-3459-B
специфицировать	273-2751-B
специфический	273-2458-B
специя	274-351-B
спецовка	268-120-B,269-970-B
спецпроцессор	258-3323-B
спешиваться	85-4614-B
спешить	41-1274-B,115-1386-B,133-3791-B,133-3889-B,136-5078-B,141-1816-B,255-445-B
спешка	133-3812-B,141-1837-B,249-2460-B
спешность	153-1976-B
спешный	220-4631-B,314-525-B
спид	1-52-B
спидвей	273-4574-B
спидометр	52-4897-B,273-4513-B
спикер	273-1612-B
спина	24-4160-B
спина лошади	139-3776-B
спина на спине	210-5521-B
спине	24-4276-S,25-179-S,210-5521-S
спинет	274-1631-B
спинка	24-4176-B,25-51-B,89-3763-B,244-4171-B
спинка кровати	134-1682-S
спинной хребет	24-4420-B,49-4611-B,274-1459-B
спинномозговой	274-1276-B
спираль	70-1996-B,135-3798-B,171-4023-B,274-1825-B
спиральный	135-3554-B,274-1847-B
спиритизм	274-2210-B,274-2418-B
спирт	11-1522-B,274-2076-B
спиртное	251-4173-B
спиртной	11-1603-B,274-2518-B
спиртовой	11-1630-B,274-2546-B
списание	327-3910-B
список	31-2149-B,169-4167-S,169-4343-B,169-4564-B,237-3145-B,246-3327-B,247-1061-B,253-1252-B
список избирателей	216-63-B
список кандидатов	267-175-B
списывать	64-4758-B
спица	231-792-B,275-823-B
спичечная коробка	177-4548-B
спичка	177-4502-B
сплав	12-1486-B
сплавление	120-3686-B
сплавлять	12-1503-B,120-3520-B
сплачивать	159-2582-B,310-3172-B
сплевывать	274-2733-B
сплетать	155-405-B,155-4283-B,155-4824-B
сплетни	126-4856-B,252-2886-B,292-288-B,298-2480-B,324-234-B
сплетница	126-4878-B
сплетничать	126-4904-B,291-853-B,292-310-B,293-26-B
сплоченность	54-3297-B,310-3528-B
сплоченный	271-1162-B,310-3329-B
сплошной	57-1789-B,63-974-B,177-2924-B,271-1189-B
сплюснутость	113-4306-B
сплющивать	113-4254-B
спокойно	42-5091-B,58-2000-B,212-4561-B,230-291-B,280-523-B,301-1966-B
спокойный	42-4716-B,55-662-B,58-1972-B,85-6296-B,93-2810-B,93-3447-B,93-3572-B,100-235-B,163-2594-B,167-3470-B,197-5411-B,201-2781-B,206-1270-B,212-4465-B,230-21-B,240-3891-B,242-3163-B,256-810-B,258-2130-B,259-2335-B,269-1891-B,279-294-B,280-546-B,301-1529-B,308-5933-B,311-6836-B
спокойствие	42-4740-B,42-5173-B,58-2473-B,64-3387-B,93-2753-B,100-932-B,144-6034-B,197-4902-B,206-1112-B,206-1350-B,212-4528-B,229-5038-B,229-5132-B,230-46-B,230-354-B,230-446-B,240-3841-B,258-2220-B,280-768-B,301-1600-B,301-1793-B
сползать	267-3782-B
сполна	58-407-B
спонсор	275-1575-B
спонтанность	275-1598-B
спонтанный	275-1793-B,311-3862-B
спор	7-3992-S,12-3630-B,18-3779-B,31-440-B,37-5007-B,62-5081-B,63-4911-B,73-1480-B,86-3431-B,86-3727-B,229-1126-B,247-4788-B,282-2920-B,297-3279-B,327-1647-B
спора	275-2451-B
спорадический	275-2415-B
спорить	18-3515-B,18-3856-S,62-4456-B,62-5186-S,73-1496-B,86-3452-S,86-3744-B,229-1143-B,327-1664-B
спорный	18-3404-B,18-3900-B,62-5259-B,62-5794-B,63-4753-B,73-1219-B,86-3380-B
спорт	250-2169-S,275-2516-B,275-2604-B,327-5201-S
спортзал	131-990-B
спортивный	22-330-B,275-2550-B
спортсмен	22-269-B,275-2647-B
спортсменка	275-2676-B
способ	10-640-B,108-4092-B,176-768-B,178-3206-B,180-3893-B,183-2222-B,222-2979-B,246-313-B,272-517-B,290-151-B,292-3198-B,322-277-B
способ выражения	203-3593-B
способность	3-1672-B,17-5472-B,43-4818-B,44-92-S,107-175-B,123-4934-B,207-1302-S,291-509-B
способный	3-2135-B,17-5366-B,43-4876-B,123-5032-B
способный к сцеплению	54-3359-B
способствовать	3-925-B,10-4403-B,21-1283-B,63-3333-B,104-3641-B,106-4762-B,109-1633-B,109-2022-B,120-2767-B,135-4306-B,224-880-B,236-1598-B,287-1755-B
спотыкаться	108-52-B,283-3156-B,303-3183-B
справедливо	100-2217-B,107-2258-B,160-4189-B,245-74-B,245-740-B
справедливость	100-2250-B,107-2308-B,144-2472-B,160-3885-B,160-4219-B,245-575-B,245-857-B
справедливый	100-2182-B,107-1988-B,160-3720-B,245-103-B,245-503-B,245-676-B
справка	98-4431-B,152-1952-B,234-4822-B,236-3640-B
справляться	64-4147-B,174-5232-B,174-5516-B,175-3576-B
справок	98-4327-S,152-1848-S
справочник	57-2005-B,57-3646-B,97-1567-B,130-2962-B,132-1097-B,176-2066-B
спрашивать	20-1958-B,155-3240-B,229-3234-B,229-3584-B,241-1620-B
спрашивающий	152-1636-B
спрессовывать	57-1814-B
спринклер	276-217-B
спринт	276-246-B
спринтер	276-266-B
спрос	76-4689-B,152-1975-B,241-1649-B
спрут	194-5659-B
спрыгивать	160-1974-B
спрягать	60-5080-B,150-4239-B
спряжение	60-5140-B
спуск	50-3706-B,78-5595-B,83-5402-B
спускать	172-3768-B,249-914-B
спускать с привязи	310-4693-B
спускать со своры	308-94-B
спускаться	55-5107-B,78-5159-B,82-3615-B,91-3188-B,123-3008-B
спусковой крючок	303-2225-B
спуститься	78-5188-B,123-3038-B,279-2456-B
спутанный	60-2685-B
спутник	22-3327-B,57-2036-B,251-2725-B
спутывать	60-2073-B,60-2602-B,110-4470-B,145-1106-B,186-2110-B,233-915-B,269-3704-B
спущенная петля на чулке	163-1685-B
спячка	136-4106-S
спящий	20-2378-B,89-3663-B,267-1284-B
сравнение	55-270-B,57-2733-B,57-2789-B,57-2818-B,264-3953-B
сравнение по сравнению с	30-2009-B
сравнению с	30-2009-S
сравнивать	54-5089-B,57-2760-B,168-5519-B,177-4521-B
сравнимость	57-2384-B
сравнимый	57-2491-B
сравнительно	57-2638-B,238-2083-B
сравнительный	57-2560-B,238-2011-B
сражаться	27-3787-B,55-3641-B,111-2168-B,283-1031-B
сражение	27-3813-B,55-3667-B,111-2193-B,111-2426-B
сразу	143-5637-B,153-2403-B,199-3612-B,224-1560-B,245-183-B,245-260-B,281-2821-B,281-2907-B
срам	260-2452-B
срастаться	129-4535-B,162-1888-B,259-60-B
сращение	53-4388-B,59-2963-B
среда	2-3373-B,99-4515-S,99-4590-B,99-4682-B,179-687-B,181-1783-S,288-98-B
среди	13-2579-B,13-2595-B,13-3033-B,13-3078-B,30-3776-B,181-714-B
средневековый	178-4678-B,179-187-B
среднего	3-4557-S
средний	24-243-B,107-2018-B,155-878-B,178-2790-B,178-4715-B,179-705-B,181-258-B,181-508-B,183-2878-B,189-5107-B,198-286-B
средоточие	47-813-B
средства	65-4947-S
средства к жизни	170-1373-B
средство	10-458-B,10-659-B,13-5249-S,14-2171-S,15-5388-S,24-193-B,42-4973-S,63-1494-S,65-4804-S,78-2503-S,80-1237-S,178-3225-B,179-727-B,180-3913-B,197-3034-B,202-3462-S,256-892-S,280-973-S,301-1712-S,301-1908-S,316-1212-S,322-294-B
среды	61-2103-S
срез	71-240-B,255-4701-B
срезать	71-253-B
сродство	9-3289-B,161-4744-B,162-417-B
срок	72-2420-B,208-1883-B,222-1855-S,293-4645-B,297-3612-B
срок службы	168-2230-B
срок учения	17-3132-B
срочно	224-1580-B,314-591-B
срочность	314-271-B
