jessamine	jazmín
jest	žart
jest	žartovať
jester	figliar
jester	vtipkár
jester	šašo
jet	lúč
jet	prúd
jet	prúdový
jet	tryska
jet	vyrážať
jettison	odhodiť
jettison	vyhodiť
jettison	zhodiť
jetty	mólo
jetty	vlnolam
jewel	drahokam
jewel	klenot
jewel	šperk
jeweler	klenotník
jeweller	klenotník
jewellery	drahokamy
jewellery	klenotníctvo
jewellery	šperky
jewelry	klenotníctvo
jewelry	šperky
jibe	posmech
jibe	posmešok
jiff	okamih
jiffy	okamih
jig	hopkať
jigger	pohárik
jiggle	triasť
jigsaw	puzzle
jingle	cengať
jingle	zvoniť
jingle	štrngať
jingo	šovinista
jingoism	šovinizmus
jinx	smola
jinxed	prekliaty
jitter	chvenie
jitteriness	nervozita
jittering	chvenie
jittery	nervózny
job	miesto
job	pracovisko
job	práca
job	robota
job	služba
job	vec
job	zamestnanie
job	zločin
job	záležitosť
job	úloha
job	činnosť
jobber	dohadzovač
jobber	veľkoobchodník
jobbery	korupcia
jobbing	príležitostný
jobbing	výpomocný
jobless	nezamestnaný
joblessness	nezamestnanosť
jock	fanúšik
jocose	hravý
jocose	veselý
jocose	žartovný
jocular	humorný
jocular	veselý
jocular	zábavný
jocular	žartovný
jocund	veselý
jocundity	veselica
jocundity	veselosť
jog	behať
jog	drgnutie
jog	drgnúť
jog	klusať
jog	natriasať
jog	náraz
jog	sotiť
jog	striasať
jog	strkať
jog	triasť
jog	vzbudzovať
jog	úder
jogging	behanie
join	pridať
join	pridať sa
join	pripojiť
join	pripojiť sa
join	splynúť
join	spojenie
join	spojiť
join	spájať
join	viazať
join	vstúpiť
join	zaviazať
join	zlúčiť
join	zviazať
join	ústiť
joiner	stolár
joiner	truhlár
joinery	stolárstvo
joining	zväzok
joint	kĺb
joint	pečienka
joint	spoj
joint	spojenie
joint	spojený
joint	spojiť
joint	spojka
joint	spoločný
joint	spájať
joint	styk
joint	zhyb
joint	šev
joint owner	spolumajiteľ
joint-owner	spolumajiteľ
joint-stock	akciový
jointed	článkovaný
jointing	spojovanie
jointly	spoločne
jointly	spolu
joist	brvno
joist	hrada
joist	hranol
joist	nosník
joist	trám
joke	anekdota
joke	fígeľ
joke	sranda
joke	vtip
joke	žart
joke	žartovať
joker	vtipkár
joker	šibal
joker	žolík
jokey	smiešny
jolliness	veselica
jolliness	veselosť
jollity	slávnosť
jollity	veselica
jollity	veselosť
jolly	podnapitý
jolly	rozjarený
jolly	srdečný
jolly	veselý
jolly	zábavný
jolt	drgnúť
jolt	drkotať
jolt	hegať
jolt	natriasať
jolt	náraz
jolt	otriasť
jolt	potknúť sa
jolt	rozrušiť
jolt	strkať
jolt	strčiť
jolt	triasť
jolt	vraziť
jolt	úder
jolt	šok
josh	prekárať
josh	špásovať
josh	žartovať
jostle	strkať
jostle	tlačenica
jostle	tlačiť sa
jostle	zrážka
jot	zrnko
jotter	zošit
jounce	natriasať
jounce	triasť
journal	denník
journal	časopis
journal	žurnál
journalism	novinárstvo
journalism	žurnalistika
journalist	novinár
journalist	žurnalista
journalistic	novinársky
journalistic	žurnalistický
journey	cest
journey	cesta
journey	cestovať
journey	jazda
journeyman	remeselník
journeyman	tovariš
joust	súboj
joust	zápas
jousts	stretnutie
jovial	dobrý
jovial	veselý
jovial	žoviálny
joviality	veselica
joviality	veselosť
jowl	líce
jowl	sanica
jowl	tvár
