name-day	sviatok
nameless	bezmenný
nameless	neopísateľný
nameless	nevýslovný
nameless	neznámy
namely	hlavne
namely	totiž
names	mená
namesake	menovec
nanny	vychovávateľka
nanny-goat	koza
nap	driemať
nap	zdriemnutie
nape	tylo
nape	zátylok
nape	šija
naphtha	nafta
napkin	obrúsok
napkin	plienka
napkin	servítka
narcotic	narkotický
narcotic	narkotikum
narcotize	uspať
narrate	rozprávať
narrate	vyložiť
narrate	vyprávať
narration	rozprávanie
narrative	poviedka
narrative	príbeh
narrative	rozprávanie
narrative	rozprávka
narrator	rozprávač
narrow	obmedzený
narrow	tesný
narrow	zužovať
narrow	zúžiť
narrow	úzky
narrow down	obmedziť
narrow-minded	malicherný
narrow-minded	obmedzený
narrow-minded	úzkoprsý
narrowly	tesne
narrowly	úzko
narrowness	úzkosť
nasal	nosový
nascency	zrodenie
nascent	vznikajúci
nasturtium	žerucha
nasty	hanebný
nasty	hnusný
nasty	nechutný
nasty	nepríjemný
nasty	neslušný
nasty	odporný
nasty	podlý
nasty	protivný
nasty	sprostý
nasty	zlý
nasty	špinavý
natal	rodný
natal	vrodený
natality	pôrodnosť
nation	krajina
nation	národ
nation	ľud
nation	štát
national	celoštátny
national	národnostný
national	národné
national	národný
national	vlastenecký
national	ľudový
national	štátny
nationalism	nacionalizmus
nationalism	vlastenectvo
nationalist	nacionalista
nationalist	vlastenec
nationality	národnosť
nationality	občianstvo
nationalization	znárodnenie
nationalize	znárodniť
nationalize	zoštátniť
nationals	občania
nationwide	celoštátny
native	domorodec
native	domorodý
native	domáci
native	prirodzený
native	rodný
native	rodák
native	rýdzi
native	vrodený
native	čistý
nativity	narodenie
nativity	narodeniny
nativity	zrodenie
natter	hovoriť
natter	kecať
natter	trepať
natty	elegantný
natty	obratný
natty	úhľadný
natty	šikovný
natural	fyzický
natural	nenútený
natural	normálny
natural	odrážka
natural	prirodzený
natural	prírodný
natural	pôvodný
natural	skutočný
natural	vlastný
natural	vrodený
natural gas	zemný plyn
natural history	prírodopis
natural resin	smola
naturalism	naturalizmus
naturalist	naturalista
naturalist	prírodovedec
naturalize	udomácniť sa
naturalize	zdomácnieť
naturally	pochopiteľne
naturally	pravdaže
naturally	prirodzene
naturally	samozrejme
nature	charakter
nature	druh
nature	podstata
nature	povaha
nature	prirodzenosť
nature	príroda
nature	prírodný
nature	ráz
nature	typ
naught	bezcenný
naught	nič
naught	nula
naughtiness	beťárstvo
naughty	beťársky
naughty	naničhodný
naughty	nemravný
naughty	neposlušný
naughty	neslušný
naughty	nevychovaný
naughty	nezbedný
naughty	zlý
nausea	hnus
nausea	nevoľnosť
nausea	odpor
nausea	ťažoba
nauseating	hnusný
nauseating	odporný
nautical	námornícky
nautical	námorný
nautical	plavebný
naval	námorný
nave	loď
navel	pupok
navigable	splavný
navigate	riadiť
navigate	viesť
navigation	navigácia
navigation	plavba
navigator	moreplavec
navigator	navigátor
navvy	kopáč
navy	tmavomodrý
navy-blue	tmavomodrý
near	blízko
near	blízky
near	dôverný
near	neďaleko
near	neďaleký
near	pri
near	tesný
near	u
near-sighted	krátkozraký
nearby	blízky
nearby	nablízku
nearby	susedný
nearby	susedstvo
nearest	najbližší
nearly	bezmála
nearly	blízko
nearly	skoro
nearly	takmer
nearly	temer
nearness	blízkosť
neat	elegantný
neat	obratný
neat	pekný
neat	pôvabný
neat	upravený
neat	čistotný
neat	čistý
neat	šikovný
neatest	najkrásnejší
neatly	pekne
neb	nos
nebulous	hmlistý
