ox	vôl
oxide	oxid
oxidize	okysličovať
oxygen	kyslík
oyster	ustrica
ozone	ozón
ozone	ozónový
p	p
p.T.	telovýchova
pa	ocinko
pabulum	jedlo
pace	chod
pace	chodiť
pace	chôdza
pace	krok
pace	kráčať
pace	rýchlosť
pacemaker	vodca
pacemaker	vodič
pacesetter	vodca
pachyderm	hrubokožec
pacific	mierny
pacific	mierumilovný
pacific	pokojný
pacific	tichý
pacification	upokojenie
pacifier	cumeľ
pacifies	upokojiť
pacifist	pacifista
pacifist	pacifistický
pacify	upokojiť
pacify	utíšiť
pacify	zmierniť
pacifying	upokojujúci
pack	balenie
pack	baliť
pack	balík
pack	balíček
pack	banda
pack	batoh
pack	družstvo
pack	hromada
pack	napchať
pack	náklad
pack	obal
pack	skupina
pack	stlačiť
pack	stádo
pack	súbor
pack	vak
pack	zabaliť
pack	zhusťovať
pack	zväzok
pack	črieda
pack	škatuľa
package	balenie
package	balík
package	balíček
package	obal
package	puzdro
package	zabaliť
package	zväzok
packaging	balenie
packer	balič
packet	balík
packet	balíček
packet	škatuľa
packing	balenie
packing	obal
packing	tesnenie
packing	utesnenie
packing	zhustenie
packing case	bedňa
packs	valí
packthread	motúz
pact	pakt
pact	zmluva
pad	blok
pad	chránič
pad	podložka
pad	vankúš
pad	vložka
pad	vypchať
pad	vypchávka
padding	vata
padding	vypchávka
paddle	lopata
paddle	pádlo
paddle	stavidlo
paddy	zlosť
padre	kaplan
padre	kaplán
padre	páter
paediatrician	detský lekár
paeony	pivónia
pagan	neznaboh
pagan	pohan
pagan	pohanský
page	páža
page	strana
page	stránka
pageant	sprievod
pageantry	pompa
pageboy	poslík
paginate	stránkovať
pagination	stránkovanie
paging	stránkovanie
paid	platený
paid	zaplatené
paid capital for value	dobierka
pail	vedro
paillasse	slamník
pain	bolesť
pain	bolieť
pain	problém
pain	zarmútiť
pained	bolestivý
painful	bolestivý
painful	boľavý
painful	nepríjemný
painful	obtiažny
painful	trapný
painfully	bolestivo
painless	bezbolestný
paint	farba
paint	farbivo
paint	lak
paint	maľba
paint	maľovať
paint	náter
paint	vymaľovať
paint	zobraziť
painter	maliar
painter	natierač
painting	maľba
painting	maľovanie
painting	obraz
paintress	maliarka
paintwork	maľba
paintwork	náter
pair	dvojica
pair	dvojice
pair	pár
paisley	kašmír
pajamas	pyžamo
pal	kamarát
palace	palác
paladin	ochránca
paladin	rytier
palaeontology	paleontológia
palatable	chutný
palatable	prijateľný
palatableness	chutnosť
palate	poschodie
palatial	luxusný
palatial	palácový
palaver	dohadovanie
pale	bledo
pale	bledý
pale	kôl
pale	svetlý
pale	tyčka
pale	vybledlý
pale	zblednúť
paleface	beloch
palely	bledo
paleness	bledosť
paleontology	paleontológia
palette	paleta
palfrey	jazdecký kôň
paling	plot
palisade	hradba
palisade	palisáda
palish	poblednutý
pallet	paleta
pallet	prepravka
palliate	utíšiť
palliate	zmierniť
palliation	utíšenie
pallid	bledý
pallidness	bledosť
pallor	bledosť
palm	dlaň
palm	palma
palm tree	palma
palmar	dlaňový
palmy	skvelý
palmy	triumfálny
palmy	víťazný
palpability	hmatateľnosť
palpable	hmatateľný
palpable	zrejme
palpable	zrejmý
palpably	očividne
palpably	zrejme
palpate	ohmatať
palpitate	búšiť
palpitate	tĺcť
palsied	ochrnutý
palsy	obrna
