propensity	tendencia
proper	náležitý
proper	poriadny
proper	pravý
proper	riadny
proper	slušný
proper	správny
proper	vhodný
proper	vlastný
properly	dôkladne
properly	poriadne
properly	riadne
properly	správne
propertied	majetný
property	majetok
property	schopnosť
property	vlastnosť
property	vlastníctvo
prophecy	proroctvo
prophecy	veštba
prophesy	prorokovať
prophesy	veštiť
prophet	prorok
prophet	učiteľ
prophetic	prorocký
prophetic	veštecký
prophylaxis	prevencia
propinquity	blízkosť
propinquity	príbuznosť
propinquity	susedstvo
propitiate	uzmieriť
propitiate	zmieriť
propitiatory	zmierlivý
propitious	priaznivý
propitious	príhodný
proponent	navrhovateľ
proponent	zástanca
proportion	diel
proportion	kus
proportion	percento
proportion	podiel
proportion	pomer
proportion	proporcia
proportion	rozmer
proportion	úmera
proportion	úmernosť
proportion	časť
proportionable	úmerný
proportional	úmerný
proportionally	primerane
proportionate	úmerný
proportionately	primerane
proposal	návrh
proposal	ponuka
propose	navrhnúť
propose	navrhovať
propose	ponúknuť
propose	zamýšľať
proposer	navrhovateľ
proposition	návrh
proposition	ponuka
proposition	tvrdenie
proposition	vec
proposition	záležitosť
propound	navrhnúť
propound	potvrdiť
propound	tvrdiť
propounded	predložil
proprietary	majiteľ
proprietary	patentovaný
proprietary	vlastnícky
proprietary	vlastníctvo
proprietor	držiteľ
proprietor	majiteľ
proprietor	vlastník
proprietorial	vlastnícky
proprietorship	vlastníctvo
propriety	náležitosť
propriety	slušnosť
propriety	spôsobilosť
propriety	vhodnosť
propulsion	pohon
propulsive	hnací
prosaic	prozaický
prosaic	všedné
prosaic	všedný
proscribe	zakázať
proscription	zákaz
prose	próza
prosecute	konať
prosecute	pokračovať
prosecute	robiť
prosecute	žalovať
prosecuting	stíhanie
prosecution	obžaloba
prosecution	pokračovanie
prosecution	žaloba
prosecutor	žalobca
prospect	kandidát
prospect	rozhľad
prospect	vyhliadka
prospect	výhľad
prospect	záujemca
prospect	šanca
prospecting	prieskum
prospecting	pátranie
prospective	budúci
prospective	perspektívny
prospective	prípadný
prospectively	prípadne
prospector	zlatokop
prospects	výhľad
prospectus	prospekt
prosper	prosperovať
prosper	prospievať
prosperity	blahobyt
prosperity	prosperita
prosperous	úspešný
prosperously	úspešne
prosthesis	protéza
prostitute	prostitút
prostitute	prostitútka
prostitution	prostitúcia
prostration	vyčerpanie
protean	menlivý
protect	brániť
protect	chrániť
protected	chránený
protecting	ochranný
protection	ochrana
protective	ochranný
protectiveness	starostlivosť
protector	ochranca
protector	ochránca
protein	bielkovina
protein	proteín
protest	protest
protest	protestovať
protocol	protokol
proton	protón
prototype	prototyp
protract	preťahovať
protracted	predĺžený
protraction	predlžovanie
protractor	uhlomer
protrude	vysunúť
protrude	vyčnievať
protrusion	výčnelok
proud	pyšný
prove	dokazovať
prove	dokázať
prove	overiť
prove	overovať
prove	potvrdiť
prove	preskúšať
provenance	pôvod
provender	jedlo
provender	proviant
provenience	pôvod
proverb	príslovie
proverbial	príslovečný
provide	dodať
provide	dodávať
provide	obstarať
provide	opatriť
provide	poskytnúť
provide	poskytovať
provide	pripraviť
provide	stanoviť
provide	umožniť
provide	vybaviť
provide	zaistiť
provide	zaopatriť
provide	zásobovať
providence	prozreteľnosť
providential	príhodný
provider	dodávateľ
province	oblasť
province	provincia
proving	skúška
provision	opatrenie
provision	podmienka
provision	poskytnutie
provision	ustanovenie
provision	zabezpečenie
provision	zaopatrenie
provisional	dočasný
provisional	provizórny
provisionally	dočasne
proviso	podmienka
proviso	výhrada
provisory	provizórny
provocation	provokácia
provocative	provokatívny
provoke	provokovať
provoke	provokuje
provoke	vyprovokovať
provoke	vyvolať
provoke	vyzývať
provokes	provokuje
