represent	zobrazovať
representation	predstavenie
representation	reprezentácia
representation	stelesnenie
representation	zastúpenie
representation	znak
representation	znamenie
representation	znázornenie
representation	zobrazenie
representative	predstaviteľ
representative	reprezentant
representative	splnomocnenec
representative	typický
representative	zastupujúci
representative	zástupca
repress	potlačiť
repress	potláčať
repress	zadržať
repression	potlačenie
reprieve	odložiť
reprieve	omilostenie
reprimand	výčitka
reprint	dotlač
reprint	pretlač
reprisal	odplata
reprisal	odveta
reproach	vyčítať
reproach	výčitka
reproachful	vyčítavý
reproduce	kopírovať
reproduce	napodobniť
reproduce	reprodukovať
reproducer	reproduktor
reproducibility	reprodukovateľnosť
reproducible	reprodukovateľný
reproducing	reprodukovanie
reproduction	kópia
reproduction	reprodukcia
reproduction	rozmnožovanie
reproductive	reprodukčný
reproof	pokarhanie
reproof	výčitka
reprove	hrešiť
reprove	pokarhať
reprove	vyhrešiť
reproving	karhavý
reptile	had
reptile	plaz
republic	republika
republican	republikánsky
repudiate	neuznať
repudiate	odmietnuť
repudiate	zamietnuť
repudiation	odmietnutie
repugnance	nechuť
repugnance	odpor
repugnant	nechutný
repugnant	odporný
repugnant	odporujúci
repugnant	protivný
repulse	odmietnutie
repulse	odmietnuť
repulse	odraziť
repulse	odstrčiť
repulse	odvrhnúť
repulsion	averzia
repulsion	nevôľa
repulsion	odpor
repulsion	odrazenie
repulsive	odporný
repulsive	odpudzujúci
repulsive	protivný
repurchase	odkúpenie
repurchase	odkúpiť
reputable	slušný
reputable	uznávaný
reputable	vážený
reputable	úctyhodný
reputation	povesť
reputation	renomé
reputation	úcta
repute	považovať
repute	povesť
repute	reputácia
reputed	domnelý
reputed	údajný
reputedly	údajne
request	poprosiť
request	požiadaka
request	požiadavka
request	požiadať
request	prianie
request	prosba
request	prosiť
request	žiadať
request	žiadosť
requested	žiadal
requester	žiadateľ
requiem	rekviem
requiem	žalospev
require	potebovať
require	potrebovať
require	požadovať
require	vyžiadať si
require	žiadať
required	požadovaný
requirement	náležitosť
requirement	nárok
requirement	podmienka
requirement	potreba
requirement	požiadaka
requirement	požiadavka
requisite	nevyhnutný
requisite	nutnosť
requisite	nutný
requisite	náležitosť
requisite	potreba
requisite	potrebný
requisite	požiadavka
requisition	požiadaka
requisition	požiadavka
requisition	vymáhať
requisition	vyžadovať
requisition	zabaviť
requisition	žiadať
requisition	žiadosť
requital	odplata
requital	odveta
requital	pomsta
requite	odmeniť
rerun	opakovanie
rescind	anulovať
rescind	odvolať
rescind	zrušiť
rescinded	anulovaný
rescission	odvolanie
rescission	zrušenie
rescript	dekrét
rescript	výnos
rescue	oslobodenie
rescue	oslobodiť
rescue	vyslobodenie
rescue	vyslobodiť
rescue	zachraňovať
rescue	zachránenie
rescue	zachrániť
rescue	záchrana
rescuer	záchranca
research	bádanie
research	bádať
research	prebádať
research	prieskum
research	pátrať
research	skúmať
research	vyšetrovanie
research	výskum
researcher	výskumník
reseller	distribútor
reseller	díler
reseller	priekupník
resemblance	podoba
resemble	podobať sa
resemble	ponášať sa
resent	cítiť odpor
resent	neznášať
resentment	hnev
resentment	odpor
resentment	zlosť
reservation	obmedzenie
reservation	rezervácia
reservation	výhrada
reservations	rezervácia
reserve	odmeranosť
reserve	rezerva
reserve	rezervovať
reserve	rezervácia
reserve	uschovať
reserve	vyhradiť
reserve	výhrada
reserve	zaistiť
reserve	zdržanlivosť
reserve	záloha
reserve	zásoba
reserve	šetriť si
reserved	obsadený
reserved	odmeraný
reserved	rezervovaný
reserved	vyhradený
reserved	zdržanlivý
reservist	záložník
reservoir	nádrž
reservoir	priehrada
reservoir	rezervoár
reservoir	zásobník
reservoir	zásobáreň
reset	vynulovanie
resetting	nulovanie
resettle	presídliť
resettlement	presídlenie
reshuffle	premena
