sounding	znenie
soundless	nehlučný
soundless	tichý
soundlessly	ticho
soundly	dôkladne
soundness	neporušenosť
soundness	pevnosť
soundness	solídnosť
soundness	spoľahlivosť
soundness	správnosť
soundness	zákonitosť
soup	polievka
sour	kyslý
sour	mrzutý
sour	skysnúť
sour	trpký
sour	zatrpknúť
sour cherry	višne
source	prameň
source	príčina
source	pôvod
source	zdroj
source	žriedlo
sources	zdroje
souse	naložiť
souse	ponoriť
soused	opitý
soused	spitý
south	juh
south	južne
south	južný
southeast	juhovýchodný
southerly	južný
southern	južný
southland	juh
southpaw	ľavák
southward	južný
southwest	juhozápad
southwest	juhozápadný
souvenir	pamiatka
souvenir	spomienka
sovereign	monarcha
sovereign	najvyšší
sovereign	panovník
sovereign	suverénny
sovereign	vládca
sovereign	zvrchovaný
sovereignty	nadvláda
sovereignty	suverenita
sovereignty	zvrchovanosť
soviet	soviet
soviet	sovietsky
sow	siať
sow	sviňa
sow	zasiať
space	diera
space	doba
space	lehota
space	medzera
space	miesto
space	obdobie
space	odstup
space	priestor
space	priestranstvo
space	vesmír
spacecraft	loď
spaced-out	zvláštny
spacer	medzerník
spacing	odstup
spacing	riadkovanie
spacing	rozostup
spacing	rozstup
spacing	vzdialenosť
spacious	priestorný
spacious	priestranný
spacious	rozľahlý
spaciousness	priestrannosť
spade	rýľ
spake	hovoril
spall	úlomok
spam	obťažovať
spam	otravovať
span	interval
span	obdobie
span	oblúk
span	pole
span	preklenúť
span	premostiť
span	rozpätie
span	rozsah
span	uchopiť
spangled	trblietajúci
spanner	kľúč
spanning	rozpätie
spans	obsahuje
spar	boxovať
spar	rahno
spar	stožiar
spar	sťažeň
spare	chudý
spare	nadbytočný
spare	náhradný
spare	rezervný
spare	ušetriť
spare	uštriť
spare	voľný
spare	zbytočný
spare	zvyšný
spare	šetriť
spares	šetrí
sparing	sporivý
sparing	šetrný
sparingly	šetrne
spark	iskra
spark	iskriť
sparkle	iskriť
sparkle	sršať
sparkle	šumieť
sparkly	trblietajúci
sparrow	vrabec
sparrow grass	chren
sparse	riedky
sparsely	riedko
sparsely	zriedka
spasm	kŕč
spasm	záchvat
spasmodic	kŕčovitý
spasmodic	nepravidelný
spasmodic	prerušovaný
spastic	prerušovaný
spat	škriepka
spate	záplava
spatial	priestorový
spats	gamaše
spatula	lopatka
spatula	stierka
spawn	neresiť sa
speak	hovoril
speak	hovoriť
speak	povedať
speak	prednášať
speak	prehovoriť
speak	rečniť
speak	rozprávať
speak	svedčiť
speak	vravieť
speak to	osloviť
speaker	hovorca
speaker	rečník
speaker	tlmočník
speaker	zástupca
speaking	hovoriaci
speaks	hovorí
spear	bodnúť
spear	kopija
spear	oštep
spec	špecifikácia
special	mimoriadny
special	zvláštny
special	špecifický
special	špeciálny
specialisation	špecializácia
specialised	špecializovaný
specialism	špecializácia
specialist	odborník
specialist	špecialista
specialists	špecialisti
speciality	zvláštnosť
specialization	špecializácia
specialized	špecializovaný
specialness	zvláštnosť
specialty	špecializácia
species	druh
species	kmeň
specific	presný
specific	určitý
specific	výslovný
specific	špecifický
specification	označenie
specification	špecifikácia
specifier	špecifikátor
specify	spresniť
specify	stanoviť
specify	upresniť
specify	určiť
specify	uviesť
specify	vymedziť
specify	špecifikovať
specimen	exemplár
specimen	ukážka
specimen	vzor
specimen	vzorka
specious	falošný
specious	klamlivý
specious	zdanlivý
speckle	bodka
speckled	bodkovaný
speckled	fľakatý
speckled	jarabý
speckled	strakatý
