type something	napíš
typed	napísal
typeset	vsádzať
typesetter	sadzač
typesetting	sadzba
typewriter	písací stroj
typhoid fever	týfus
typhoon	tajfún
typhus	týfus
typical	charakteristický
typical	typický
typically	typicky
typify	symbolizovať
typify	typizovať
typing error	preklep
typist's error	preklep
typo	preklep
typographer	tlačiar
typographer	typograf
tyrannical	tyranský
tyrannize	tyranizovať
tyranny	despotizmus
tyranny	krutovláda
tyranny	tyrania
tyrant	krutovládca
tyrant	tyran
tyre	pneumatika
tyro	nováčik
tyro	začiatočník
tzar	cár
tzarina	cárovná
u	u
ubiquitous	všadeprítomný
udder	vemeno
ugliness	nepríjemnosť
ugliness	odpornosť
ugliness	ošklivosť
ugliness	podlosť
ugly	hnusný
ugly	hrozivý
ugly	mrzký
ugly	nepekný
ugly	nepríjemný
ugly	nízky
ugly	odporný
ugly	ohyzdný
ugly	podlý
ugly	protivný
ugly	pľuhavý
ugly	sprostý
ugly	výhražný
ugly	škaredý
ukase	nariadenie
ukase	príkaz
ulcer	vred
ulterior	postranný
ulterior	skrytý
ulterior	tajný
ulterior	vedľajší
ultima	posledný
ultimate	definitívny
ultimate	elementárny
ultimate	fundamentálny
ultimate	konečný
ultimate	podstatný
ultimate	posledný
ultimate	základný
ultimate	záverečný
ultimately	nakoniec
ultimately	napokon
ultimatum	ultimátum
ultra	extrémny
ultra	radikál
ultra	radikálny
ultramarine	ultramarín
ultrasonic	nadzvukový
ululate	vyť
ululate	zavýjať
umbrage	pohoršenie
umbrage	urážka
umbrella	dáždnik
umbrella	slnečník
umbrella	štít
umpire	rozhodca
umpire	sudca
umpteen	veľa
unabated	nezmenšený
unable	neschopný
unabridged	kompletný
unaccented	neprízvučný
unacceptability	neprijateľnosť
unacceptable	neprijateľný
unacceptable	nežiadúci
unaccommodating	neochotný
unaccountable	nevysvetliteľný
unaccountable	nezodpovedný
unaccountable	zvláštny
unaccustomed	neobvyklý
unaccustomed	nezvyknutý
unaccustomed	nezvyčajný
unadulterated	nefalšovaný
unadulterated	pravý
unadulterated	rýdzi
unadulterated	čistý
unadulterated	číry
unaffected	nedotknutý
unalterable	nemenný
unalterable	nezmeniteľný
unambiguous	jednoznačný
unambiguous	nedvojzmyselný
unanimity	jednohlasnosť
unanimity	jednomyseľnosť
unanimous	jednomyseľný
unanimously	jednomyseľne
unanimously	jednotne
unannounced	neohlásený
unanswerable	nevyvrátiteľný
unarmed	bezbranný
unarmed	neozbrojený
unary	jednočlenný
unasked	nepozvaný
unassuming	jednoduchý
unassuming	nenáročný
unassuming	skromný
unassured	neistý
unattached	nezávislý
unattached	samostatný
unattached	slobodný
unattached	voľný
unattainable	nedosiahnuteľný
unattended	nestrážený
unauthorized	neoprávnený
unavailable	neprístupný
unavailing	márny
unavailing	zbytočný
unavoidable	neodvratný
unavoidable	nevyhnutný
unawares	mimovoľne
unawares	neočakávane
unawares	nevedomky
unbalance	vychýliť
unbalanced	nevyrovnaný
unbearable	neznesiteľný
unbecoming	neprístojný
unbecoming	neslušný
unbecoming	nevhodný
unbeknown	neznámy
unbelievable	neuveriteľný
unbeliever	neverec
unbend	narovnať
unbend	povoliť
unbend	uvoľniť
unbending	neohybný
unbending	nepoddajný
unbending	neústupný
unbending	tvrdý
unbiased	nezaujatý
unbiased	objektívny
unbiassed	nezaujatý
unbind	rozviazať
unbind	uvolniť
unblemished	bezchybný
unblemished	nepoškvrnený
unblushing	nehanblivý
unblushing	nehanebný
unbolt	uvolniť
unbosom	odhaliť
unbosom	prezradiť
unbosom	vedieť
unbound	nespútaný
unbound	rozviazať
unbound	uvolniť
unbounded	bezmedzný
unbounded	nekonečný
unbounded	nesmierny
unbreakable	nerozbitný
unbridled	voľný
unbroken	celý
unbroken	dokonalý
unbroken	neporušený
unbroken	neprerušovaný
unbroken	nepretržitý
unbroken	zdravý
unbutton	rozopnúť
uncalled	žiadúci
uncalled-for	nemiestny
uncalled-for	nepotrebný
uncalled-for	nevhodný
uncanny	príšerný
uncanny	tajomný
uncared-for	zanedbaný
uncertain	kolísavý
uncertain	menlivý
uncertain	neistý
uncertain	nejasný
uncertain	nespoľahlivý
uncertain	nestály
uncertain	neurčitý
uncertain	pochybný
uncertain	premenlivý
