up-to-date	najnovší
upbeat	optimistický
upbeat	radostný
upbraid	hrešiť
upbraid	karhať
upbraid	kritizovať
upbraid	kárať
upbringing	vychovávanie
upbringing	výchova
upcoming	aktuálny
upcountry	vnútrozemie
update	aktualizovať
update	aktualizácia
update	opraviť
updates	aktualizácia
updating	aktualizácia
upgrade	aktualizovať
upgrade	aktualizácia
upgrade	vylepšiť
upgrade	vzostup
upgrades	aktualizácia
upgrading	aktualizácia
upgrading	zlepšenie
upheaval	prevrat
upheaval	vyzdvihnutie
upheave	zdvihnúť
uphill	hore
uphill	nahor
uphill	nahore
uphold	držať
uphold	podopierať
uphold	podporovať
uphold	potvrdiť
uphold	pridržiavať
uphold	schváliť
uphold	udržovať
upholding	udržovanie
upholsterer	čalúnnik
upholstery	poduška
upholstery	vypchávka
upholstery	čalúnenie
upkeep	udržovanie
upkeep	údržba
upland	vysočina
uplift	povzbudiť
uplift	povznesenie
uplift	povzniesť
upon	na
upon	o
upon	po
upon	pozícia
upon	pri
upper	horný
upper	vrchný
upper	vyšší
uppish	arogantný
uppish	bezočivý
uppish	namyslený
upright	kolmo
upright	kolmý
upright	poctivý
upright	podpera
upright	priamo
upright	priamy
upright	rovno
upright	rovný
upright	spravodlivý
upright	statočný
upright	stĺpik
upright	vzpriamený
upright	zvisle
upright	zvislý
upright	čestný
uprightness	poctivosť
uprightness	zvislosť
uprightness	čestnosť
uprise	povstať
uprise	vstať
uprise	vznik
uprising	povstanie
uprising	vzbura
uprising	výstup
uproar	hluk
uproar	lomoz
uproar	vzrušenie
uproarious	búrlivý
uproarious	hlučný
uproariously	búrlivo
uproot	vykoreniť
uproot	vykynožiť
upset	poraziť
upset	preklopenie
upset	prevrat
upset	prevrhnutie
upset	prevrátenie
upset	rozrušený
upset	rozrušiť
upset	rozčúlený
upset	rozčúliť
upset	vzrušiť
upset	zmätený
upset	zmätok
upset	znervózniť
upset	zvrhnutie
upshot	výsledok
upshot	záver
upside	budúci
upside-down	obrátený
upstairs	hore
upstairs	nahore
upstanding	bezúhonný
upstanding	pevný
upstanding	poctivý
upstanding	priamy
upstanding	vzpriamený
upstanding	čestný
upstart	nedávny
upstart	nový
upstart	povýšenec
upstart	zbohatlík
upsurge	vzrast
uptake	absorpcia
uptake	chápanie
uptake	pochopenie
upturn	vzostup
upturn	zlepšenie
upward	nahore
upward	stúpajúci
upward	vzostupný
upwards	hore
upwards	nahor
upwards	vpred
uranium	urán
urban	mestský
urbane	uhladený
urbane	zdvorilý
urchin	darebák
urchin	uličník
urge	naliehanie
urge	naliehať
urge	nutkanie
urge	nútiť
urge	podnecovať
urge	poháňať
urge	ponúkať
urge	potreba
urge	povzbudzovať
urge	pud
urge	túžba
urge	uviesť
urge	zdôrazňovať
urgency	naliehavosť
urgency	neodkladnosť
urgency	nutnosť
urgency	nástojčivosť
urgent	bezodkladný
urgent	dotieravý
urgent	naliehavý
urgent	neodbytný
urgent	neodkladný
urgent	neústupný
urgent	nutný
urgent	súrny
urgent	tvrdošijný
urgent	urgentný
urinal	pisoár
urinate	močiť
urine	moč
urn	urna
us	nami
us	nás
usable	použiteľný
usable	upotrebiteľný
usage	narábanie
usage	obyčaj
usage	použitie
usage	užívanie
usage	využitie
usage	zaobchádzanie
usage	zvyk
usage	zvyklosť
use	aplikácia
use	potrebovať
use	použitie
use	použiť
use	používanie
use	používať
use	spracovať
use	stráviť
use	uplatnenie
use	upotrebenie
use	upotrebiť
use	užiť
use	užívať
use	využiť
use	využívať
use	zachádzať
use	zmysel
use	zneužiť
use	zvyk
