frisky	95-1710-B
frit	95-1725-B
fritter away	95-1736-B
frivolity	95-1761-B
frivolous	95-1789-B
fro	95-1815-B,95-1826-B
frog	95-1834-B
frogman	95-1845-B
froid	200-1889-S
frolic	95-1863-B,95-1877-B,95-1890-B
frolicsomeness	95-1908-B
from	14-89-S,16-2923-S,19-3331-S,62-1192-S,70-619-S,70-631-S,70-644-S,95-1932-B,95-1940-B,95-1948-B,95-1955-B,153-3296-S,239-3460-S,269-2305-S
from abroad	95-1963-B
from behind	95-1988-B
from far	95-2007-B
from here	95-2025-B
from now on	95-2043-B
from st	68-1716-S
from the back	95-2064-B
from the front	95-2085-B
from the inside	95-2107-B
from the right	95-2132-B
from there	95-2155-B
front	95-2085-S,95-2181-B,95-2195-B,95-2208-B,95-2225-B,95-2239-B,114-2033-S
front hall	95-2251-B
front of	114-2049-S
front office	95-2272-B
frontage	95-2299-B
frontal	95-2319-B,95-2334-B
frontier	95-2350-B
frore	95-2367-B
frost	95-2382-B,95-2394-B
frostbite	95-2409-B
frosty	95-2428-B
froth	95-2444-B,95-2455-B
frothy	95-2468-B
frozen	95-2483-B
frugal	95-2501-B,95-2520-B,95-2536-B
fruit	95-2552-B,95-2565-B,95-2579-B,95-2590-B,125-503-S,229-768-S,230-1174-S
fruit juice	95-2606-B
fruit salad	95-2625-B
fruit seed	95-2645-B
fruiterer	95-2662-B
fruitful	95-2682-B,95-2699-B
fruition	95-2717-B,95-2735-B
fruitless	95-2758-B,95-2775-B
fruitlessness	95-2795-B
frustrate	95-2822-B,95-2841-B
frustration	95-2859-B,95-2881-B
fry	60-0-S,95-2902-B,95-2915-B
fucker	95-2931-B,95-2945-B
fucking	95-2956-B
fuddle	95-2973-B
fuel	95-2988-B
fugitive	95-3000-B,95-3019-B
fugitive emissions	95-3038-B
fuhrer	95-3064-B
fulfil	95-3077-B,95-3091-B,95-3106-B,95-3123-B,95-3139-B,95-3155-B
fulfill	95-3174-B,95-3190-B,95-3209-B,95-3227-B,95-3244-B
fulfilled	95-3261-B
fulfillment	95-3277-B
fulfilment	95-3298-B,95-3318-B
fulfils	95-3339-B
full	39-2933-S,39-2998-S,95-3356-B,95-3368-B,95-3383-B,95-3395-B,95-3410-B,95-3425-B,96-0-B,96-11-B,96-22-B,96-34-B,162-314-S
full back	96-117-B
full blooded	96-135-B
full bodied	96-161-B
full grown	96-184-B
full point	96-47-B
full stop	96-64-B
full up	96-80-B,96-98-B
fullback	96-204-B
fully	96-221-B,96-234-B,96-245-B
fulmination	96-258-B
fumble	96-281-B
fume	96-296-B,96-305-B,96-319-B,96-329-B
fumigation	96-342-B,96-365-B
fun	96-388-B,96-402-B,96-413-B,96-425-B
function	96-435-B,96-454-B,96-471-B,96-490-B,96-509-B,96-529-B,96-548-B,96-564-B,96-579-B
functional	96-598-B
functionary	96-619-B
functioning	96-643-B,96-660-B
functionless	96-683-B
functions	96-707-B
fund	96-725-B,96-735-B,96-749-B
fundamental	96-762-B,96-784-B,96-808-B,96-831-B,96-854-B
fundamentally	96-874-B
funding	96-897-B
funeral	96-918-B,96-933-B
funereal	96-951-B
fungi	96-970-B
fungible	96-981-B
fungus	96-1004-B
funicular	96-1016-B
funnel	96-1034-B
funnily	96-1048-B
funny	96-1065-B,96-1080-B,96-1095-B,96-1109-B,96-1126-B
funny looking	96-1142-B
fur	96-1165-B,96-1177-B,96-1192-B
fur coat	96-1202-B
furbish	96-1219-B,96-1236-B
furious	96-1255-B,96-1269-B,96-1289-B
furl	96-1306-B,96-1320-B
furnace	96-1334-B
furnish	96-1346-B,96-1361-B,96-1381-B,96-1398-B
furnished	96-1416-B,96-1436-B
furnishing	96-1457-B
furnishings	96-1478-B
furniture	96-1500-B,96-1519-B
furred	96-1540-B
furrier	96-1559-B
furrow	96-1579-B,96-1594-B,96-1606-B
furry	96-1621-B,96-1636-B,96-1656-B
further	96-1670-B,96-1689-B,96-1705-B,96-1725-B,96-1748-B,96-1763-B
furthermore	96-1780-B
furthest	18-588-S
furtive	96-1799-B
fury	96-1814-B,96-1826-B
fuse	96-1842-B,96-1855-B,96-1870-B,96-1884-B,96-1901-B
fuselage	96-1916-B
fusillade	96-1939-B
fusion	96-1957-B,96-1971-B,96-1988-B
fusions	96-2003-B
fuss	96-2018-B,96-2028-B,96-2045-B
fusty	96-2058-B
futile	96-2074-B,96-2088-B
futility	96-2106-B
future	96-2125-B,96-2140-B,96-2160-B,96-2179-B
futurity	96-2199-B
fuzz	96-2220-B
fuzzy	96-2231-B,96-2246-B
g	72-1620-S
gab	96-2262-B,96-2274-B,96-2285-B
gabardine	96-2298-B,96-2318-B
gabble	96-2335-B,96-2349-B,96-2364-B
gabfest	96-2379-B
gable	96-2394-B
gad	96-2407-B
gadget	96-2418-B,96-2433-B,96-2450-B,96-2467-B,96-2486-B
gaffer	96-2504-B,96-2519-B,96-2534-B
gag	96-2547-B,96-2561-B,96-2572-B
gaga	96-2585-B
gage	96-2599-B,96-2612-B
gaggle	96-2627-B,96-2642-B,96-2654-B
gaiety	96-2669-B,96-2684-B,96-2700-B,96-2717-B
gain	96-2732-B,96-2750-B,96-2767-B,96-2780-B,96-2796-B,96-2812-B,96-2822-B,96-2838-B,96-2852-B,96-2868-B
gainer	96-2882-B,96-2897-B
gainful	96-2913-B
gainsay	96-2931-B,96-2950-B,96-2968-B
gait	96-2985-B,96-2998-B
gaiter	96-3008-B
gal	96-3023-B
gala	96-3035-B
galactic	96-3051-B
galactose	96-3072-B
galaxy	96-3093-B
gale	96-3108-B,96-3120-B
galimatias	96-3135-B
gall	96-3159-B,96-3177-B,96-3190-B
gall bladder	96-3201-B
gallant	96-3224-B,96-3240-B,96-3258-B,97-0-B,97-18-B,97-37-B,97-53-B,97-75-B
gallantness	97-93-B
gallantry	97-118-B,97-139-B,97-159-B,97-176-B,97-199-B
gallbladder	97-219-B
