banger	21-1249-B
banish	21-1263-B,21-1282-B,21-1297-B,21-1314-B
banister	21-1332-B
bank	21-1352-B,21-1363-B,21-1378-B,21-1392-B,21-1402-B,21-1414-B,57-2314-S,169-1229-S,169-1250-S,201-1770-S,201-1796-S
bank note	21-1432-B
banker	21-1451-B
banking	21-1466-B,21-1488-B
banking industry	21-1506-B
bankrupt	21-1537-B,100-3030-S
bankruptcy	21-1557-B,21-1576-B
banner	21-1595-B,21-1610-B
bannister	21-1629-B
banns	21-1650-B
banquet	21-1666-B,21-1681-B
baptism	21-1697-B
baptist	21-1710-B
baptize	21-1727-B,21-1743-B
bar	21-1761-B,21-1769-B,21-1783-B,21-1793-B,21-1805-B,21-1816-B,21-1831-B,21-1846-B,21-1857-B,21-1870-B,21-1879-B,21-1888-B,21-1900-B,21-1914-B,21-1929-B,21-1943-B,43-1198-S,43-1294-S
barbarian	21-1955-B,21-1972-B
barbarism	21-1993-B
barbecue	21-2014-B
barbel	21-2031-B
barber	21-2044-B
bare	21-2058-B,21-2069-B,21-2080-B,21-2094-B,21-2107-B
barefacedness	21-2121-B
barefoot	21-2143-B
barely	21-2158-B,21-2169-B,21-2182-B
bargain	21-2197-B,21-2219-B
bargain away	21-2234-B
barged	21-2257-B
bark	21-2271-B,21-2285-B,21-2296-B,21-2310-B
barley	21-2323-B,166-2667-S
barn	21-2339-B
barnyard	21-2352-B
barometer	21-2366-B,21-2386-B
baron	21-2405-B,21-2418-B
baroque	21-2432-B,21-2446-B
barracks	21-2464-B
barrage	21-2482-B,21-2499-B,21-2520-B,21-2535-B
barre	21-2553-B
barrel	21-2566-B,21-2579-B,21-2594-B
barren	21-2605-B,21-2620-B,21-2637-B,21-2655-B
barretter	21-2671-B
barricade	21-2702-B
barrier	21-2722-B,21-2739-B,21-2758-B,21-2776-B
barring	21-2794-B,21-2807-B
barrister	21-2821-B
barrow	21-2840-B,21-2854-B,21-2867-B
bars	164-2227-S
bartender	21-2882-B
basal	21-2903-B
basalt	21-2920-B
basaltic	21-2935-B
base	21-2956-B,21-2967-B,21-2979-B,21-2992-B,21-3007-B,21-3019-B,21-3033-B,21-3048-B,22-0-B,22-15-B,22-28-B,22-44-B,22-60-B,57-2334-S,269-2003-S,269-2021-S
basement	22-73-B
basest	22-91-B
bash	22-110-B,22-120-B,22-133-B
bashful	22-146-B,22-164-B
bashing	22-180-B
basic	22-198-B,22-214-B,22-228-B
basin	22-245-B,22-258-B,22-269-B,22-281-B,22-295-B,235-1289-S,267-1917-S
basins	22-311-B
basis	22-328-B,22-340-B,22-356-B,22-370-B
bask	22-387-B
basket	22-402-B,22-417-B
basket case	2-73-S,2-93-S
bass	22-430-B,22-439-B,22-452-B
bass drum	22-466-B
bassist	22-482-B
bassoon	22-498-B
basswood	22-512-B
bast	22-526-B
bastard	22-536-B,22-552-B,22-571-B,22-593-B
bastille	22-610-B
bastion	22-628-B
bat	22-643-B
batch	22-656-B,22-669-B,22-683-B,22-694-B,22-708-B
batch total	22-723-B
bate	22-748-B
bated	22-761-B
bath	22-778-B,22-791-B,22-804-B,22-815-B,213-1418-S
bathe	22-830-B,22-844-B,22-861-B
bathing dress	22-902-B
bathing place	22-877-B
bathing suit	22-923-B
bathroom	22-943-B,22-962-B
bathtub	22-982-B
baton	22-996-B,22-1010-B
battalion	22-1025-B
batten	22-1043-B
batter	22-1056-B,22-1074-B
battered	22-1088-B
battery	22-1107-B,22-1127-B,230-2303-S,230-2331-S
battle	22-1144-B,22-1157-B,22-1173-B
battle field	22-1189-B
battlefield	22-1210-B
battleground	22-1230-B
battlement	22-1251-B
baulk	22-1271-B
bawl	22-1288-B,22-1303-B,22-1313-B,22-1327-B
bay	18-190-S,22-1339-B,22-1353-B,22-1364-B,22-1376-B,22-1390-B,22-1401-B
bayonet	22-1416-B
bazaar	22-1431-B,22-1445-B
be	22-1459-B,22-1467-B,22-1478-B,22-1492-B,78-679-S,226-502-S,244-1359-S
be a nuisance	22-1502-B
be able	22-1528-B,22-1545-B
be able to	22-1561-B
be absent	22-1580-B
be allowed to	22-1599-B
be aware of	22-1620-B
be away	22-1641-B
be enough	22-1658-B
be falling asleep	22-1677-B
be hanging	22-1703-B
be in a lying position	22-1722-B
be in session	22-1753-B
be in the way	22-1776-B
be in time for	22-1802-B
be intended	22-1827-B
be jealous	22-1847-B
be left	22-1868-B,22-1886-B,22-1902-B
be left over	22-1921-B
be missing	22-1944-B
be off	22-1964-B
be on strike	22-1979-B
be out	22-2004-B
be quiet	22-2023-B
be shipwrecked	22-2040-B
be sick	22-2067-B
be silent	22-2084-B
be sitting	22-2102-B,22-2121-B
be slippery	22-2141-B
be sore	22-2161-B
be sorry	22-2177-B
be supposed to	22-2196-B
be up	22-2216-B
be used up	22-2229-B
be valid	22-2248-B
be victorious	22-2265-B
beach	22-2290-B
beaches	22-2303-B
beachhead	22-2319-B,22-2334-B
beacon	22-2355-B,22-2369-B,22-2394-B
bead	22-2408-B,22-2424-B
beadle	22-2436-B
beak	22-2454-B
beam	22-2466-B,22-2477-B,22-2492-B,22-2503-B,22-2515-B
beamed	22-2529-B
bean	22-2544-B,22-2554-B,32-389-S
bean beetle	22-2567-B
beans	22-2586-B,51-2438-S
bear	13-1356-S,22-2600-B,22-2613-B,22-2625-B,22-2637-B,22-2651-B,22-2663-B,22-2677-B,22-2690-B,22-2705-B,29-2749-S,103-1922-S,241-2452-S,241-2469-S
bear out	22-2720-B
bearable	22-2739-B,22-2761-B
beard	22-2779-B
bearer	22-2791-B,22-2810-B,22-2826-B,89-3093-S,89-3118-S
bearing	22-2841-B,22-2856-B,22-2873-B,22-2889-B,22-2906-B,22-2919-B,22-2938-B,158-419-S
bearing interest	22-2956-B
bearing metal	22-2984-B
bearing resistance	22-3010-B
bearings	22-3040-B
bears	22-3059-B
beast	22-3071-B,22-3085-B,22-3099-B,22-3113-B,22-3126-B
beastly	22-3139-B,22-3157-B,22-3173-B
beasts	22-3191-B
beat	22-3208-B,22-3218-B,22-3231-B,22-3244-B,23-0-B,23-10-B,23-19-B,23-30-B,23-42-B,23-53-B,23-68-B,157-1556-S,157-1576-S
beat a drum	23-82-B
beat a hasty retreat	23-104-B
beat at	23-133-B
beat on	23-150-B
beat out	23-167-B
beat up	23-184-B
beaten	23-198-B
beatific	23-213-B,23-236-B
beatitude	23-255-B
beau	23-277-B
beaut	23-289-B
beautiful	23-306-B,23-324-B
beautifully	23-345-B
beauty	23-365-B,23-379-B,23-397-B
beaver	23-412-B,23-425-B,72-1721-S
becalm	23-439-B,23-456-B
because	23-473-B,23-489-B,23-504-B,23-517-B,23-529-B
because of	23-546-B
become	23-564-B,23-580-B
become dry	23-596-B
becoming	23-616-B
bed	9-3034-S,23-636-B,23-644-B,23-655-B,23-667-B,23-679-B,23-693-B,23-704-B,85-3051-S,91-1781-S
bedaub	23-715-B
bedbug	23-731-B
bedding	23-748-B
bedevil	23-766-B,23-787-B
bedew	23-803-B
bedfellow	23-817-B
bedlam	23-839-B,23-856-B
bedlamite	23-871-B
bedroom	23-889-B
bee	23-906-B
bee in her bonnet	2-118-S
beech	23-917-B
beechen	23-927-B
beef	23-943-B,23-956-B
beef it up	23-971-B
