kardinal	34-3632-B
karfiol	36-3129-B
karhat	36-1274-B,39-1472-B,259-77-B
karhavy	191-1042-B
kariera	35-200-B
karierista	35-268-B,101-500-B
karikatura	35-937-B,35-2943-B,103-2296-B
karikaturista	35-982-B,35-2986-B
karikovat	35-960-B
karmin	35-1139-B
karminovy	35-1155-B
karneval	35-1333-B
karol	1-762-B,1-791-B,1-2025-B
karoseria	26-2887-B
karta	34-3255-B
kartel	35-2798-B
kartograf	35-2864-B,137-1408-B
kartografia	35-2887-B
karton	34-3266-B,34-3528-B,35-2911-B
kartoteka	34-3436-B,87-2517-B
kasa	104-132-B,138-940-B,149-360-B,164-1401-B,172-803-B,172-3098-B,178-2352-B,179-187-B
kasar	199-1563-B
kasarne	21-2464-B,36-48-B
kasel	52-2840-B
kasino	36-514-B
kaskada	35-3312-B
kaslat	52-2854-B
kasmir	36-365-B,163-2200-B
kasovity	164-1729-B
kasta	36-1183-B
kastelan	36-1195-B
kastracia	36-1508-B
kastrat	36-1530-B
kastrol	36-627-B,201-650-B
kastrovat	34-1557-B,36-1466-B
kat	81-40-B,106-449-B
katafalk	36-1884-B
katalog	36-1904-B,36-1969-B,131-640-B
katalyza	36-2005-B
katalyzator	4-1031-B
katapult	36-2025-B
katar	36-2098-B
katastralny	32-661-B
katastrofa	32-1639-B,36-1829-B,36-2112-B,58-1477-B,66-537-B,85-1255-B
katastrofalny	32-1551-B,66-595-B
katedra	37-3077-B,62-1248-B,118-0-B
katedrala	36-2856-B,143-2078-B
kategoria	36-2681-B,182-1486-B,182-3101-B
kategoricky	36-2591-B,90-803-B,167-1621-B
kation	36-2957-B
katoda	36-2877-B
katolicky	36-2893-B
katolik	1-773-B,36-2913-B
kaucia	8-605-B,20-2586-B,21-301-B,62-2162-B,185-1232-B,205-3620-B
kaucuk	34-419-B,198-842-B
kauzalny	36-3167-B
kava	43-1185-B
kavaleria	37-199-B
kaviar	37-342-B
kaviaren	32-1020-B,32-1071-B,32-1146-B,43-1198-B,43-1219-B,43-1272-B,43-1294-B,43-1315-B,43-1338-B
kavka	121-845-B
kavovar	167-1495-B
kavovy mlyncek	43-1242-B
kaz	60-862-B,85-1863-B,90-1717-B
kazajka	121-886-B,121-2962-B,263-217-B
kazat	173-1820-B,208-3119-B
kazatel	173-1835-B
kazatelnica	178-2374-B
kazdodenny	56-3211-B,68-3214-B,79-3312-B,116-2298-B,272-1887-B
kazdopadne	114-1829-B
kazdorocne	274-0-B
kazdorocny	13-423-B,274-20-B
kazdy	10-1279-B,13-3322-B,13-3419-B,13-3584-B,72-1637-B,79-3229-B,79-3261-B,79-3370-B
kazen	110-179-B,208-3104-B
kazeta	28-771-B,35-3011-B,35-3390-B,36-538-B,36-664-B,134-2859-B
kazit	137-1463-B,224-1243-B
kazit sa	58-2319-B
kazovost	60-1073-B
kazovy	60-1018-B
kde	269-2281-B
kdekolvek	13-3817-B,269-2456-B
kdokolvek	13-3360-B,13-3435-B,13-3599-B,270-895-B,270-1348-B
keby	112-2318-B
keby som	112-2326-B,112-2353-B
kecat	20-304-B,25-1520-B,25-3123-B,38-2810-B,38-2956-B,39-1244-B,71-767-B,96-2274-B,96-2335-B,97-1554-B,99-1508-B,150-1754-B,169-1078-B,173-1614-B,173-1641-B,179-3532-B,240-1035-B,271-2962-B,273-2651-B
kecup	124-1169-B
ked	8-3567-B,11-837-S,11-864-S,16-2162-B,112-2338-B,154-2152-B,244-3096-S,245-108-S,269-2181-B,269-2845-B
kedy	79-3171-B,269-2171-B
kedykolvek	13-3398-B,13-3702-B,18-166-B,158-1811-B,269-2206-B,269-2248-B
kedysi	78-3183-B,93-3199-B,158-1828-B,158-1940-B,221-1113-B,269-2831-B
kedze	23-473-B,114-3268-B,215-1188-B
kefa	30-693-B
kefka	30-704-B
kefovat	30-716-B
keks	25-1038-B,53-2687-B
kel	27-2034-B,31-3103-B,40-350-B,43-2594-B,124-124-B,201-2076-B,253-1246-B
ker	31-1239-B,213-2451-B
keramicky	37-2061-B
keramika	37-2080-B
kiahne	39-1454-B,171-1038-S,173-958-B,173-969-S,218-2872-B,218-2888-S,261-2112-S,261-2524-S
kilo	124-2103-B
kilogram	124-2133-B,124-2151-B
kilohertz	124-2113-B
kilometer	124-2171-B,124-2191-B
kinematografia	40-1195-B
kineticky	147-1114-B
kino	40-1183-B
kinofilm	40-1136-B
kiosk	125-80-B
kiwi	125-493-B,125-503-B,125-519-B
klacat	125-818-B
klada	132-1637-B
kladivko	105-1978-B,136-1049-B
kladivo	105-1994-B
kladka	26-301-B,197-824-B
kladny	8-2856-B,172-1630-B
klakson	110-1908-B
