vypuklina	30-2224-B
vypukly	51-1257-B
vypuknut	28-3229-B,78-3249-B
vypuknutie	161-325-B
vypust	161-1776-B,262-1180-B
vypustat	99-2950-B
vypustenie	60-2920-B,158-1235-B
vypustit	33-1929-B,60-2882-B,70-1717-B,70-2370-B,82-3533-B,99-2911-B,127-1424-B,129-554-B,129-667-B,158-1323-B,188-2479-B,262-1165-B
vypytovat sa	36-2567-B,180-3299-B
vyrabat	83-410-B,137-1051-B,176-330-B
vyrabovanie	171-738-B
vyradenie	67-3919-B,74-3689-B,188-898-B
vyradit	66-1014-B,188-780-B,193-3423-B,203-2427-B
vyrast	26-1112-B,26-1135-B,103-2938-B,103-2996-B,161-1248-B
vyrastok	103-3233-B,161-1304-B,225-1233-B,274-1784-B
vyraz	52-3404-B,82-1229-B,83-814-B,132-1135-B,132-2942-B,260-1747-B,262-1809-B
vyrazat	74-834-B,122-135-B
vyrazit	93-426-B,219-159-B,225-1201-B,225-1776-B
vyrazka	182-2854-B,243-2595-B
vyrazne	27-106-B
vyrazny	27-58-B,58-3275-B,82-1247-B,137-2770-B,211-132-B,232-1713-B,232-3011-B,265-778-B
vyrecnost	74-3947-B
vyrez	56-1559-B,56-2198-B,218-520-B,218-1285-B
vyrezat	35-3163-B,204-1691-B
vyrezavanie	35-3277-B
vyrezavat	35-3178-B
vyriesenie	192-1570-B
vyriesit	58-1007-B,87-2344-B,192-1873-B,209-1540-B,221-609-B,221-2708-B,239-2232-B,272-1754-B
vyroba	83-491-B,98-2162-B,135-2422-B,135-3346-B,137-1073-B,176-618-B
vyrobca	50-3533-B,135-3226-B,137-1136-B,176-435-B
vyrobit	72-2033-B,83-391-B,98-2002-B,135-2393-B,137-1030-B,176-313-B
vyrobny	137-1158-B
vyrobok	45-1165-B,137-1093-B,176-503-B
vyrocia	12-3459-S
vyrocie	12-3488-B,37-1417-B
vyrocny	13-475-B
vyrok	208-259-B,260-1764-B
vyron	104-2461-B,161-1145-B
