demaskovat	58-1972-B,82-739-B,257-1760-B
demilitarizovat	61-3255-B
demisia	192-745-B
demizon	34-3038-B,61-3236-B
demobilizacia	61-3365-B
demobilizovat	61-3395-B
demodulacia	61-3485-B
demodulator	61-3511-B
demokracia	61-3421-B
demokrat	61-3442-B
demokraticky	61-3460-B
demolovat	61-3553-B
demon	56-3103-B,99-1371-B
demonsky	61-3702-B
demonstracia	61-3844-B,137-1707-B
demonstrant	137-1803-B,169-226-B
demonstrovat	61-3749-B
demontaz	189-2272-B
demontovat	67-1624-B,189-2450-B
demoralizacia	62-119-B
demoralizovat	62-149-B
den	57-3046-B,58-44-B,136-1682-S,268-2335-S,272-1965-S,272-2188-S
dendrologia	62-332-B
denne	56-3172-B,57-3055-B,79-3297-B,167-981-B
dennik	56-3156-B,56-3184-B,56-3230-B,57-3110-B,64-2016-B,122-2661-B,132-1809-B
denny	56-3198-B
depesa	67-2134-B
depilacia	62-1784-B
depolarizacia	62-2038-B
deportacia	62-2087-B,250-1315-B
deportovat	62-2068-B
depresia	61-258-B,62-2787-B,100-1430-B,218-2162-B
depresie	26-1929-B,61-277-B,62-2807-B,63-2490-B,67-206-B,70-708-B,100-1445-B,107-2712-B,133-2119-B,140-2210-B,218-2177-B
depresivny	159-3006-B
deprimovany	61-236-B,133-2170-B
deprimovat	61-217-B,159-2832-B
deptat	159-2852-B
derivacia	62-3556-B,62-3640-B,64-3162-B
derivacny	62-3617-B
derivat	62-3662-B
derivator	64-3216-B
derivovat	64-3084-B
desat	1-3213-B,242-1246-B
desatboj	58-2243-B
desatina	242-3358-B
desatinny	58-3433-B
desatkrat	242-1270-B
desatnasobne	242-2630-B
desatnasobny	242-2653-B
desatrocie	58-2006-B,58-2883-B
desatrocny	58-2906-B
desatslabicny	58-2213-B
desatsten	58-2105-B
desatuholnik	58-2064-B
desiatka	62-316-B,155-66-B,242-1257-B,242-1292-B,242-2677-B
desiatkovy	58-3452-B
desiatnik	52-306-B
desiatok	247-695-B
desiaty	1-14-B,242-3373-B
desifrovanie	55-1719-B,59-44-B
desifrovat	59-0-B,59-1381-B
desit	14-839-B,110-2281-B
desit sa	2-2731-B
desivy	152-2232-B,202-1293-B,243-1224-B
deskriptivny	63-591-B
deskriptor	63-637-B
despotizmus	254-414-B
destilacia	68-1307-B
destilovat	68-1268-B,68-1287-B
