alpha	alfa
alphabet	abecedario
alphabet	abecé
alphabet	alfabeto
alphabetic	alfabético
alphabetical	alfabético
alphabetically	alfabéticamente
alphabetize	alfabetizar
alpine	alpino
alpinist	alpinista
already	ya
also	además
also	también
also	ítem
altar	altar
alter	alterar
alter	alterarse
alter	cambiar
alter	cambiarse
alter	demudar
alter	inmutar
alter	modificar
alter	mudar
alter	reformar
alter	remudar
alter	retocar
alter	variar
alteration	arreglo
alteration	cambio
alteration	modificación
alteration	reforma
alteration	retoque
alteration	transformación
altercate	altercar
altercation	altercación
altercation	altercado
alternate	alternar
alternate	alterno
alternate	revezar
alternate	suplente
alternate	sustituto
alternate current	corriente alterna
alternating	alternativo
alternating	alterno
alternating current	corriente alterna
alternation	alternación
alternation	alternancia
alternation	alternativa
alternative	alternativa
alternative	alternativo
alternator	alternador
although	aunque
although	bien que
altimeter	altímetro
altitude	altitud
altitude	altura
altitude	elevación
alto	alto
alto	contralto
altogether	completamente
altogether	juntos
altogether	todo
altruism	altruismo
altruist	altruista
altruistic	altruista
alum	alumbre
aluminium	aluminio
aluminum	aluminio
alumnus	graduado
always	siempre
amalgam	amalgama
amalgamate	amalgamar
amalgamate	amalgamarse
amalgamate	fusionar
amalgamate	unirse
amalgamation	amalgamación
amanuensis	amanuense
amass	acumular
amass	amontonar
amass	hacinar
amass	juntar
amateur	aficionado
amateur	amateur
amateurish	aficionado
amative	amatorio
amatory	amatorio
amatory	amoroso
amatory	erótico
amaze	asombrar
amaze	maravillar
amaze	pasmar
amazed	asombrado
amazed	atónito
amazed	pasmado
amazement	asombro
amazement	espanto
amazement	estupor
amazement	pasmo
amazing	asombroso
amazing	espantoso
amazing	estupendo
amazing	maravilloso
amazing	pasmoso
amazon	amazona
amazon	amazonas
amazon	marimacho
ambassador	embajador
ambassadress	embajadora
amber	ambarino
amber	succino
amber	ámbar
ambidexterity	doblez
ambience	ambiente
ambient	ambiente
ambiguity	ambigüedad
ambiguity	equívoco
ambiguous	ambiguo
ambiguous	equívoco
ambit	recinto
ambit	ámbito
ambition	ambición
ambition	aspiración
ambitious	ambicioso
ambitiously	ambiciosamente
ambivalence	ambivalencia
ambivalent	ambivalente
amble	ambladura
amble	portante
ambrosial	celestial
ambrosial	delicioso
ambulance	ambulancia
ambulant	ambulante
ambulant	ambulatorio
ambulatory	ambulante
ambulatory	ambulatorio
ambuscade	emboscada
ambush	acecho
ambush	asechanza
ambush	celada
ambush	emboscada
ameliorate	mejorar
amelioration	mejora
amelioration	mejoramiento
amelioration	mejoría
amen	amén
amenability	docilidad
amenability	responsabilidad
amenable	dócil
amenable	sujeto
amend	corregir
amend	enmendar
amend	modificar
amend	rectificar
amendment	corrección
amendment	enmienda
amendment	rectificación
amends	compensación
amends	reparación
amenities	comodidades
amenity	amenidad
ament	amento
amerce	multar
american	americano
american	norteamericano
americanize	americanizar
amethyst	amatista
amiability	afabilidad
amiability	amabilidad
amiable	afable
amiable	amable
amiable	amistoso
amiable	bondadoso
amicable	amigable
amicable	amistoso
amid	entre
amide	amida
amidst	entre
amine	amina
amiss	mal
amity	amistad
ammeter	amperímetro
ammo	munición
ammonia	amoniaco
ammonia	amoníaco
ammoniac	amoníaco
ammoniacal	amoníaco
ammoniated	amoniacado
ammunition	munición
amnesia	amnesia
amnesty	amnistiar
amnesty	amnistía
amnesty	indulto
among	entre
amongst	entre
amoral	amoral
amorality	amoralidad
amorous	amoroso
amorous	cariñoso
amorous	enamorado
amorousness	enamoramiento
