Javanese	javanés
Jerusalem	Jerusalén
Jesuit	jesuita
Jesus	Jesús
Jew	hebreo
Jewess	judía
Jewish	hebreo
Jewish	judío
John	Juan
Judaic	judaico
Judaism	judaísmo
Judas	Judas
July	julio
June	junio
Jurassic	jurásico
Koran	alcorán
Koran	corán
Korea	Corea
Korean	coreano
Latin	latino
Latin	latín
Latinize	latinizar
Latvian	letón
Leninism	leninismo
Lettish	letón
Levantine	levantino
Lisbon	Lisboa
Lithuania	Lituania
Lithuanian	lituano
London	Londres
Malay	malayo
March	marzo
Marxist	marxista
May	mayo
Mexican	mejicano
Mohammedan	mahometano
Monday	lunes
Mongol	mongólico
Mongolian	mongólico
Moscow	Moscú
Moslem	musulmán
Mr.	señor
Muslim	musulmán
Naples	Nápoles
Napoleonic	napoleónico
Nazarene	nazareno
Nazi	nazi
Nazism	nazismo
Negro	negro
Neptune	Neptuno
Netherlands	Países Bajos
Nippon	Japón
Nipponese	japonés
Norse	escandinavo
Norse	noruego
Norse	nórdico
North American	norteamericano
Norway	Noruega
Norwegian	noruego
November	noviembre
October	octubre
Olympic	olímpico
Panamanian	panameño
Paris	París
Parisian	parisiense
Parisian	parisino
Pentecost	Pentecostés
Persian	persa
Poland	Polonia
Pole	polaco
Polish	polaco
Polish	polonés
Portugal	Portugal
Portuguese	portugués
Renaissance	renacentista
Russia	Rusia
Russian	ruso
Saturday	sábado
Saxon	sajón
Scandinavia	Escandinavia
Scandinavian	escandinavo
Scotland	Escocia
Scottish	escocés
Semite	semita
September	septiembre
September	setiembre
Siamese twins	hermanos siameses
Siberian	siberiano
Slav	eslavo
Slavic	eslavo
Slavonic	eslavo
Slovak	eslovaco
Slovakia	Eslovaquia
Soviet	soviético
Spain	España
Spanish	castellano
Spanish	español
Sunday	domingo
Sunday	dominguero
Sunday	dominical
Sweden	Suecia
Swedish	sueco
Swiss	helvecio
Swiss	suizo
Switzerland	Suiza
T-shirt	camiseta
TV	tele
TV	televisión
Taurus	Tauro
Teutonic	teutónico
Thursday	jueves
Tory	conservador
Tuesday	martes
Turkey	Turquía
Venice	Venecia
Viennese	vienés
Virgo	Virgo
WC	excusado
Wednesday	miércoles
Welsh	galés
Xmas	Navidad
Yugoslavia	Yugoslavia
Zionism	sionismo
Zionist	sionista
a	a
a	al
a	alguno
a	cierto
a	en
a	la
a	por
a	un
a.m.	ante meridiem
aback	atrás
aback	detrás
abacus	ábaco
abaft	detrás de
abaft	tras
abandon	abandonar
abandon	aborrecer
abandon	dejar
abandon	desamparar
abandon	despreocupación
abandon	entregarse
abandon	renunciar
abandoned	abandonado
abandoned	dejado
abandoned	depravado
abandoned	inmoral
abandoned	perdido
abandoned	perverso
abandoned	vicioso
abandonment	abandono
abandonment	abdicación
abase	abatir
abase	degradar
abase	envilecer
abase	humillar
abase	rebajar
abasement	degradación
abasement	envilecimiento
abasement	humillación
abash	avergonzar
abash	confundir
abash	correr
abashed	desconcertado
abashing	vergonzoso
abashment	confusión
abashment	vergüenza
abate	abolir
abate	aflojar
abate	aflojarse
abate	amainar
abate	anular
abate	bajar
abate	ceder
abate	descontar
abate	disminuir
abate	menguar
abate	mermar
abate	moderar
abate	rebajar
abate	reducir
abate	remitir
abate	suavizar
abate	suprimir
abate	suspender
abatement	abolición
abatement	alivio
abatement	anulación
abatement	baja
abatement	deducción
abatement	descuento
abatement	disminución
abatement	mitigación
abatement	moderación
abatement	rebaja
abatement	reducción
abatement	supresión
abattoir	matadero
