blameless	inocente
blameworthy	culpable
blanch	blanquear
blanch	palidecer
blandish	halagar
blandish	lisonjear
blandishment	halago
blandishment	zalamería
blandly	suavemente
blank	blanco
blank	formulario
blank	impreso
blank	laguna
blank	mudo
blank	vacío
blanket	capa
blanket	cobija
blanket	colcha
blanket	cubrir
blanket	frazada
blanket	general
blanket	manta
blankly	categóricamente
blare	berrear
blare	estruendo
blare	fragor
blare	sonar
blarney	adulación
blarney	lisonja
blaspheme	blasfemar
blaspheme	jurar
blasphemous	blasfemo
blasphemy	blasfemia
blast	arruinar
blast	estallido
blast	explosión
blast	marchitar
blast	ráfaga
blast	soplo
blast off	despegar
blasted	maldito
blasting	voladura
blatancy	evidencia
blatant	llamativo
blaze	arder
blaze	arranque
blaze	brillar
blaze	flamear
blaze	fogata
blaze	fuego
blaze	llamear
blaze	resplandecer
blaze	resplandor
blaze up	encenderse
blazer	chaqueta
blazon	blasón
bleach	blanquear
bleach	descolorar
bleaching	blanqueo
bleak	afligido
bleak	frío
bleak	lúgubre
bleak	triste
bleak	yermo
bleary	borroso
bleat	balar
bleat	balido
bleating	balido
bleb	ampolla
bleb	burbuja
bleed	salirse
bleed	sangrar
bleeding	sangrante
bleeding	sangría
blemish	afear
blemish	borrón
blemish	defecto
blemish	estropear
blemish	imperfección
blemish	mancha
blemish	manchar
blemish	tacha
blench	cejar
blench	recular
blench	retroceder
blend	combinar
blend	entremezclar
blend	mezcla
blend	mezclar
blend	mixtura
blende	blenda
blended	mezclado
blender	licuadora
blending	mezcla
bless	bendecir
bless	persignar
blessed	beato
blessed	bendito
blessed	bienaventurado
blessed	dichoso
blessed	feliz
blessed	maldito
blessed	santo
blessedness	beatitud
blessedness	bienaventuranza
blessing	bendición
blessing	consentimiento
blest	beato
blest	bienaventurado
blight	arruinar
blight	frustrar
blight	malograr
blight	plaga
blight	quemadura
blighter	tipo
blind	cegar
blind	ciego
blind	deslumbrar
blind	enceguecer
blind	máscara
blind	obcecado
blind	obcecar
blind	ofuscar
blind	pantalla
blind	persiana
blind	pretexto
blind	subterfugio
blind	vendar
blind gut	intestino ciego
blindfold	ofuscar
blindfold	venda
blinding	cegador
blinding	deslumbrante
blindness	ceguedad
blindness	ceguera
blink	destello
blink	guiñar
blink	parpadear
blink	pestañear
blinker	intermitente
blinking	intermitente
bliss	beatitud
bliss	bienaventuranza
blissful	dichoso
blissful	feliz
blissful	maravilloso
blister	ampolla
blister	burbuja
blister	campanilla
blister	vejiga
blistering	abrasador
blistering	candente
blistering	mordaz
blithe	alegre
blithe	gozoso
blithe	jocundo
blithe	jovial
blithesome	alegre
blithesome	gozoso
blithesome	jocundo
blithesome	jovial
blitz	bombardear
blitzkrieg	guerra relámpago
blizzard	ventisca
bloat	ahumar
bloat	hinchar
bloat	inflar
bloated	abotagado
bloated	engreído
bloated	hinchado
blob	borrón
blob	gota
blob	mancha
block	adoquín
block	atascar
block	bloque
block	bloquear
block	bloqueo
block	cepo
block	cerrar
block	cubo
block	dado
block	grupo
block	manzana
block	obstrucción
block	obstruir
block	obstáculo
block	paquete
block	partida
block	rebalsar
block	taco
block	tajo
block	taponar
block	tarugo
block	tope
block	tupir
block	zapata
block	zoquete
block off	cortar
block out	bosquejar
