broadness	grosería
brocade	brocado
brochure	folleto
broil	asar
broiler	parrilla
broken	accidentado
broken	entrecortado
broken	quebrado
broken	roto
broken-down	roto
broker	corredor
brokerage	corretaje
bromide	bromuro
bromine	bromo
bronchial	bronquial
bronchial tube	bronquio
bronchitis	bronquitis
bronchus	bronquio
bronchus	bronquios
bronco	potro cerril
bronze	bronce
bronze	bronceado
bronze	broncear
bronzed	bronceado
brooch	broche
brood	progenie
brooder	incubadora
brook	aguantar
brook	arroyo
brook	quebrada
brook	soportar
brooklet	arroyuelo
broom	escoba
broth	caldo
brothel	burdel
brothel	lupanar
brothel	mancebía
brother	camarada
brother	cofrade
brother	colega
brother	compañero
brother	hermano
brother-in-law	cuñado
brotherhood	cofradía
brotherhood	fraternidad
brotherhood	hermandad
brotherly	fraternal
brow	ceja
brow	cima
brow	frente
browbeat	atemorizar
browbeat	intimidar
brown	broncear
brown	moreno
brown	pardo
brownie	duende
brownish	pardusco
browse	hojear
browse	pacer
browse	ramonear
bruise	abollar
bruise	cardenal
bruise	contundir
bruise	contusión
bruise	estrujar
bruise	lastimar
bruise	machucar
bruise	magulladura
bruise	magullar
bruise	majar
bruiser	matón
brume	bruma
brunette	morena
brush	acepillar
brush	brocha
brush	bruza
brush	cepillado
brush	cepillar
brush	cepillo
brush	escoba
brush	escobilla
brush	maleza
brush	pincel
brushing	cepillado
brushwood	leña
brushwood	matorral
brushwork	pintura
brusque	brusco
brusque	rudo
brusque	áspero
brutal	bestial
brutal	brutal
brutal	cruel
brutality	brutalidad
brutality	crudeza
brutality	crueldad
brutalize	brutalizar
brute	bestia
brute	brutal
brute	bruto
brutish	bestial
brutish	brutal
brutish	bruto
brutish	grosero
brutishness	bestialidad
brutishness	brutalidad
bubble	ampolla
bubble	borbollar
bubble	borbollonear
bubble	borbotar
bubble	borbotear
bubble	burbuja
bubble	burbujear
bubble	murmurar
bubble	pompa
bubble	sopladura
bubbly	espumoso
buccal	bucal
buccaneer	bucanero
buck	ciervo
buck	dólar
buck	macho
buck	petimetre
bucket	balde
bucket	cangilón
bucket	cubo
buckle	corchete
buckle	hebilla
buckler	defensa
buckler	escudo
buckling	pandeo
bud	abotonar
bud	botón
bud	brotar
bud	brote
bud	capullo
bud	yema
buddy	amigo
buddy	compañero
budge	ceder
budge	moverse
budget	presupuesto
budgetary	presupuestario
buff	amarillo
buffalo	búfalo
buffer	amortiguador
buffer	parachoques
buffer	tope
buffet	aparador
buffet	bar
buffet	cafetería
buffet	golpe
buffoon	bufón
buffoon	payaso
bug	bicho
bug	chinche
bug	error
bug	fallo
bug	fastidiar
bug	gazapo
bug	insecto
bug	molestia
bugaboo	coco
bugaboo	espantajo
bugbear	coco
bugbear	espantajo
bugger	sodomita
buggery	sodomía
bugle	bugle
bugle	clarín
bugle	corneta
bugler	clarín
bugler	corneta
build	construir
build	crear
build	edificar
build	erigir
build	fabricar
build	figura
build	hacer
build	levantar
build	talle
build in	empotrar
build up	urbanizar
builder	constructor
builder	edificador
building	casa
building	construcción
building	edificación
building	edificio
building	fábrica
building	obra
building site	obra
building site	solar
built-in	empotrado
built-in	incorporado
bulb	ampolla
bulb	bombilla
bulb	bulbo
bulb	cebolla
