bandada	31-1360-B,68-297-B,118-1489-B,118-2269-B,213-779-B,323-2580-B
bandear	69-3224-B
bandeja	226-145-B,265-1578-B,322-314-B
bandera	26-2149-B,101-459-B,117-498-B,294-1566-B
banderin	219-1622-B,219-1675-B
banderola	117-511-B,219-1604-B
bandidaje	26-1117-B,39-793-B
bandido	26-1070-B,39-759-B,211-388-B
bando	96-510-B,216-1489-B,235-582-B,279-2310-B
bandolerismo	26-1136-B,39-814-B
bandolero	26-1085-B,39-775-B,145-1572-B,211-403-B
bandullo	138-332-B
banera	27-2764-B,27-3051-B,324-2889-B
baniano	26-1448-B
banista	27-2816-B
banjo	26-1708-B
bano	27-2777-B,27-2879-S,27-2951-S,27-3067-B,55-2604-B,307-1188-S,317-2924-B,318-14-B,324-2901-B,341-702-B
banos	288-2404-B
banquero	26-1931-B
banqueta	30-1488-B,279-2719-B
banquete	26-2213-B,83-1737-B,112-2625-B,169-468-B
banquetear	26-2230-B,112-2640-B
banquillo	297-2931-B
bao	28-1124-B
baque	315-2581-B,315-2676-B
baqueano	107-1893-B,137-1534-B
baquelita	25-2132-B
baqueta	245-19-B
baquetear	15-1538-B
bar	26-2472-B,40-2371-B,238-3218-B,265-840-B,310-842-B
baraja	213-792-B
barajada	279-1017-B
barajadura	279-1034-B
barajar	194-1202-B,268-3005-B,279-1053-B
baranda	244-840-B,244-980-B
barandilla	26-1627-B,26-1687-B,137-956-B,139-2296-B,244-853-B,244-996-B
baratija	180-860-B,323-496-B,323-1455-B
barato	50-520-B,158-1872-B,182-2133-B
baratura	50-581-B
barba	26-2702-B,28-1750-B,51-1216-B,344-1108-B
barbacoa	26-2868-B
barbado	28-1777-B
barbara	1-929-B
barbaridad	26-2790-B,182-753-B
barbarie	26-2750-B,26-2811-B,159-3204-B
barbarismo	26-2769-B
barbaro	26-2713-B,26-2732-B,26-2849-B,113-1039-B,133-2606-B,134-3268-B,143-581-B,266-1601-B,284-2556-B
barbear	276-871-B
barberia	26-2932-B
barbero	26-2900-B
barbilampino	28-1809-B
barbilla	28-1762-B,51-1227-B
barbiquejo	51-1521-B
barbotar	198-2873-B
barbotear	198-2889-B
barbudo	28-1793-B
barbullar	292-2149-B
