needs	maslahi
neglect	-acha
neglect	-ata
neglect	-beza
neglect	-ghafalisha
neglect	-pisha
neglect	-pitisha
neglect	-samehe
neglect	-turufu
negligence	ajiza
negligence	ajiza
negligence	ajizi
negligence	ajizi
negligence	mapurukushani
negligence	purukushani
negligence	upurukushaji
negligence	upurukushani
negligence	upurukusho
negligence	utepetevu
negligence	uvivu
negligence	uzembe
negligence	zohali
negligence	zohali
negligent	-zembe
negligently	kwa purukushani
negligently	ovyo
negligently	ovyoovyo
negotiate	-shauriana
negotiation	jadiliano
negotiation	majadiliano
negro	gozi
negro	magozi
neighbor	jirani
neighbor	majirani
neighborhood	majirani
neighborhood	ujirani
neither	wala
neodymium	neodimi
neon	neoni
nerve	gano
nerve	neva
nerve	neva
nervous	oga
nervous	tukutu
nervousness	uoga
nervousness	utukutu
nervousness	woga
nest	tena
net	chavu
net	kimia
net	matenga
net	nyavu
net	susu
net	susu
net	tenga
net	ugavu
net	vimia
net	wavu
nettle	kiwavi
nettle	viwavi
neuralgia	hijabu
neutral	-baki
neutron	nyutroni
neutron	nyutroni
never	abadan
never	kamwe
never	la
nevertheless	juu ya hivyo
nevertheless	lakini
nevertheless	pamoja na hayo
nevertheless	walakini
new	-geni
new	-pya
new	kisasa
new	simo
newborn	mchanga
newborn	wachanga
newcomer	kizushi
newcomer	vizushi
newness	ugeni
newness	upya
news	habari
news	habari
news	masimulizi
news	simo
news	simo
news	simulizi
newspaper	gazeti
newspaper	magazeti
next	aidha
next	baadaye
next	ijayo
next	ingine
next	ya pili
nibble	-tafuna
nibble	-umauma
nice	-anana
nice	jamili
nice	tamu
nicely	vizuri
nick	mapelezi
nick	mapengo
nick	pelezi
nick	pengo
nickel	nikeli
nickname	-panga jina
nickname	sare
nickname	sare
night	lela
night	leli
night	usiku
nightjar	mraruasanda
nightjar	mraruasanda pwaju
nightjar	pwaju
nightjar	pwaju
nightmare	jinamizi
nightmare	majiinamizi
nighttime	ngono
nighttime	ngono
nimble	mahiri
nine	kenda
nine	kenda
nine	tisa
nineteen	kumi na tisa
nineteen	kumi na tisa
nineteen	tisashara
nineteen	tisatashara
ninety	tisaini
ninety	tisini
niobium	niobi
nip	-binya
nip	-finya
nip	mafinyo
nitrogen	naitrojeni
nitrogen	nitrojeni
no	hakuna
no	hapana
no	la
no	la
no	sivyo
no	siyo
noble	sharifu
nod	-kupia
node	kipingili
node	vipingili
noise	-varanga
noise	chachawizo
noise	fujo
noise	hangaiko
noise	hekaheka
noise	hoihoi
noise	hoihoi
noise	hoihoi
noise	kelele
noise	kelele
noise	keme
noise	keme
noise	kibe
noise	kibe
noise	lio
noise	machachawizo
noise	mafujo
noise	mahangaiko
noise	malio
noise	mashamrashamra
noise	mashamsham
noise	rabsha
noise	rabsha
noise	sauti
noise	sauti
noise	shamrashamra
noise	shamsham
noise	tandabelua
noise	tandabelua
noise	tanta
noise	tanta
noise	tantabelua
noise	tantabelua
noise	unyeme
noise	zahama
noise	zahama
noise	zahimu
nomad	-hamaji
nomad	hamiji
nomad	wahamaji
nomad	wahamiji
nominate	-taja
nominate	-teua
nomination	uteuzi
nonchalant	-kavu
nondescript	-nyangalika
nonentity	chaupepeta
nonentity	vyaupepeta
nonsense	babaiko
nonsense	dama
nonsense	mapayo
nonsense	mapiswa
nonsense	mapuo
nonsense	mapuzo
nonsense	payo
