inch	inchi
incident	fursa
incident	mikasa
incident	mkasa
incision	incisions
incision	mikato
incision	mitai
incision	mkato
incision	mtai
incision	tojo
incision	tojo
incision	uchale
incite	-bilisi
incite	-chochea
incite	-chonjomoa
incite	-haifisha
incite	-sukuma
incite	-sukumiza
incite	-tasliti
incite	-tomesha
incite	-vuruga
incite	-vurugavuruga
incite	-vuruma
incitement	mashonga
incitement	shonga
incitement	tashtiti
incitement	tashtiti
incitement	uchuro
incitement	usukumizi
inclination	mapendeleo
inclination	mapendo
inclination	mapenzi
inclination	mapenzi
inclination	mielekeo
inclination	mwelekeo
inclination	penzi
incline	-betua
include	-timiza
include	-zingatia
incoherence	upayukaji
income	kipato
income	mapato
income	mapato
income	pato
income	tija
income	vipato
income	wasili
incomplete	chache
incomplete	pungufu
inconsistency	upayukaji
inconstant	-badilifu
inconstant	kigeugeu
inconvenience	taabu
inconvenience	taabu
inconvenience	takalifu
inconvenience	takalifu
inconvenience	takilifu
inconvenience	takilifu
incorporate	-shirikisha
incorporate	-shirikiza
incorrect	kosefu
increase	-kithiri
increase	-koleza
increase	-kua
increase	-kulia
increase	-kuza
increase	-ongea
increase	-ongeza
increase	-panda
increase	-pandisha
increase	-panza
increase	-tanua
increase	-zidia
increase	iktikazi
increase	jazi
increase	majazi
increase	maongezeko
increase	maongezo
increase	marupurupu
increase	marupurupu
increase	mazidio
increase	nafuu
increase	nyongeza
increase	nyongeza
increase	ongezeko
increase	ongezo
increase	rupu
increase	uendeshaji
increase	zaidana
increase	zaidi
increase	ziada
increase	ziada
increase	zidio
increment	maongezeko
increment	maongezo
increment	nyongeza
increment	nyongeza
increment	ongezeko
increment	ongezo
increment	zaidana
increment	zaidi
inculcate	-nuika
inculcate	-nuiza
indecency	uchafu
indecency	uhayawani
indecent	chafu
indecision	ajiza
indecision	ajiza
indecision	ajizi
indecision	ajizi
indecision	taladadi
indecision	taladadi
indecision	taradadi
indecision	taradadi
indecision	uajazi
indecision	uajizi
indecision	wayowayo
indeed	kweli
indeed	tokea hapo
indeed	walahi
indeed	wallai!
indemnification	jazua
indemnification	mapakanya
indemnification	pakanya
indemnify	-jazi
indemnify	-lipa
independence	kinaa
independence	kinaya
independence	kujitawala
independence	uhuru
independence	ukinaifu
independent	huria
index	deftari
index	faharisi
index	fahirisi
index	maonyo
index	onyo
indicate	-dokeza
indicate	-onyesha
indication	alama
indication	alama
indication	dalili
indication	delili
indication	ishara
indication	ishara
indication	ishara
indication	kionyo
indication	maonyo
indication	onyo
indication	taashira
indication	taashira
indication	vionyo
indicator	akarabu
indicator	akarabu
indicator	indiketa
indicator	indiketa
indicator	kiashirio
indicator	maonyo
indicator	onyo
indicator	viashiria
indictment	masuto
indictment	suto
indifference	kutojali
indifference	ubaridi
indifference	utepetevu
indifference	uvivu
indifference	uzembe
indifferent	-vivu
indigenous	kienyeji
indigenous	vienyeji
indigent	maskini
indigestion	kiungulia
indigestion	viungulia
indignation	miao
indignation	mwao
indigo	nili
indigo	nili
indiscretion	mapengee
indiscretion	pengee
indiscretion	udadisi
indiscretion	upayukaji
indiscretion	utafiti
indiscriminately	baghala
indiscriminately	shaghala
indiscriminately	shelabela
indisposition	kizunguzungu
indisposition	utakalifu
indium	indi
individual	-akali
individual	a pekee
individual	moja
individual	rejareja
individualism	ubinafsi
individuality	nafsi
individuality	roho
individuality	roho
individually	rejareja
indolence	ndezi
indolence	ubozi
indolence	ubwete
