precis	117-1330-B,117-1347-B,117-1363-B,117-1377-B
precise	117-1391-B,117-1409-B,117-1425-B
precisely	117-1441-B,117-1456-B,117-1477-B,117-1497-B
precision	117-1512-B
precocity	117-1530-B
predicate	117-1547-B
predict	117-1567-B,117-1581-B,117-1597-B,117-1614-B
prediction	117-1630-B,117-1647-B,117-1666-B,117-1690-B,117-1712-B,117-1730-B,117-1748-B,117-1766-B,117-1786-B
predilection	117-1805-B,117-1829-B
preface	117-1850-B,117-1865-B,117-1880-B,117-1898-B,117-1917-B,117-1936-B
prefect	117-1959-B,117-1975-B
prefer	117-1991-B,117-2005-B,117-2019-B,117-2036-B,117-2052-B,117-2068-B
preferable	117-2084-B,117-2104-B
preferably	117-2123-B,117-2143-B,117-2162-B
preference	117-2182-B,117-2200-B,117-2218-B,117-2240-B
pregnancy	117-2259-B,117-2276-B,117-2292-B,117-2308-B
pregnant	117-2324-B
prejudice	117-2339-B
prelude	117-2356-B,117-2371-B
premature	117-2386-B
premium	117-2406-B,117-2420-B
preparation	117-2435-B,117-2455-B,117-2479-B
prepare	117-2501-B,117-2516-B,117-2538-B,117-2553-B,117-2568-B,117-2585-B,117-2604-B,117-2623-B
preparedness	117-2639-B
prepuce	117-2660-B,117-2673-B,117-2688-B,117-2702-B,117-2716-B
prescribe	117-2730-B
prescription	117-2747-B,117-2766-B,117-2791-B,117-2814-B,117-2834-B,117-2854-B,117-2874-B,117-2894-B,117-2914-B
present	117-2934-B,117-2948-B,117-2963-B,117-2977-B,117-2992-B,117-3005-B,117-3024-B,117-3037-B,117-3060-B,117-3077-B,117-3092-B,117-3107-B,117-3121-B
present day	117-3144-B,117-3163-B
presentation	117-3184-B,117-3204-B,117-3223-B,117-3243-B
presently	117-3263-B
preservation	118-0-B,118-22-B,118-45-B
preserve	118-66-B,118-82-B,118-100-B,118-118-B,118-136-B,118-151-B,118-168-B,118-185-B,118-202-B,118-218-B,118-237-B
presidency	118-251-B
press	118-268-B,118-280-B,118-294-B,118-307-B,118-320-B,118-333-B,118-347-B,118-364-B,118-377-B,118-391-B,118-404-B,118-421-B,118-435-B,118-447-B,118-459-B,118-471-B,118-484-B,118-499-B,118-514-B,118-527-B,118-541-B,118-556-B,118-568-B,118-580-B,118-596-B,118-613-B,118-630-B,118-647-B,118-663-B,118-674-B,118-688-B,118-702-B,118-721-B,118-738-B
pressing	118-752-B,118-767-B,118-781-B,118-798-B,118-814-B,118-835-B,118-856-B,118-876-B,118-891-B,118-908-B,118-924-B,118-942-B,118-961-B,118-979-B,118-998-B,118-1017-B
pressure	118-1035-B,118-1050-B,118-1066-B,118-1083-B,118-1097-B,118-1114-B,118-1130-B,118-1152-B,118-1174-B,118-1195-B,118-1210-B,118-1225-B,118-1241-B,118-1257-B,118-1272-B,118-1292-B,118-1312-B,118-1331-B
prestige	118-1348-B,118-1364-B
presume	118-1380-B,118-1394-B
presumption	118-1409-B,118-1429-B,118-1448-B,118-1470-B,118-1488-B,118-1509-B,118-1530-B,118-1551-B,118-1570-B,118-1589-B
pretence	118-1609-B,118-1629-B,118-1644-B,118-1660-B,118-1676-B
pretend	118-1691-B,118-1717-B,118-1734-B,118-1748-B,118-1768-B,118-1783-B,118-1800-B
pretense	118-1818-B,118-1838-B
pretentious	118-1856-B,118-1873-B
pretext	118-1892-B,118-1905-B,118-1924-B,118-1943-B,118-1962-B,118-1976-B,118-1993-B,118-2008-B
pretty	118-2027-B,118-2040-B,118-2053-B
prevent	118-2070-B,118-2087-B,118-2103-B,118-2118-B,118-2137-B,118-2152-B,118-2166-B,118-2182-B
previous	118-2197-B
previously	118-2211-B,118-2228-B,118-2245-B
prey	118-2263-B,118-2276-B
price	118-2290-B,118-2305-B,118-2319-B,118-2333-B,118-2344-B,118-2356-B,118-2368-B,118-2380-B,118-2394-B,118-2408-B,118-2422-B
prickle	118-2436-B,118-2454-B
pride	118-2472-B,118-2482-B,118-2492-B,118-2505-B,118-2518-B,118-2531-B,118-2544-B,118-2558-B,118-2573-B,118-2588-B,118-2600-B,118-2612-B,118-2624-B,118-2638-B,118-2652-B,118-2665-B,118-2679-B,118-2693-B,118-2706-B
priest	118-2720-B,118-2734-B
priesthood	118-2750-B,118-2769-B
prime	118-2787-B,118-2801-B,118-2814-B
principal	118-2829-B,118-2844-B,118-2865-B,118-2886-B,118-2906-B,118-2926-B,118-2947-B,118-2968-B,118-2988-B,118-3008-B
principle	118-3024-B
print	118-3041-B,118-3054-B
printing	118-3072-B,118-3087-B,118-3102-B
prism	118-3120-B,118-3131-B
prison	118-3143-B,118-3157-B,118-3170-B,118-3182-B,118-3194-B,119-0-B,119-16-B,119-32-B,119-50-B,119-68-B,119-84-B,119-100-B,119-116-B
prisoner	119-131-B,119-147-B,119-165-B,119-183-B,119-201-B,119-219-B,119-237-B,119-254-B
privacy	119-272-B,119-288-B,119-304-B
private	119-319-B
privation	119-335-B,119-354-B,119-372-B,119-389-B,119-405-B,119-421-B,119-437-B
privatize	119-457-B
privilege	119-479-B,119-494-B
prize	119-512-B,119-524-B,119-539-B,119-552-B,119-563-B,119-574-B
probability	119-587-B,119-607-B
probably	119-627-B,119-642-B
problem	119-658-B,119-672-B,119-686-B,119-702-B,119-716-B,119-733-B,119-750-B,119-766-B,119-782-B,119-797-B
procedure	119-812-B,119-831-B,119-850-B,119-866-B,119-883-B,119-900-B,119-919-B,119-938-B
proceeds	119-958-B,119-974-B,119-990-B
process	119-1004-B,119-1021-B,119-1038-B,119-1052-B
procession	119-1067-B,119-1087-B,119-1109-B,119-1131-B,119-1151-B,119-1170-B,119-1192-B
proclaim	119-1213-B,119-1229-B,119-1245-B
proclamation	119-1260-B,119-1279-B,119-1298-B,119-1317-B,119-1341-B,119-1359-B,119-1377-B,119-1399-B,119-1423-B
procrastinate	119-1447-B,119-1468-B,119-1490-B
procrastination	119-1513-B,119-1536-B
procreation	119-1559-B,119-1578-B,119-1601-B,119-1622-B
procure	119-1640-B,119-1657-B,119-1672-B
procurement	119-1690-B,119-1709-B
procurer	119-1727-B,119-1743-B,119-1759-B,119-1775-B,119-1791-B,119-1809-B,119-1830-B
procuress	119-1849-B,119-1871-B
prod	119-1891-B
prodigal	119-1904-B,119-1922-B
prodigality	119-1941-B,119-1962-B,119-1983-B,119-2004-B,119-2027-B,119-2047-B
produce	119-2069-B,119-2089-B,119-2103-B,119-2116-B,119-2129-B,119-2146-B,119-2161-B,119-2175-B
production	119-2187-B,119-2208-B
productivity	119-2230-B,119-2248-B,119-2266-B,119-2288-B,119-2308-B
profane	119-2328-B,119-2344-B
profanity	119-2359-B,119-2379-B,119-2399-B,119-2417-B
professionally	119-2435-B
proficiency	119-2463-B,119-2481-B,119-2499-B,119-2519-B
proficient	119-2538-B
profit	119-2556-B,119-2570-B,119-2585-B,119-2599-B,119-2614-B,119-2627-B,119-2643-B,119-2656-B,119-2676-B,119-2689-B,119-2702-B,119-2716-B,119-2730-B,119-2743-B,119-2758-B,119-2773-B,119-2788-B,119-2802-B,119-2814-B,119-2827-B,119-2841-B,119-2854-B,119-2867-B,119-2881-B,119-2895-B,119-2907-B
profligacy	119-2921-B,119-2942-B
profligate	119-2963-B,119-2981-B
profusion	119-2999-B,119-3020-B,119-3040-B,119-3059-B,119-3078-B
progeny	119-3097-B
program	119-3112-B,119-3126-B,119-3141-B,119-3156-B,119-3170-B,119-3184-B
progress	119-3200-B,119-3215-B,119-3233-B,119-3248-B,119-3267-B,119-3286-B,119-3305-B,119-3322-B,119-3337-B,119-3353-B,119-3370-B,119-3392-B
prohibit	119-3412-B,119-3426-B,119-3443-B,120-0-B,120-17-B
prohibition	120-32-B,120-51-B,120-70-B,120-92-B,120-114-B,120-138-B,120-159-B,120-180-B,120-201-B,120-219-B,120-237-B,120-255-B,120-272-B
project	120-294-B,120-311-B,120-327-B,120-342-B,120-357-B
projection	120-372-B,120-388-B,120-406-B,120-426-B
prologue	120-447-B
prolong	120-471-B,120-490-B,120-508-B,120-525-B
prominence	120-539-B,120-559-B
prominent	120-578-B,120-598-B
promiscuity	120-617-B
promise	120-639-B,120-654-B,120-668-B,120-682-B,120-696-B,120-710-B,120-724-B,120-740-B,120-754-B,120-768-B,120-782-B,120-797-B,120-812-B,120-827-B,120-841-B
promontory	120-856-B,120-871-B,120-886-B,120-902-B
promote	120-918-B,120-934-B,120-950-B
promotion	120-969-B,120-987-B
prompt	120-1013-B
promptly	120-1028-B
promptness	120-1044-B
pronounce	120-1061-B
pronouncement	120-1078-B,120-1100-B,120-1122-B,120-1145-B,120-1164-B,120-1184-B,120-1205-B
pronunciation	120-1225-B,120-1246-B,120-1267-B,120-1289-B,120-1311-B,120-1333-B,120-1354-B,120-1375-B,120-1397-B,120-1419-B,120-1442-B,120-1462-B,120-1483-B
proof	120-1505-B,120-1520-B,120-1536-B,120-1551-B,120-1569-B,120-1585-B,120-1601-B,120-1617-B,120-1629-B,120-1641-B,120-1654-B,120-1667-B,120-1681-B,120-1694-B,120-1709-B,120-1723-B,120-1738-B
proofread	120-1753-B,120-1771-B
prop	120-1792-B,120-1806-B,120-1816-B,120-1828-B,120-1840-B,120-1851-B,120-1866-B,120-1879-B,120-1889-B,120-1900-B,120-1914-B,120-1924-B,120-1935-B,120-1946-B,120-1957-B,120-1970-B,120-1980-B,120-1990-B
propaganda	120-2000-B,120-2020-B,120-2041-B,120-2059-B
propagate	120-2078-B
propagation	120-2097-B,120-2116-B,120-2139-B,120-2160-B
