attachment	11-1709-B,11-1731-B,11-1751-B,11-1767-B
attack	11-1786-B,11-1799-B,11-1814-B,11-1829-B,11-1843-B,11-1858-B,11-1876-B,11-1890-B,11-1903-B,11-1917-B,11-1931-B,11-1945-B,11-1960-B,11-1975-B,11-1994-B,11-2011-B,11-2024-B,11-2037-B,11-2049-B,11-2061-B
attacker	11-2074-B,11-2089-B,11-2105-B,11-2122-B,11-2140-B,11-2162-B
attain	11-2182-B,11-2197-B,11-2210-B
attar	11-2227-B
attempt	11-2239-B
attend	11-2255-B,11-2272-B
attendance	11-2287-B,11-2307-B
attention	11-2329-B,11-2348-B,11-2365-B,11-2382-B,11-2402-B,11-2422-B,11-2442-B,11-2462-B,11-2482-B,11-2500-B,11-2518-B,11-2537-B,11-2556-B,11-2574-B,11-2593-B,11-2610-B
attentive	11-2627-B,11-2647-B,11-2666-B
attentiveness	11-2683-B,11-2703-B,11-2723-B,11-2747-B,11-2769-B,11-2791-B,11-2814-B
attest	11-2837-B,11-2855-B,11-2870-B,11-2888-B,11-2904-B
attestation	11-2920-B,11-2944-B,11-2963-B,11-2982-B
attic	11-3004-B
attitude	11-3015-B
attract	11-3030-B,11-3047-B,11-3066-B,11-3080-B,11-3096-B,11-3110-B,11-3125-B
attraction	11-3140-B,11-3156-B,11-3178-B,11-3196-B,11-3213-B,11-3230-B
attractive	11-3252-B,11-3270-B
attractiveness	11-3288-B,11-3310-B
attribute	11-3331-B,11-3346-B
aubergine	11-3361-B,11-3381-B,11-3403-B,11-3424-B
auctioneer	11-3446-B,11-3464-B,11-3484-B,11-3501-B
audacious	11-3519-B,11-3537-B
audacity	12-0-B
audience	12-17-B,12-34-B
audit	12-51-B,12-64-B,12-78-B
auditor	12-91-B,12-106-B,12-122-B,12-138-B
auger	12-155-B,12-166-B
augment	12-178-B
aunt	12-194-B,12-210-B,12-226-B,12-240-B
austerity	12-254-B,12-270-B
authenticate	12-288-B,12-309-B
authentication	12-333-B,12-360-B,12-382-B,12-404-B
authenticity	12-429-B,12-451-B
authorities	12-473-B,12-490-B
authority	12-507-B,12-524-B,12-541-B,12-558-B,12-575-B,12-590-B,12-605-B,12-622-B,12-640-B,12-658-B,12-674-B,12-690-B,12-707-B
authorization	12-727-B,12-748-B,12-769-B
authorize	12-790-B,12-808-B,12-829-B,12-850-B
automatic	12-869-B
automobile	12-894-B,12-913-B,12-933-B,12-952-B
autonomy	12-972-B,12-992-B
autumn	12-1011-B
avalanche	12-1025-B,12-1046-B
avarice	12-1065-B,12-1079-B,12-1093-B,12-1109-B,12-1127-B,12-1141-B,12-1154-B,12-1167-B,12-1180-B,12-1193-B,12-1207-B,12-1221-B,12-1237-B,12-1253-B,12-1268-B
avaricious	12-1282-B,12-1301-B,12-1317-B
average	12-1338-B,12-1356-B
aversion	12-1372-B,12-1390-B,12-1405-B,12-1421-B,12-1437-B,12-1453-B,12-1471-B,12-1487-B,12-1505-B,12-1523-B
avert	12-1542-B
aviation	12-1555-B
avidity	12-1573-B,12-1586-B
avoid	12-1599-B,12-1612-B,12-1623-B,12-1636-B,12-1650-B,12-1662-B,12-1677-B,12-1690-B,12-1709-B,12-1727-B,12-1744-B
avoidance	12-1758-B
awake	12-1775-B
awaken	12-1787-B
award	12-1801-B,12-1812-B,12-1823-B,12-1835-B
awe	12-1848-B,12-1858-B,12-1868-B,12-1877-B,12-1887-B,12-1900-B,12-1909-B,12-1920-B,12-1931-B
awkwardly	12-1941-B,12-1957-B
awkwardness	12-1978-B
awl	12-1997-B
awry	12-2010-B
axis	12-2024-B,12-2037-B
azure	12-2051-B,12-2066-B,12-2081-B
babble	12-2094-B,12-2110-B,12-2124-B
baby	12-2141-B,12-2154-B,12-2167-B,12-2180-B
babysitter	12-2194-B,12-2212-B
bachelor	12-2228-B,12-2244-B
bachelorhood	12-2262-B,12-2281-B,12-2300-B
back	12-2321-B,12-2332-B,12-2345-B,12-2359-B,12-2371-B,12-2386-B,12-2399-B
backbone	12-2410-B,12-2426-B,12-2443-B,12-2468-B
background	12-2491-B
backslide	12-2510-B
