mpira	133-1576-B
mpofu	53-2356-B
mponyi	113-573-B
mpotezi	147-2482-B
mpuzi	65-2234-B
mpweke	150-1079-B
mpyoro	80-395-B,91-2585-B
mraba	132-321-B
mradi	76-1699-B,85-2547-B,130-600-B,158-2539-B
mraruasanda	103-1684-B
mraruasanda pwaju	103-1705-B
mrehani	13-2868-B
mrembe	146-2752-B
mrembo	167-2111-B
mrithi	76-696-B
mropoko	17-487-B
mrua	115-2407-B,115-2423-B,130-961-B,130-974-B
mrungura	16-2768-B,19-2591-B
mrututu	17-2197-B,17-2215-B
msaada	5-1274-B,10-2978-B
msaala	123-1078-B
msafara	38-197-B,73-486-B
msafu	91-212-B
msago	34-1825-B
msahafu	18-1091-B,91-223-B
msala	14-411-B
msalani	14-426-B,90-1603-B
msangao	152-2209-B,173-588-B
mshadhari	15-2057-B,19-551-B,35-1462-B,39-449-B,39-1349-B,53-768-B,76-1355-B,105-637-B,144-239-B,151-2983-B,156-2496-B,164-2350-B
mshaha	88-218-B,100-389-B,157-1321-B
mshale	74-1498-B
mshamba	18-1118-B,94-767-B
mshangao	152-2230-B,173-603-B
mshawasha	138-879-B,157-2744-B
mshazari	15-2072-B,19-567-B,35-1477-B,39-465-B,39-1371-B,53-785-B,76-1369-B,105-655-B,144-255-B,151-3000-B,156-2511-B,164-2366-B
mshenzi	13-1912-B,135-2645-B
mshikamano	29-1809-B
mshindano	34-1409-B
mshindo	17-1985-B
mshirika	10-3174-B
mshono	139-3053-B
msiba	99-1821-B
msimamizi	154-539-B
msingi	68-1669-B,68-2360-B
msiri	32-2221-B
msirimbi	92-2542-B
msisimko	141-810-B,142-544-B
msisitizo	84-1661-B
msitu	21-1303-B
msogeo	9-163-B
msomi	85-809-B
msongano	38-211-B
msonge	38-226-B
mstarehe	123-1698-B,125-3146-B,127-803-B,128-2219-B,130-2030-B
msukosuko	49-461-B,164-839-B
msumari	102-436-S
msumeno	135-3036-S
msururu	92-2556-B,139-789-B,151-3016-B
mtaala	91-489-B
mtaawa	127-1981-B
mtafaruku	164-1006-B
mtaguso	36-895-B
mtai	82-122-B,173-2936-B
mtama	98-2809-B
mtambaazi	84-565-B,129-398-B
mtambazi	84-582-B,129-416-B
mtambo	162-981-B
mtawa	127-1998-B
mtawalia	34-1844-B,112-1900-B
mtawalio	34-1866-B,112-1922-B
mtelemko	44-849-B
mtemba	113-2609-B
mtendaji	58-2933-B,98-2480-B
mteremko	44-866-B,144-1619-B
mteremo	26-1465-B
mtesaji	112-1397-B,161-263-B
mtindi	21-2179-B,37-589-B
mtindo	100-544-B
mtindo mmoja	34-1888-B
mtoki	164-680-B
mtoro	134-1195-B
mtu	57-1568-S,70-651-S,70-672-S,70-697-S,70-722-S,70-741-S,70-764-S,126-3126-S
mtu wa siasa	115-2513-B
mtume	98-1219-B
mtumiaji	119-1904-B
mtungi	114-172-B
mtwana	124-1382-B
mtweo	171-1105-B
muafaka	9-235-B
muawana	10-2996-B,76-1089-B,154-2117-B
muda	111-2995-B,153-1839-S,158-303-B,158-2391-S
muda si muda	153-1839-B,158-2391-B
mudu	32-1440-B,96-1898-B,151-2134-B
mufti	53-3177-B,61-1301-B,100-943-B,152-3057-B
muhali	1-2156-B,46-772-B,81-1608-B,81-1692-B,81-1917-B
muhimu	56-2488-B,81-1330-B,109-2209-B,142-1783-B,166-2387-B
muhina	17-1467-B,17-1480-B
muhisani	15-2242-B
muhtasari	33-3003-B,60-648-B,108-31-B,117-1330-B,130-2704-B
muhula	19-1599-B,85-3276-B
mukafaa	18-960-B
mukofu	18-974-B
mulika	14-1225-B,70-2003-B,141-86-B,141-300-B
mumbi	16-2269-B,16-2283-B
mumunya	26-1818-B,71-192-B,96-2097-B,101-2300-B,101-2381-B,153-1628-B
mung unya	26-1832-B,71-206-B,96-2116-B
mungu	24-2172-S,44-2741-B,61-1957-B,110-1189-S
munya	26-1848-B,71-222-B,96-2137-B
munyamunya	26-1860-B,71-234-B,96-2154-B
muradi	14-2614-B
muri	63-2355-S
murua	6-1971-B,36-1744-B,42-517-B,54-0-B,71-2118-B,88-2600-B,88-2615-B,115-2292-B,115-2439-B,130-987-B
muruwa	6-1985-B,54-14-B,71-2133-B,88-2630-B,88-2646-B,115-2305-B
mus	2-780-B,56-2320-B,65-1738-B,139-1058-B,153-1423-B
mushkeli	46-1262-B,105-827-B,119-733-B,165-581-B
musiki	101-2710-B
mustarehe	22-1200-B,30-948-B,123-1713-B,125-3166-B,127-823-B,128-2235-B,130-2044-B
mutasari	33-3024-B,60-666-B,108-49-B,117-1347-B,130-2721-B
muujiza	173-619-B
muundombinu	83-1976-B
muungu	44-2755-B,61-1968-B
muuya	2-525-B,4-2502-B,5-1911-B,40-391-B,40-404-B,58-1951-B,99-1838-B,166-742-B
muuzaji	161-1510-B
muziki	101-2723-B
mvi	10-825-B
mvinjari	93-1447-B
mvinyo	172-1684-B
mviringo	27-1694-B,133-1083-B,147-1134-B
mvua	29-247-S,124-358-S,124-386-B,124-396-B,124-428-S,124-451-B,124-465-B
mvugulio	19-2606-B,77-957-B
mvuke	39-2363-B,57-958-B,76-44-B,79-954-B,100-1500-B,150-69-B,167-2561-B
mvurugano	47-2033-B,48-884-B
mvuto	11-3196-B,11-3310-B
mwafaka	2-85-B,5-448-B,13-2159-B,108-2004-B
mwaga	48-2939-B,54-2485-B,136-884-B,147-1312-B
mwagaa	132-1441-B
mwago	70-1112-B
mwaguzi	50-614-B,107-1149-B,146-770-B
mwaiko	148-449-B
mwajiriwa	54-2074-B
mwaka	137-2160-S,137-2182-S
mwake	76-1767-B,77-1115-B
mwakilishi	128-2401-B
mwako	64-1453-B,92-1015-B,174-2003-B
mwale	14-1237-B,64-1465-B,124-1940-B
mwali	14-1248-B,64-1477-B,83-2523-B,95-791-B,124-1950-B
mwaliko	86-3196-B
mwamba	28-2168-B
mwambao	29-1048-B
mwamuzi	126-628-B
mwana	144-628-S
mwanaadamu	112-1968-B
mwanachuo	136-1317-B
mwanagenzi	8-3111-B,15-722-B
mwanaharamu	14-289-B
mwanahewa	113-2004-B
mwanaisimu	93-0-B
mwanajeshi	145-2376-B
mwanakijiji	168-2151-B
mwanakondoo	89-2217-B
mwanamaji	135-186-B
mwanamapinduzi	131-2289-B
mwanambuzi	88-1905-B
mwanamchezo	11-1368-B,31-815-B,114-2401-B,148-0-B
mwanamgambo	98-2606-B
mwanamuziki	101-2760-B
mwanamwali	70-1446-B,95-804-B,168-2752-B
mwanamwari	70-1462-B,95-822-B,168-2770-B
mwananchi	27-2161-B
mwanariadha	11-1388-B,148-22-B
mwanawe	138-2835-S,158-515-S
mwandamano	119-1170-B
mwandani	30-2405-B
mwandikiwa	3-1020-B
mwandiko	174-987-B
mwandiko wa fumbo	27-1543-B,29-1539-B
mwanga	173-242-B
mwangalizi	154-962-B
mwangamizi	45-307-B
mwangaza	92-1027-B,172-1616-B
mwangu	99-39-B,102-189-B
mwanguko	22-31-B,60-2929-B
mwangwi	53-143-B
mwani	137-2314-B
mwanzi	13-717-B
mwanzi wa pua	104-451-B
mwanzo	15-813-B,83-2454-B,146-1607-B,149-1476-B
