shujaa	19-1180-B,36-1484-B,76-2165-B,76-2177-B,169-2301-B
shuka	5-2270-B,29-2270-B,44-647-B,47-3476-B,51-2567-B,60-2836-B,89-2605-B,143-594-B
shukrani	72-584-B,72-603-B,158-1570-B,158-1586-B
shuku	50-3047-B,155-520-B,155-828-B,173-1675-B
shukuru	158-1540-B
shule	1-2811-B,1-2825-B,136-1368-B,136-1381-B
shulu	12-2566-B,108-508-B,137-1675-B,139-2941-B,150-2052-B,150-2096-B,171-1806-B
shundwa	80-212-B,80-226-B
shungi	30-276-B,37-1353-B,67-3071-B,93-1898-B,95-2602-B,114-995-B,157-60-B,162-2976-B,164-550-B
shupaa maneno	4-902-B,84-1586-B
shupavu	19-1193-B,63-2634-B,74-2899-B,105-1700-B,133-906-B,152-1314-B,161-863-B
shupaza	32-2592-B,75-0-B,151-1868-B,154-2305-B,161-877-B
shurti	16-86-B,102-2598-B,105-358-B,149-169-B,169-965-B
shuru	12-2583-B,108-524-B,137-1686-B,139-2952-B,150-2109-B,171-1818-B
shurua	97-994-B
shuruti	16-97-B,31-150-B,102-2340-B,102-2615-B,105-376-B,105-520-B,149-182-B,169-978-B
shurutiana	105-15-B
shurutisha	31-166-B,43-945-B,66-542-B,105-536-B
shurutisho	118-1292-B,150-1887-B
shurutiza	31-185-B,43-964-B,66-560-B,105-555-B
shusha	47-3493-B,51-2579-B,89-2617-B,94-1209-B
shusha pumuzi	58-3399-B
shusha pumzi	58-3421-B,59-1787-B,142-1181-B
shuta	61-1015-B
shuti	63-2492-B,63-2505-B,141-1260-B,141-1275-B,141-2052-B,141-2063-B,152-409-B,152-422-B
shutumu	1-2520-B,1-2718-B,85-233-B,85-445-B,102-413-B,125-830-B,128-2948-B,128-3121-B,129-135-B,136-1665-B,136-2039-B
shuzi	61-1040-B,64-2157-B,150-491-B
shwari	22-1239-B,110-2681-B
si kiasi yake	1-1294-B,9-828-B,75-15-B
si muda	153-1839-S,158-2391-S
si punde	46-3089-S,146-388-S,158-2415-S
sia	114-1541-B,162-567-B
siagi	21-1990-B,21-2003-B,37-602-B,37-614-B
siasa	2-1685-B,2-1700-B,11-2683-B,11-2703-B,23-1300-B,23-1443-B,23-1461-B,98-1710-B,107-1197-B,115-2111-B,115-2124-B,115-2513-S,115-2537-S,115-2562-B,115-2577-B,156-1203-B,156-1214-B
sibabi	1-2535-B,85-249-B,131-1310-B,143-2652-B
sibu	1-2549-B,4-987-B,49-1860-B,74-2466-B,85-264-B,105-2796-B,131-1325-B,143-2668-B,151-2789-B,163-1018-B
sidukia	1-3166-B,3-2155-B,4-3037-B,32-1088-B,32-2522-B,121-2388-B,168-566-B
sifa	3-1326-B,3-1341-B,8-2510-B,8-2524-B,11-3331-B,11-3346-B,25-1735-B,25-1750-B,25-2068-B,25-2088-B,64-1998-B,64-2012-B,123-28-B,123-41-B,125-2176-B,125-2196-B
sifonjo	147-2659-B,147-2674-B
sifu	3-1356-B,3-1371-B,8-2538-B,8-2552-B,25-1765-B,25-1780-B,30-1232-B,30-1250-B,57-2899-B,64-1951-B,70-2503-B,90-1412-B,117-727-B,117-797-B,117-809-B,125-2216-B,125-2236-B,129-742-B,129-758-B,130-796-B
sifunjo	147-2689-B,147-2704-B
sifuri	104-628-B,104-643-B,174-2493-B,174-2505-B
sigara	27-1239-B,27-1252-B
sigareti	27-1265-B,27-1280-B
sigereti	27-1295-B
signali	76-721-B,76-740-B,142-1601-B,142-1616-B
siha	151-1616-B,151-1630-B
sihi	15-579-B,15-2804-B,22-872-B,38-1209-B,56-161-B,81-941-B,112-3301-B,129-840-B,166-2316-B
sihia	161-2756-B
sihiri	16-843-B,25-2690-B,25-2703-B,54-2684-B,61-1051-B,95-368-B,95-381-B,156-1621-B,156-1637-B,172-2317-B,172-2335-B
sijafu	38-1498-B,38-1510-B
siki	168-2279-B,168-2292-B
sikia	45-1023-B,62-1411-B,75-2400-B,76-429-B,93-574-B,104-699-B,104-2547-B,111-1811-B,165-1624-B
sikilivu	11-2647-B,50-1465-B,104-2396-B,157-558-B
sikiliza	93-588-B
sikilizana	4-3052-B,32-518-B
sikitika	72-2587-B,99-2186-B,126-2389-B
sikitikisha	72-2604-B,134-2234-B
sikitiko	72-2424-B
sikitisha	72-2624-B,134-2254-B
sikivu	11-2666-B,50-1481-B,104-2414-B,157-577-B
sikiza	93-605-B
sikizano	5-486-B
sikolojia	121-3294-B,121-3315-B
siku	39-1495-S,39-1511-B,40-1201-B,40-1210-B,57-1587-S
siku hizi	90-1014-B,104-1237-B
siku ya uzalishi	16-1858-B
siku za kale	66-2674-B
sikukuu	62-2213-B,62-2230-B
sikuzote	57-1606-B
sila	46-2585-B,46-2597-B,136-1753-B,136-1764-B
silabu	156-68-B,156-84-B
silaka	102-1503-B
silasila	25-307-B,25-322-B
silika	102-1517-B
siliki	3-2370-B,10-2754-B
silikoni	142-1982-B
silinda	39-1315-B,39-1332-B
silingi	37-149-B,37-163-B,44-585-B,44-601-B,172-1452-B,172-1469-B
silisila	25-337-B,25-352-B
simadi	62-2113-B
simama	132-1066-B,149-591-B,150-2616-B
simamia	46-2697-B,95-2259-B,108-887-B,154-474-B,154-821-B
simamika	8-2804-B,56-2857-B,149-605-B
simamisha	56-1719-B,74-1015-B,105-1790-B,134-1116-B,148-2414-B,149-621-B,150-2629-B
simanga	44-237-B,60-1346-B,100-220-B,128-3139-B,163-851-B
simango	44-499-B,100-474-B,129-152-B
simanzi	49-2143-B,49-2160-B,72-2439-B,72-2453-B,134-2511-B,134-2527-B,146-1211-B,146-1226-B
simbu	80-997-B,88-2327-B,92-925-B
sime	89-725-B,155-3046-B
simika	8-2822-B,8-2838-B,56-2877-B,149-638-B
simiri	64-938-B
simo	57-1414-B,57-1425-B,88-2307-B,88-2317-B,103-1186-B,103-1329-B,103-1339-B,104-1085-B,123-54-B,123-67-B,146-1328-B,146-1338-B,151-1079-B
simsim	139-1970-B,139-1984-B
simu	22-856-S,148-347-B,148-358-B,157-1729-S,157-1752-S,157-1773-B,157-1789-B,157-1805-S,157-1826-S
simua	94-1223-B,108-1123-B
simulia	102-897-B,127-221-B,128-2011-B,157-1999-B
simuliana	34-3047-B
simulizi	91-1335-B,103-1349-B,128-2143-B,156-1521-B
sindano	131-2790-B,131-2803-B,141-2074-B,167-1018-S,167-1107-B
sindi	148-2150-B,148-2165-B
sindika	62-1617-B,140-730-B
sindikiza	2-952-B,38-910-B,56-2285-B,118-630-B
sindikizo	2-798-B,118-998-B,118-1312-B
sindua	106-1498-B,131-567-B
sine	74-140-B
sinema	27-1310-B,27-1324-B,56-991-B,56-1006-B,147-280-B,147-297-B
sineri	65-1307-B,65-1319-B,91-236-B,91-248-B
sing	3-1295-B,11-1751-B
singa	74-736-B,96-1827-B,133-1531-B
singafuri	27-1338-B,27-1357-B
singe	14-812-B,14-826-B
singefuri	27-1376-B,27-1395-B
singiza	2-3020-B,62-1632-B,84-1302-B,118-1783-B,143-2682-B
singizia	2-3033-B,62-1647-B,84-1321-B,118-1800-B,143-2699-B
singizio	22-1503-B,95-1606-B,118-1838-B,118-1976-B,140-808-B
sini	8-2070-B,8-2086-B
sinia	162-1411-B,162-1422-B
sinikiza	38-927-B,118-647-B
sinikizo	38-1047-B,98-2751-B,118-1017-B
sinua	166-2100-B
sinukisha	108-1139-B
