tambaza maneno	51-1097-B
tambazi	37-485-B,37-1267-B
tambi	94-2499-B,94-2514-B,104-104-B,104-117-B,172-33-B
tambia	17-2689-B
tambiko	161-708-B
tambo	14-1627-B,63-714-B,76-605-B,76-618-B,91-1656-B,91-1669-B,125-57-B,131-3090-B,149-2211-B,149-2225-B,151-1676-B,156-1908-B,156-1923-B,172-431-B,172-443-B
tamboa	158-1083-B
tambua	47-898-B,47-2276-B,111-1827-B,124-2450-B,125-1938-B,127-2713-B,165-1642-B
tambulisha	41-1035-B,45-1339-B,59-2177-B,73-2363-B,80-509-B
tambuu	16-122-B,16-135-B
tambuza	66-1711-B,74-1320-B,171-336-B
tambuzi	28-1825-B,85-1493-B,141-2752-B
tamfu	169-699-S
tamia	20-999-B,75-1466-B
tamka	1-2879-B,7-1094-B,10-1122-B,41-1295-B,54-1959-B,56-433-B,120-1061-B,136-42-B,151-1986-B
tamko	1-3052-B,7-1255-B,10-1204-B,120-1164-B,120-1442-B,146-2651-B,149-2041-B,151-2077-B
tamshi	1-3065-B,7-1274-B,10-1223-B,120-1184-B,120-1462-B,147-542-B,149-2057-B,151-2090-B
tamthili	6-2614-B,6-2631-B,142-2470-B,142-2490-B
tamthilia	111-2307-B,111-2329-B,114-2355-B,114-2370-B
tamu	4-3143-B,22-2259-B,22-2270-B,32-1773-B,32-1792-B,42-3072-B,44-2565-B,44-2578-B,69-2761-B,71-811-B,98-2325-B,103-1513-B,115-47-B,115-61-B,155-1811-B
tamutamu	22-2281-B,22-2296-B,32-1811-B,32-1834-B,44-2591-B,44-2608-B
tamvua	157-74-B
tana	28-1642-B,49-727-B,139-359-B,144-1461-B,147-2154-B
tanabahi	104-730-B,105-1149-B,124-2466-B,125-894-B,165-1661-B
tanadhari	16-677-B
tanafusi	19-2246-B,142-1200-B
tanaki	129-2630-B,156-2319-B
tanashati	28-706-B,102-2079-B,118-2053-B
tanboi	76-1203-B
tanda	14-2066-B,36-2203-B,45-1377-B,60-112-B,130-246-B,151-2802-B
tandabelua	49-3448-B,49-3471-B,103-2560-B,103-2577-B,133-1361-B,133-1376-B
tandabui	29-1231-B,29-1247-B
tandarua	22-2515-B,22-2531-B,78-1504-B,78-1518-B,156-2667-B,156-2686-B
tandika	75-708-B,117-2568-B
tandiko	23-2436-B,36-2466-B,68-2161-B,96-2381-B,97-347-B,134-2371-B
tando	63-1029-B,68-1805-B,108-1697-B,155-1261-B,167-3085-B
tandu	68-1818-B,108-1708-B,155-1273-B
tandua	59-3174-B,131-582-B,165-1133-B
tanga	93-2256-B,101-1006-B,135-88-B
tangamana	3-1418-B
tangamano	5-577-B,11-166-B,17-812-B,33-1651-B,34-413-B,99-3202-B,165-3438-B
tangatanga	40-985-B,93-2270-B
tangawizi	70-1284-B,70-1301-B
tangaza	7-1110-B,20-748-B,30-1939-B,120-2078-B,122-164-B,148-574-B
tangazo	4-125-B,7-1294-B,83-1768-B,120-2059-B,122-22-B,122-125-B
tangi	156-2331-B
tango	38-1407-B,74-477-B,167-1439-B
tangu	68-170-B,143-196-B,143-208-B
tangua	1-829-B,7-935-B,7-2447-B,22-1817-B,86-1804-B,131-1752-B,155-592-B
tanguka	104-1484-B
tanguko	1-993-B,1-1534-B,7-2558-B,22-1899-B,128-1562-B,131-1653-B,155-721-B
tangulia	3-3054-B,8-154-B,66-1569-B,90-2653-B,91-132-B,117-1142-B
tangulifu	52-2006-B,54-1864-B,81-1347-B,117-2386-B,142-1740-B
tangulizi	117-1880-B
tanguo	1-1011-B,1-1553-B,7-2576-B,22-1920-B,128-1577-B,131-1672-B,155-740-B
tani	10-1679-B,15-1114-B,66-685-B,66-696-B,67-2523-B,88-135-B,151-1691-B,151-1705-B,160-2107-B
