sacrosanct	dokunulmaz
sad	acınacak
sad	bedbaht
sad	gamlı
sad	hayırsız
sad	hazin
sad	hüzün
sad	kasvetli
sad	kederli
sad	mahzun
sad	yetersiz
sad	üzgün
sad	üzüntü
sadden	kederlendirmek
sadden	kederlenmek
saddle	boyun
saddle	eyer
saddle	eyerlemek
saddle	sele
saddle	semer
saddlebag	heybe
saddlebag	hurç
saddlecloth	haşa
saddler	saraç
saddlery	saraçhane
saddlery	saraçlık
safe	emin
safe	emniyetli
safe	güvenilir
safe	kasa
safe	korkusuz
safe	mahfuz
safe	salim
safe	sağlam
safe	tehlikesiz
safeguard	himaye
safeguard	koruma
safeguard	korumak
safeguard	muhafız
safety	asayiş
safety	emniyet
safety	güven
safety	korkusuzluk
safety	selâmet
safflower	aspur
saffron	itboğan
saffron	safran
sag	bükülmek
sag	eğilme
sag	sarkma
sag	sarkmak
sag	çökmek
sag	çöküntü
saga	destan
sagacious	akıllı
sagacious	akıllıca
sagacious	arif
sagacious	ferasetli
sagacious	zeki
sagacious	zekâ
sagacity	akıllılık
sage	akıllı
sage	ağırbaşlı
sage	bilge
sage	hakimane
sagittal	sehmi
sago	sagu
sahib	efendi
sail	yelken
sailing	gemicilik
sailmaker	yelkenci
sailor	gemici
saint	aziz
saint	eren
saint	evliya
sainthood	azizler
sainthood	evliyalar
sainthood	evliyalık
sake	hatır
salaam	selâm
salaam	temenna
salacious	şehvetli
salamander	semender
salary	aylık
salary	maaş
salary	maaşlı
salary	ücret
salary	ücretli
sale	revaç
sale	satma
sale	satılış
sale	satım
sale	satış
sale	talep
salesman	satıcı
salesmanship	satıcılık
salient	fırlak
salient	çıkık
salient	çıkıntılı
saline	tuzlu
salinity	tuzluluk
saliva	salya
sallow	solgun
sally	espri
sally	gezinti
salmon	som balığı
salon	salon
saloon	galeri
salt	lezzet
salt	nükte
salt	tat
salt	tuz
salt	tuzlamak
salt	tuzlu
salt	tuzluk
saltation	hoplama
saltation	sıçrama
saltation	vurma
saltation	zıplama
saltworks	tuzla
salty	keskin
salty	tuzlu
salubrious	sıhhatli
salutary	faydalı
salutary	hayırlı
salutation	selâm
salute	selâm
salute	selâmlamak
salvation	gufran
salvation	halâs
salvation	kurtarma
salvation	kurtarış
salvation	kurtuluş
salvation	necat
salve	merhem
salve	methiye
salve	övme
salver	tepsi
salvo	bahane
samba	samba
same	aynı
same	benzerlik
same	eşit
same	mamafih
same	monotonluk
same	tekdüzelik
samovar	semaver
sample	model
sample	mostra
sample	numune
sample	örnek
sampling	seçme
sanctify	kutsallaştırmak
sanctimonious	sofu
sanction	müeyyide
sanction	tasdik
sanction	teyit
sanctuary	ibadethane
sanctuary	kutsal yer
sanctuary	mabet
sanctuary	melce
sand	kum
sand	kumsal
sand	yiğitlik
sandal	mest
sandal	sandal
sandal	çarık
sandbar	sığlık
sandpaper	zımparalamak
sandstorm	kum fırtınası
sandwich	sandviç
sandy	kumlu
sandy	kumsal
sane	akıllı
sanguinary	kanlı
sanguine	emin
sanguine	gayretli
sanguine	neşeli
sanguine	ümitli
sanitation	hıfzıssıhha
sanity	akıllılık
sap	bitirmek
sap	tüketmek
sapient	akıllı
sapper	kazmacı
sapphire	gökyakut
sapphire	safir
sappy	budala
sappy	canlı
sappy	hayatiyet
sappy	toy
sappy	toyluk
sappy	özlü
sarcasm	istihza
sardine	ateşbalığı
sardine	sardalye
sardonic	acı
sardonic	alaycı
sari	sari
sash	kuşak
