cloister	manastır
close	avlu
close	cimri
close	dar
close	hasis
close	havasız
close	kapalı
close	kapamak
close	kapanmak
close	kapatmak
close	mahrem
close	nihayet
close	saklı
close	son vermek
close	sonuç
close	sıkı
close	sıkışık
close	yaklaşmak
closet	bölme
closet	gizli
closet	hücre
closet	mahrem
closet	tuvalet
closet	özel
closure	kapama
closure	kapanma
clot	pıhtılaştırmak
cloth	bez
cloth	kumaş
cloth	örtü
clothe	kaplamak
clothing	elbise
cloud	bulut
cloud	bulutlanmak
cloud	dertli
cloud	gölgelemek
cloud	kararmak
cloud	karartmak
cloud	lekelemek
cloud	örtmek
cloudy	bulutlu
cloudy	dumanlı
cloudy	karanlık
clout	darbe
clout	hedef
clout	nüfuz
clout	vurmak
clove	yarmak ayırmak
cloven	ayrık
cloven	yarık
cloven	şeytanca
clover	yonca
clown	budalalık
clown	kabalık
clown	köylü
clown	palyaço
cloy	bıktırmak
cloy	usandırmak
club	dernek
club	dövmek
club	kulüp
club	sopa
club	toplanmak
club	çomak
cluck	gıdaklama
cluck	gıdaklamak
clue	anahtar
clue	aydınlatmak
clue	ipucu
clump	küme
clump	kümelemek
clump	yığmak
clump	yığın
clumsy	acemi
clumsy	beceriksiz
clumsy	biçimsiz
clumsy	hantal
cluster	demet
cluster	demet salkım küme
cluster	grup
cluster	hevenk
cluster	küme
cluster	salkım
cluster	tutam
clutch	kavrama
clutch	kavrama debriyaj
clutch	kavramak
clutch	yakalamak
clutter	gürültü
clutter	kargaşalık
clutter	karışıklık
clutter	koşuşmak
clutter	patırtı
clutter	yığmak
clutter	yığın
co-worker	meslektaş
coach	fayton
coach	otobüs
coach	yetiştirmek
coagulate	pıhtılaştırmak
coal	kömür
coalesce	birleşmek
coalition	birleşme
coalition	koalisyon
coarse	bayağı
coarse	bayağı kaba
coarse	hissiz
coarse	kaba
coarse	kalın
coarse	terbiyesiz
coarse	terbiyesizlik
coast	kıyı
coast	sahil
coat	ceket
coat	ceket kat tabaka palto
coat	kaplamak
coat	palto
coat	tabaka
coax	kandırmak
cobnut	fındık
cobweb	ağ
cobweb	hile
cobweb	tuzak
cobweb	örümcek ağı
cocaine	kokain
cock	anahtar
cock	horoz
cock	horoz musluk
cock	kamış
cock	lider
cock	musluk
cock	rüzgârgülü
cock	valf
cock	önder
cock-a-hoop	bozuk
cock-a-hoop	çarpık
cock-a-hoop	övüngen
cock-a-hoop	şen
cockade	kokart
cockcrow	sabah
cockle	buruşmak
cockle	buruşturmak
cockle	delice
cockle	tarak
cockroach	hamamböceği
cockroach	karafatma
cocktail	kokteyl
cocoa	kakao
coconut	Hindistan cevizi
cocoon	koza
cod	morina
code	kanun
code	kanunname
code	konum şifre
codeine	kodein
coeducation	karma eğitim
coequal	akran
coequal	denk
coequal	eş
coequal	eşit
coequal	müsavi
coerce	zorlama
coerce	zorlamak
coeval	akran
coeval	muasır
coeval	yaşıt
coeval	çağdaş
coffee	kahve
coffee	kahvehane
coffee	kıraathane
coffee	çaydanlık
coffer	kasa
coffer	kutu
coffer	para
coffer	sandık
coffin	tabut
cog	hile
cogent	inandırıcı
cogitate	düşünceli
cogitate	düşünmek
cognate	akraba
cognition	bilme
cognition	idrak
cognition	kavrama
cognition	vukuf
cohere	yapışmak
cohere	yapışmak tutmak
coherent	ahenkli
coherent	uygun
coherent	yapışık
cohesion	bağlılık
cohesion	birleşme
cohesion	iltisak
cohesion	yapışma
cohesion	yapışıklık
cohort	arkadaş
coif	bone
coif	külâh
coif	takke
coiffure	başlık
