fifth	beşinci
fiftieth	ellinci
fifty	elli
fig	incir
fight	dövüş
fight	dövüşmek
fight	dövüştürmek
fight	muharebe
fight	mücadele
fight	savaş
fight	savaşmak
figment	hayal
figment	icat
figment	uydurma
figuration	tasvir
figuration	temsil
figuration	şekil
figurative	mecazi
figurative	remzi
figurative	süslü
figurative	timsali
figure	adet
figure	değer
figure	endam
figure	fiyat
figure	görünüş
figure	gösteriş
figure	hal
figure	hesaplamak
figure	istiare
figure	numara
figure	rakam
figure	resim
figure	resmetmek
figure	sekil
figure	sima
figure	suret
figure	tavır
figure	yüz
figure	çehre
figure	şahsiyet
figure	şahıs
filament	iplik
filament	lif
filament	tel
filbert	fındık
filch	aşırmak
filch	çalmak
file	dizi
file	dosya
file	dosyalamak
file	eğe
file	eğelemek
file	halk
file	klasör
file	kuyruk
file	sıra
file	törpü
filet	ağ
filet	file
filet	fileto
filibuster	haydut
filibuster	korsan
fill	doldurmak
fill	dolmak
fill	dolmak kabarmak
fill	doymak
fill	doyumluk
fill	kabarmak
fill	tutmak
fill	yapmak
fill	şişmek
fillet	fileto
fillet	pervaz
fillet	tiriz
filling	doldurma
fillip	fiske
filly	kısrak
film	lif
film	zar
filter	filtre
filter	süzgeç
filter	süzmek
filter	süzülmek
filter	sızmak
filth	iğrenç
filth	kir
filth	kir pislik
filth	kirli
filth	kirlilik
filth	murdarlık
filth	pislik
filtrate	süzmek
fin	yüzgeç
final	final
final	kati
final	kesin
final	son
finale	bitiş
finalist	finalist
finality	kesinlik
finalize	bitirmek
finance	gelir
finance	maliye
financial	mali
financier	banker
financier	maliyeci
financier	sermayedar
find	anlamak
find	bulgu
find	bulmak
find	buluş
find	erişmek
find	karar
find	keşfetmek
find	netice
find	sezmek
find	sonuç
find	ulaşmak
fine	ala
fine	açık
fine	duygulu
fine	güzel
fine	güzellik
fine	halis
fine	hassas
fine	hoş
fine	ince
fine	ince güzel zarif hoş
fine	iyi
fine	katkısız
fine	katışıksız
fine	mükemmel
fine	para cezası
fine	zarafet
fine	zarif
finery	süs
finery	şıklık
finesse	hile
finesse	incelik
finesse	kurnazlık
finesse	ustalık
finger	aşırmak
finger	ellemek
finger	katılmak
finger	parmak
finger	çalmak
finis	hitam
finis	nihayet
finis	son
finish	bitirmek
finish	bitmek
finish	cila
finish	mahvetmek
finish	nihayet
finish	son
finish	tamamlamak
finish	yıkmak
finite	mahdut
finite	sınırlı
fink	muhbir
fir	köknar
fire	alev
fire	alevlendirmek
fire	ateş
fire	ateş etmek
fire	atmak
fire	canlandırmak
fire	cehennem
fire	fesatçı
fire	hararet
fire	kundakçı
fire	kıvılcım
fire	kışkırtmak
fire	parlamak
fire	patlatmak
fire	pişirmek
fire	püskürtmek
fire	sıcaklık
fire	teşvik etmek
fire	tutuşmak
fire	tutuşturmak
fire	yakmak
fire	yangın
fire	ısı
firm	firma
firm	katı
firm	pek
firm	pekiştirmek
firm	sabit
firm	sabit sağlam bükülmez firma
firm	sert
firm	sıkı
firm	şirket
firmament	asuman
first	baş
first	başlangıç
first	birinci
first	birincilik
first	evvelâ
