grim	ümitsiz
grimace	yüzünü buruşturma
grime	kir
grime	kirletmek
grime	pis
grin	sırıtma
grind	bilemek
grind	döndürmek
grind	ezme
grind	ezmek
grind	gıcırdamak
grind	gıcırdatmak
grind	inek
grind	ineklemek
grind	sıkıştırmak
grind	çekmek
grind	öğütme
grind	öğütmek ufalamak bilemek
grinder	bileyici
grinder	diş
grinder	peynir
grinder	öğütücü
grip	el
grip	kavrama
grip	pençe
grip	sıkı tutma kavrama
grip	tutak
grip	yakalamak
gripe	sancılanmak
gripe	sıkıntı
grisly	korkunç
grit	cesaret
grit	gıcırdatmak
grit	metanet
grit	yiğitlik
gritty	cesaret
gritty	cesur
gritty	kumlu
gritty	yiğitlik
grizzle	gri
grizzle	sinirlenmek
grizzly	gri
groan	inilti
groan	inlemek
grocer	bakkal
groggy	sarhoş
groom	güvey
groom	seyis
groom	uşak
groomsman	sağdıç
groove	alışkanlık
groove	itiyat
groove	oluk
groove	yiv
groove	âdet
grope	elle aramak
gross	brüt
gross	büyük
gross	hepsi
gross	iri
gross	iğrenç
gross	kaba
gross	kalın
gross	kötü
gross	küme
gross	tamam
gross	toptan
gross	çirkin
gross	şeni
grotesque	acayip
grotesque	garip
grotesque	kaba
grotto	mağara
grouch	homurdanma
grouch	homurdanmak
grouch	söylenme
grouch	söylenmek
grouch	vızıltı
ground	arsa
ground	bayır
ground	dip
ground	iyileşmek
ground	kurtluca
ground	mebde
ground	mesafe
ground	meydan
ground	meşecik
ground	prensip
ground	saha
ground	toprak
ground	yer
ground	yeryüzü
ground	zemin
groundless	asılsız
groundless	esassız
groundwork	temel
group	grup
group	heyet
group	küme
group	topluluk
group	öbek
grouse	söylenmek
grouse	sızlanmak
grout	telve
grove	ağaçlık
grove	koru
grow	artmak
grow	birleşmek
grow	büyütmek
grow	gelişmek
grow	ilerlemek
grow	olmak
grow	olmak büyümek yetişmek
grow	serpilmek
grow	yetiştirmek
grow	çıkmak
grower	yetiştirici
growing	büyüyen
growl	gurlamak
growl	guruldamak
growl	homurdanma
growl	homurdanmak
growl	homurtu
growl	hırlamak
grown	yetişkin
grown	yetişmiş
growth	artma
growth	büyüme
growth	gelişme
growth	inkişaf
growth	kaynak
growth	mahsul
growth	yetişme
grub	düzensiz
grub	eşelemek
grub	kurt
grub	kurtlu
grub	pis
grub	sürfe
grub	tırtıl
grub	yedirmek
grudge	haset
grudge	kin
grudge	kin garez
grudge	kıskanmak
gruff	boğuk
gruff	huysuz
gruff	huysuzluk
gruff	sert
gruff	ters
gruff	terslik
grumble	homurdanma
grumble	mırıldanmak şikayet etmek
grumble	söylenmek
grunt	homurdanmak
grunt	homurtu
grunt	hırıltı
guarantee	garanti
guarantee	garanti etmek
guarantee	kefalet
guarantee	kefil
guarantee	kefil olmak
guarantee	teminat
guarantor	kefil
guaranty	garanti
guaranty	kefalet
guard	himaye
guard	koruma
guard	korumak
guard	muhafaza
guard	muhafız
guard	muhafızlık
guard	müdafaa
guard	nöbetçi
guard	nöbetçilik
guardian	gardiyan
guardian	koruyucu
guardian	muhafız
guardian	vasi
guardianship	muhafızlık
guardianship	vasilik
guardianship	velilik
guardrail	korkuluk
guardrail	parmaklık
gudgeon	kanca
gudgeon	mihver
gudgeon	çengel
guerdon	bahşiş
guerrilla	çeteci
guess	keşfetmek
guess	tahmin
guess	tahmin etmek
guess	zan
guess	zannetmek
guesswork	tahmin
guest	davetli
guest	konuk
guest	misafir
guffaw	kahkaha
guidance	delâlet
