helpless	çaresiz
hem	baskı
hem	kenar öksürmek
hematite	hematit
hemlock	baldıran
hemp	esrar
hemp	haşiş
hemp	kendir
hemp	kenevir
hemp	şeytansaçı
hence	bundan
hence	buradan bundan dolayı
hence	itibaren
henchman	hizmetkâr
henchman	uşak
henna	kına
hep	bilgili
hep	uyanık
her	ona
her	onu
herald	haberci
herald	haberci müjdeci
herald	müjdeci
herald	teşrifatçı
herb	ot
herb	ot bitki
herbage	ot
herbage	yeşillik
herd	avam
herd	güruh
herd	küme
herd	sürü
herd	sürü(büyükbaş)
here	burada
hereafter	ahret
hereafter	ileride
hereditary	kalıtsal
heredity	irsiyet
heredity	kalıtım
herein	bunda
herewith	bununla
heritage	miras
heritage	miras kalıt
heritage	tereke
hermaphrodite	erselik
hermaphrodite	hünsa
hermit	yalnızlığı seven kimse
hermitage	zaviye
hernia	fıtık
hero	bahadır
heroin	eroin
heroism	kahramanlık
herring	ringa
herself	kendisi, kendisini, kendisine
hesitate	duraksamak
hesitate	tereddüt etmek
hew	baltacı
hew	kesmek
hew	yontmak
hew	yontmak yarmak
hew	çentmek
hex	nazar
hiatus	açıklık
hiatus	fasıla
hiatus	hemze
hickey	sivilce
hickey	tertibat
hidden	gizli
hidden	kapalı
hide	cilt
hide	gizlemek
hide	post
hide	saklamak post
hide	saklanmak
hideous	kerih
hideous	korkunçluk
hideous	çirkin iğrenç
hierarchy	hiyerarşi
hieroglyph	hiyeroglif
high	asil
high	azametli
high	ağır
high	baş
high	coşkun
high	direnmek
high	kabarmak
high	kibirli
high	mağrur
high	muhteşem
high	necip
high	pahalı
high	pikap
high	sert
high	soylu
high	yüce
high	yüksek
high	öfkelenmek
high	şiddetli
highbrow	fikir adamı
higher	amaç
highfalutin	şatafatlı
highlight	ilgi çekici olay
highlight	opera
highlight	toplantı
highly	ziyadesiyle
highly	çok
highroad	cadde
highroad	şose
highwater	doruk
hijack	çalmak kaçırmak
hike	kaldırmak
hike	yükselme
hike	yürümek
hilarious	kahkaha
hilarious	neşeli gürültülü
hill	bayır
hill	küme
hill	tepe
hill	yokuş
hill	yığın
hillock	tepecik
hillock	tümsek
hillside	yamaç
hilltop	doruk
hilt	kabza
him	ona
himself	bizzat
hinder	engellemek
hinder	engellemek mani olmak
hinder	menetmek
hindrance	engel
hindrance	engelleme
hindrance	mâni
hinge	dayanmak
hinge	destek
hinge	dönmek
hinge	esas
hinge	menteşe
hinge	reze
hint	dokundurmak
hint	ima
hint	ima etmek
hinterland	hinterlant
hip	haberdar
hip	kalça kaba et
hip	uyanık
hippodrome	hipodrom
hire	kira
hire	kiralama
hire	kiralamak
hire	ücret
hirsute	kıllı
hirsute	saçlı
hirsute	tüylü
histology	histoloji
historian	tarihçi
historic	tarihsel
historic	önemli
historical	tarihi
historical	tarihsel
historiographer	tarihçi
history	tarih
hit	başarı
hit	darbe
hit	erişmek
hit	isabet
hit	koyulmak
hit	muvaffakıyet
hit	saldırmak
hit	uymak
hit	uyuşmak
hit	varmak
hit	vurma
hit	vuruş
hit	vuruş darbe isabet başarı
hit	şans
hitch	aksama
hitch	arıza
hitch	bağ
hitch	bağlamak
hitch	engel
hitch	ilişme
hitch	ilişmek
hitch	iliştirmek
hitch	mâni
hitch	takmak
hitch	takılmak
hitch	topallama
hitch	yakalanmak
hitch	çekelemek
hitch	çekiş
hitch	çekiş engel arıza
hitchhike	otostop
hither	beriki
hither	buraya
hither	buraya(kadar)
hive	arı kovanı(gibi)
hive	biriktirmek
hive	kovan
hive	toplamak
