lighting	112-1764-B
lightly	112-1785-B
lightning	112-1802-B
lightsome	112-1821-B,112-1838-B,112-1856-B,112-1873-B,112-1888-B
lightweight	112-1903-B,112-1928-B
lignite	112-1946-B
like	112-1961-B,112-1973-B,112-1984-B,112-1994-B,112-2010-B
likelihood	112-2022-B,112-2041-B
likely	112-2063-B,112-2076-B,112-2090-B,112-2104-B,112-2115-B,112-2131-B
liken	112-2144-B
likeness	112-2160-B,112-2179-B,112-2198-B,112-2217-B,112-2234-B,112-2249-B,112-2264-B
likewise	112-2280-B
liking	112-2294-B,112-2308-B,112-2324-B
lily	112-2337-B,112-2349-B,112-2362-B,112-2373-B,112-2387-B
limber	112-2399-B
limbo	112-2415-B,112-2431-B
lime	112-2444-B
limey	112-2456-B
limit	112-2471-B,112-2481-B,112-2497-B,112-2513-B,112-2527-B,112-2541-B,112-2565-B
limitation	112-2575-B,112-2597-B,112-2620-B,112-2638-B
limitless	112-2656-B,112-2676-B
limp	112-2698-B,112-2711-B,112-2727-B
limpid	112-2741-B,112-2755-B
line	112-2770-B,112-2786-B,112-2797-B,112-2807-B,112-2819-B,112-2834-B,112-2843-B,112-2853-B,112-2865-B,112-2873-B,112-2884-B,112-2898-B,112-2912-B,112-2925-B,112-2937-B,112-2954-B,112-2966-B,112-2977-B,112-2986-B,112-2998-B,112-3007-B,112-3017-B,113-0-B,113-11-B,113-24-B,113-33-B,113-44-B,113-60-B,113-71-B,113-80-B,113-92-B,113-107-B
lineage	113-119-B,113-133-B,113-147-B,113-163-B
linear	113-175-B,113-192-B
linen	113-209-B,113-221-B
liner	113-250-B
lineup	113-262-B,113-277-B
linger	113-290-B,113-306-B
linguist	113-323-B
lining	113-338-B,113-351-B
link	113-368-B,113-378-B,113-394-B,113-405-B,113-418-B
linkage	113-435-B,113-452-B
linoleum	113-472-B
linseed	113-490-B
lintel	113-507-B
lion	113-520-B,113-531-B
lip	113-542-B,113-550-B
lipstick	113-561-B,113-584-B
liquefy	113-597-B
liqueur	113-613-B
liquid	113-628-B,113-643-B,113-657-B,113-669-B
liquidation	113-683-B
liquidity	113-703-B,113-725-B
liquidize	113-749-B
lira	113-777-B
lissome	113-788-B,113-804-B,113-819-B
list	113-837-B,113-848-B,113-861-B
listen	113-872-B
listing	113-888-B,113-905-B,113-920-B
listless	113-934-B,113-954-B,113-974-B
litany	113-995-B
literal	113-1009-B,113-1026-B,113-1040-B
lithograph	113-1056-B
lithosphere	113-1077-B
litigate	113-1098-B,113-1112-B
litigious	113-1131-B,113-1149-B
litter	113-1171-B,113-1188-B,113-1206-B,113-1229-B,113-1251-B,113-1264-B
little	113-1283-B,113-1293-B,113-1305-B,113-1322-B,113-1342-B,113-1354-B,113-1368-B
live	113-1380-B,113-1395-B,113-1407-B,113-1417-B,113-1433-B,113-1448-B,113-1463-B,113-1481-B,113-1494-B,113-1508-B
livelihood	113-1519-B,113-1537-B,113-1557-B
livelong	113-1574-B
lively	113-1591-B,113-1605-B,113-1618-B,113-1632-B,113-1647-B,113-1661-B,113-1679-B
liven	113-1695-B,113-1715-B,113-1731-B
liver	113-1749-B
liverish	113-1766-B
liverwort	113-1783-B
livery	113-1807-B,113-1822-B
livestock	113-1838-B
living	113-1852-B,113-1875-B,113-1889-B,113-1901-B,113-1913-B,113-1927-B,113-1943-B,113-1960-B,113-1976-B,113-1988-B,113-2003-B
lizard	113-2016-B
load	113-2034-B,113-2050-B,113-2065-B,113-2078-B,113-2090-B,113-2102-B,113-2115-B,113-2125-B,113-2140-B,113-2156-B,113-2172-B
loading	113-2187-B,113-2200-B
loaf	113-2217-B
loan	113-2244-B,113-2260-B
loath	113-2281-B
loathe	113-2296-B,113-2312-B
loathsome	113-2329-B
lobby	113-2352-B,113-2364-B,113-2377-B,113-2390-B
lobe	113-2404-B,113-2421-B
lobster	113-2430-B
local	113-2447-B,113-2461-B,113-2474-B,113-2487-B,113-2504-B
locale	113-2519-B,113-2532-B,113-2543-B
locality	113-2556-B,113-2571-B,113-2586-B,113-2601-B
locate	113-2614-B,113-2629-B
location	113-2650-B,113-2666-B,113-2681-B,113-2697-B,113-2712-B
lock	113-2725-B,113-2738-B,113-2752-B,113-2766-B,113-2777-B,113-2792-B,113-2808-B
locker	113-2825-B
locket	113-2838-B
lockout	113-2854-B
locksmith	113-2869-B
locomotion	113-2889-B
locomotive	113-2908-B
locus	113-2929-B,113-2941-B
locust	113-2951-B,113-2971-B
locution	113-2987-B,113-3002-B
lodge	113-3017-B,113-3031-B,113-3045-B,113-3056-B,114-0-B,114-12-B,114-25-B
lodgment	114-45-B,114-60-B
loess	114-79-B
loft	114-90-B,114-108-B
