brow	23-651-B
browbeat	23-667-B
brown	23-688-B,23-707-B,23-733-B,23-750-B,23-765-B,23-781-B
bruin	23-795-B
bruise	23-806-B,23-823-B,23-836-B,23-852-B,23-868-B,23-883-B,23-899-B
brunette	23-918-B
brunt	23-933-B,23-945-B
brush	23-957-B,23-973-B,23-989-B,23-1003-B,23-1022-B,23-1035-B
brut	23-1052-B
brutal	23-1061-B,23-1073-B,23-1092-B
brute	23-1110-B,23-1130-B,23-1143-B,23-1161-B
brutish	23-1173-B,23-1190-B,23-1205-B,23-1218-B
bubble	23-1235-B,23-1250-B,23-1268-B,23-1285-B,23-1300-B,23-1316-B,23-1333-B,23-1351-B
bubo	23-1366-B
buccaneer	23-1382-B
buck	23-1399-B,23-1412-B,23-1431-B,23-1449-B
bucket	23-1462-B,23-1476-B
buckle	23-1488-B,23-1507-B,23-1521-B,23-1533-B
buckler	23-1552-B,23-1567-B,23-1581-B
buckskin	23-1595-B
buckthorn	23-1612-B,23-1628-B
buckwheat	23-1646-B
bud	23-1665-B,23-1678-B,23-1690-B,23-1703-B,23-1722-B
buddy	23-1731-B,23-1743-B
budge	23-1757-B,23-1777-B,23-1800-B,23-1819-B
budget	23-1839-B,23-1854-B
buff	23-1866-B,23-1877-B
buffalo	23-1891-B
buffer	23-1906-B
buffet	23-1920-B,23-1933-B,23-1946-B,23-1964-B
buffoon	23-1978-B,23-1995-B
bug	23-2020-B,23-2037-B,23-2048-B,23-2071-B
bugaboo	23-2081-B,23-2096-B
bugger	23-2110-B,23-2123-B,23-2140-B
buggy	23-2157-B,23-2172-B
bugle	23-2194-B
buhl	23-2205-B
build	23-2216-B,23-2234-B,23-2250-B,23-2269-B,23-2287-B,23-2305-B,23-2318-B,23-2336-B,23-2349-B
building	23-2361-B
built in	23-2375-B,23-2391-B
built up	23-2406-B,23-2426-B
bulb	23-2441-B,23-2452-B,23-2464-B,23-2482-B
bulge	23-2504-B,23-2526-B,23-2540-B,23-2557-B,23-2571-B,23-2589-B
bulk	23-2601-B,23-2616-B,23-2632-B,23-2647-B,23-2664-B,23-2675-B,23-2693-B,23-2704-B,23-2716-B,23-2732-B
bulky	23-2746-B,23-2761-B,23-2775-B
bull	23-2785-B,23-2796-B
bulla	23-2805-B
bulldog	23-2819-B
bulldozer	23-2834-B
bullet	23-2853-B,23-2868-B
bulletin	23-2881-B,23-2898-B
bullock	23-2915-B
bullshit	23-2930-B
bully	23-2943-B,23-2953-B,23-2966-B,23-2982-B,23-2998-B
bulwark	23-3014-B,23-3032-B
bum	23-3046-B
bump	23-3069-B,23-3084-B,23-3095-B,23-3109-B,24-0-B,24-12-B,24-24-B,24-44-B,24-55-B,24-68-B,24-82-B
bumper	24-93-B,24-107-B
bumptious	24-124-B
bumpy	24-142-B,24-157-B
bun	24-173-B
bunch	24-185-B,24-197-B,24-215-B,24-227-B,24-238-B,24-251-B,24-265-B
bundle	24-278-B,24-303-B,24-317-B,24-336-B,24-350-B,24-369-B,24-382-B,24-398-B
bung	24-414-B,24-427-B,24-437-B
bungle	24-453-B,24-474-B
bunk	24-499-B,24-510-B,24-522-B
bunny	24-557-B,24-571-B
buoy	24-591-B,24-608-B
buoyancy	24-621-B,24-641-B
buoyant	24-656-B,24-678-B
burble	24-694-B,24-714-B,24-732-B,24-753-B
burden	24-771-B,24-789-B,24-807-B,24-832-B,24-844-B,24-875-B,24-892-B
burdock	24-910-B
bureau	24-930-B,24-944-B,24-957-B,24-970-B,24-987-B,24-1003-B
bureaucracy	24-1016-B,24-1039-B
bureaucrat	24-1067-B
burgeon	24-1091-B,24-1105-B,24-1121-B
burglary	24-1138-B
burial	24-1160-B,24-1173-B
burl	24-1187-B,24-1199-B
burlesque	24-1210-B,24-1230-B,24-1250-B,24-1268-B,24-1284-B
burly	24-1303-B,24-1318-B,24-1332-B
burn	24-1349-B,24-1359-B,24-1373-B,24-1390-B,24-1405-B,24-1423-B,24-1435-B,24-1447-B,24-1459-B
burner	24-1471-B
burning	24-1482-B,24-1502-B,24-1516-B
burnish	24-1532-B,24-1550-B,24-1564-B
burnt	24-1582-B
burp	24-1595-B
burr	24-1610-B,24-1620-B,24-1630-B,24-1641-B,24-1654-B,24-1667-B
burrow	24-1679-B,24-1695-B,24-1705-B,24-1717-B,24-1733-B
bursar	24-1745-B
burst	24-1763-B,24-1779-B,24-1794-B,24-1808-B,24-1829-B,24-1845-B,24-1861-B
bury	24-1876-B,24-1891-B,24-1905-B,24-1918-B,24-1932-B
bus	24-1945-B
bush	24-1957-B,24-1968-B,24-1982-B,24-1994-B,24-2017-B
bushel	24-2033-B,24-2045-B
business	24-2060-B,24-2073-B,24-2091-B,24-2107-B,24-2123-B,24-2140-B
buss	24-2156-B,24-2166-B
bust	24-2178-B,24-2190-B,24-2205-B,24-2220-B
buster	24-2232-B
bustle	24-2244-B,24-2257-B,24-2280-B,24-2297-B,24-2315-B
busy	24-2329-B,24-2339-B,24-2354-B,24-2369-B,24-2382-B
but	24-2401-B,24-2409-B,24-2419-B,24-2426-B
butane	24-2437-B
butcher	24-2451-B,24-2471-B,24-2487-B,24-2500-B,24-2514-B,24-2528-B
butchery	24-2542-B,24-2559-B,24-2576-B
butt	24-2593-B,24-2608-B,24-2622-B,24-2635-B,24-2656-B,24-2669-B,24-2679-B,24-2695-B,24-2706-B
butter	24-2715-B,24-2731-B
buttermilk	24-2749-B
buttery	24-2766-B
buttock	24-2780-B,24-2795-B
button	24-2809-B,24-2824-B,24-2844-B,24-2857-B,24-2874-B,24-2890-B
buttonhole	24-2906-B
buttress	24-2922-B,24-2943-B,24-2960-B
buxom	24-2984-B,24-2997-B,24-3011-B
buy	24-3025-B,24-3036-B,24-3053-B
buyer	24-3070-B,25-0-B
buzz	25-12-B,25-27-B,25-41-B,25-59-B,25-74-B,25-92-B
by	25-108-B,25-117-B,25-130-B,25-137-B,25-146-B,25-158-B,25-173-B,25-190-B,25-200-B
bygone	25-215-B
bylaw	25-231-B
bystander	25-249-B
byway	25-267-B
byword	25-279-B,25-296-B
cab	25-315-B
cabal	25-325-B,25-339-B,25-351-B
cabana	25-364-B
cabaret	25-378-B
cabbage	25-393-B,25-411-B,25-426-B,25-445-B
cabin	25-461-B,25-473-B,25-486-B
cabinet	25-500-B,25-524-B
cable	25-539-B,25-551-B
caboodle	25-565-B
cache	25-580-B
cachet	25-595-B,25-608-B,25-623-B,25-636-B
cackle	25-649-B,25-667-B
cacophonous	25-686-B
cadastral	25-707-B
cadaver	25-726-B,25-740-B
cadence	25-754-B,25-768-B,25-784-B,25-798-B
cadenza	25-813-B
cadre	25-827-B
cafe	25-843-B,25-852-B,25-867-B
cafeteria	25-880-B
caffeine	25-900-B
cage	25-916-B,25-930-B,25-945-B,25-960-B,25-971-B
cajole	25-991-B
cake	25-1007-B,25-1019-B,25-1038-B,25-1056-B,25-1065-B,25-1076-B
calamity	25-1089-B,25-1104-B,25-1126-B,25-1144-B
calcareous	25-1159-B,25-1181-B
calcic	25-1201-B,25-1219-B
calciferous	25-1235-B
calcification	25-1256-B,25-1282-B
calcite	25-1309-B
calculable	25-1326-B,25-1348-B
calculate	25-1367-B,25-1387-B,25-1409-B,25-1425-B,25-1446-B,25-1466-B,25-1483-B,25-1500-B
calculating	25-1521-B,25-1542-B
calendar	25-1565-B
calender	25-1581-B,25-1599-B,25-1620-B
calf	25-1638-B,25-1652-B,25-1662-B,25-1671-B
calfskin	25-1683-B,25-1699-B
calico	25-1715-B,25-1731-B
caliphate	25-1744-B
call	25-1764-B,25-1779-B,25-1795-B,25-1812-B,25-1822-B,25-1833-B,25-1850-B,25-1865-B,25-1881-B,25-1896-B,25-1915-B,25-1929-B,25-1943-B,25-1959-B
caller	25-1976-B
calligraphy	25-1991-B,25-2014-B
callous	25-2037-B,25-2052-B,25-2066-B,25-2084-B
callow	25-2112-B,25-2126-B,25-2145-B,25-2167-B
callus	25-2178-B
calm	25-2199-B,25-2210-B,25-2225-B,25-2237-B,25-2252-B,25-2263-B,25-2281-B
calomel	25-2301-B
caloric	25-2317-B,25-2333-B
calorie	25-2347-B
calorimeter	25-2362-B,25-2386-B
calumny	25-2411-B
calve	25-2426-B
calypso	25-2446-B
calyx	25-2462-B,25-2474-B
camaraderie	25-2487-B,25-2512-B,25-2532-B
camber	25-2556-B
camel	25-2569-B,25-2580-B
camellia	25-2592-B
camera	25-2609-B
camomile	25-2623-B
camouflage	25-2640-B,25-2659-B,25-2679-B,25-2704-B
camp	5-1412-S,25-2723-B,25-2737-B,25-2752-B,25-2762-B
campaign	25-2776-B,25-2794-B,25-2809-B
camping	25-2830-B
can	25-2849-B,25-2869-B
canal	25-2878-B
canard	25-2890-B
canary	25-2905-B
cancan	25-2920-B
cancel	25-2934-B,25-2947-B,25-2966-B,25-2985-B,25-2998-B,25-3012-B
cancer	25-3029-B
candid	25-3045-B,25-3061-B,25-3081-B,25-3095-B,25-3116-B
candidacy	25-3133-B
candidate	25-3152-B,25-3167-B,25-3184-B
candle	25-3204-B
candlestick	25-3215-B
candy	26-0-B,26-13-B,26-29-B,26-42-B,26-62-B
cane	26-79-B,26-90-B,26-102-B,26-122-B,26-135-B
canine	26-148-B
canker	26-162-B,26-179-B,26-196-B,26-214-B
cannabis	26-233-B,26-250-B,26-266-B
cannibal	26-283-B
cannon	26-299-B
cannonade	26-310-B
canny	26-333-B,26-350-B,26-366-B,26-378-B,26-393-B,26-404-B,26-419-B,26-433-B,26-445-B,26-457-B,26-469-B,26-482-B,26-496-B,26-510-B,26-522-B
canon	26-536-B,26-549-B,26-561-B,26-574-B,26-586-B,26-598-B
canonical	26-613-B
canonist	26-630-B
canonize	26-645-B
canopy	26-665-B,26-684-B,26-701-B,26-717-B,26-730-B,26-745-B,26-759-B
cant	26-782-B,26-798-B,26-811-B,26-825-B,26-837-B,26-861-B,26-872-B
cantankerous	26-887-B,26-905-B,26-926-B
canteen	26-946-B,26-960-B,26-975-B
cantle	26-990-B
canton	26-1004-B,26-1018-B,26-1032-B
cantonment	26-1046-B
canvas	26-1065-B,26-1082-B,26-1106-B,26-1120-B
canvass	26-1135-B,26-1152-B,26-1170-B,26-1190-B,26-1211-B,26-1231-B
cap	26-1246-B,26-1259-B,26-1269-B,26-1281-B,26-1293-B,26-1304-B,26-1312-B,26-1327-B,26-1337-B,26-1352-B,26-1361-B,26-1371-B
capability	26-1383-B,26-1402-B,26-1419-B,26-1438-B,26-1457-B,26-1478-B,26-1498-B
capable	26-1517-B,26-1535-B
capacious	26-1552-B,26-1570-B,26-1592-B
capacity	26-1609-B,26-1624-B,26-1639-B,26-1656-B,26-1675-B,26-1690-B,26-1705-B,26-1721-B
cape	26-1738-B,26-1757-B,26-1766-B
caper	26-1779-B,26-1793-B,26-1808-B,26-1827-B,26-1840-B,26-1856-B,26-1873-B,26-1888-B
capital	26-1904-B,26-1916-B,26-1931-B,26-1944-B,26-1961-B,26-1980-B,26-1996-B,26-2015-B,26-2033-B
capitalism	26-2049-B
capitalize	26-2071-B
capitulate	26-2094-B
capitulation	26-2118-B,26-2139-B
capote	26-2158-B
capriccio	26-2173-B,26-2190-B
caprice	26-2213-B
capricious	26-2228-B
capsize	26-2248-B,26-2270-B,26-2287-B
capstan	26-2314-B
capsule	26-2329-B
captain	26-2345-B,26-2360-B,26-2374-B,26-2391-B,26-2404-B,26-2423-B
caption	26-2436-B,26-2452-B,26-2492-B
captious	26-2509-B
captivate	26-2528-B,26-2550-B
captive	26-2582-B,26-2595-B,26-2610-B,26-2625-B
capture	26-2645-B,26-2658-B
car	26-2685-B,26-2695-B,26-2708-B
carat	26-2718-B
caravan	26-2731-B,26-2746-B
carbine	26-2761-B
carbonaceous	26-2778-B
carbonate	26-2800-B
carboniferous	26-2828-B,26-2851-B
carborundum	26-2876-B
carbuncle	26-2897-B,26-2913-B
carcase	26-2934-B
carcass	26-2947-B
carcinoma	26-2962-B
card	26-2979-B,26-2994-B,26-3004-B,26-3019-B,26-3032-B
cardamom	26-3042-B
cardboard	26-3058-B,26-3075-B
cardigan	26-3093-B,26-3108-B,26-3124-B
cardinal	26-3144-B,26-3157-B,26-3175-B
cardiogram	26-3192-B
care	26-3215-B,26-3230-B,26-3242-B,27-0-B,27-11-B,27-27-B,27-40-B,27-50-B,27-66-B,27-78-B,27-89-B
career	27-101-B
carefree	27-115-B,27-132-B
careful	27-152-B,27-169-B,27-186-B
