elongate	63-2523-B,63-2538-B,63-2561-B,63-2581-B,63-2602-B,63-2617-B
elope	63-2634-B
eloquence	63-2662-B
else	63-2696-B,63-2708-B,63-2718-B
elsewhere	63-2729-B
elucidate	63-2752-B,63-2774-B
elude	63-2789-B,63-2805-B
emanate	63-2833-B,63-2851-B
emancipate	63-2868-B
emasculate	63-2897-B,63-2915-B
embalm	63-2933-B,63-2946-B,63-2963-B
embargo	63-2981-B
embark	63-2999-B,63-3020-B
embarrass	63-3037-B,63-3058-B,63-3079-B,63-3097-B,63-3117-B,63-3139-B,63-3156-B
embassy	63-3179-B,63-3196-B,63-3212-B
embellish	63-3232-B,63-3258-B,63-3285-B,63-3300-B,63-3320-B
ember	63-3357-B,63-3367-B,63-3382-B
embezzle	63-3392-B
embitter	63-3421-B,63-3446-B
emblazon	63-3468-B,63-3485-B
emblem	63-3503-B,64-0-B,64-15-B,64-28-B
embody	64-48-B,64-70-B,64-88-B,64-107-B,64-131-B
embolden	64-154-B
embonpoint	64-177-B,64-198-B
embrace	64-222-B,64-236-B,64-254-B,64-273-B,64-293-B,64-310-B,64-328-B,64-347-B,64-377-B,64-392-B,64-409-B
embroider	64-424-B,64-442-B
embroil	64-462-B,64-484-B,64-499-B,64-522-B,64-545-B
embryo	64-559-B,64-579-B,64-592-B,64-605-B,64-619-B
emend	64-635-B
emerald	64-652-B
emerge	64-669-B
emergence	64-685-B
emergency	64-717-B
emigrant	64-747-B,64-765-B
emigrate	64-782-B,64-800-B
emigre	64-816-B,64-832-B
eminent	64-847-B,64-861-B,64-877-B,64-889-B,64-905-B,64-929-B,64-944-B
emir	64-960-B,64-973-B
emission	64-983-B,64-999-B,64-1018-B,64-1033-B
emit	64-1052-B,64-1063-B,64-1079-B,64-1091-B,64-1108-B
emollient	64-1124-B
emolument	64-1148-B,64-1165-B
emotion	64-1182-B,64-1196-B,64-1212-B,64-1232-B
emotional	64-1244-B,64-1264-B,64-1282-B,64-1299-B,64-1320-B
emphasis	64-1336-B,64-1355-B,64-1371-B,64-1386-B,64-1409-B,64-1424-B
emphasize	64-1441-B
empire	64-1462-B
empiric	64-1482-B
empirical	64-1500-B
empiricism	64-1519-B
emplacement	64-1544-B,64-1562-B
employ	64-1584-B,64-1598-B,64-1621-B,64-1635-B,64-1651-B,64-1668-B
employee	64-1689-B,64-1705-B
employment	64-1720-B,64-1738-B,64-1756-B,64-1776-B,64-1791-B,64-1812-B
emporium	64-1830-B
empower	64-1848-B
empty	64-1869-B,64-1884-B,64-1900-B,64-1914-B,64-1929-B,64-1940-B,64-1956-B,64-1973-B,64-1989-B,64-2003-B,64-2020-B,64-2030-B,64-2043-B,64-2056-B,64-2071-B,64-2087-B,64-2100-B
en	64-2115-B
enable	64-2123-B
enact	64-2147-B,64-2187-B,64-2207-B,64-2224-B,64-2236-B,64-2248-B,64-2271-B
enamel	64-2287-B,64-2306-B,64-2318-B
encamp	64-2330-B
encase	64-2342-B,64-2357-B,64-2377-B,64-2397-B
encaustic	64-2412-B,64-2429-B
enceinte	64-2445-B,64-2459-B
enchant	64-2475-B,64-2490-B
encircle	64-2510-B,64-2529-B,64-2548-B
encirclement	64-2564-B
encode	64-2586-B
encomium	64-2601-B,64-2617-B
encompass	64-2634-B,64-2654-B,64-2670-B,64-2689-B
encounter	64-2709-B,64-2728-B,64-2751-B,64-2775-B,64-2794-B
encourage	64-2817-B,64-2842-B
encroach	64-2866-B,64-2881-B,64-2897-B
encyclical	64-2913-B,64-2932-B
end	64-2949-B,64-2961-B,64-2971-B,64-2980-B,64-2993-B,64-3004-B,64-3015-B,64-3025-B,64-3034-B,64-3046-B,64-3057-B,64-3071-B,64-3082-B,64-3092-B,64-3109-B,64-3121-B,64-3131-B,64-3139-B,64-3147-B
endanger	64-3162-B
endear	64-3187-B
endeavor	64-3204-B,64-3218-B,64-3234-B,64-3249-B
endeavour	64-3270-B
endemic	64-3291-B,64-3307-B,64-3321-B
ending	64-3338-B,64-3350-B,64-3363-B,64-3378-B,65-0-B
endive	65-11-B
endless	65-26-B,65-51-B,65-72-B,65-86-B,65-106-B,65-121-B
endorse	65-140-B
endorsement	65-158-B
endow	65-175-B,65-192-B,65-207-B,65-229-B,65-243-B
endurance	65-256-B,65-274-B,65-294-B,65-311-B,65-331-B
endure	65-358-B,65-374-B,65-392-B,65-409-B,65-432-B
enduring	65-447-B,65-468-B,65-486-B,65-501-B
enema	65-520-B,65-535-B
enemy	65-552-B
energetic	65-567-B,65-585-B,65-600-B,65-619-B
energize	65-641-B
energy	65-657-B,65-671-B,65-683-B,65-699-B,65-712-B,65-726-B
enfold	65-740-B
enforce	65-754-B,65-772-B,65-791-B
engage	65-820-B,65-840-B,65-858-B,65-877-B,65-905-B,65-919-B,65-937-B,65-957-B,65-977-B,65-991-B
engagement	65-1011-B,65-1029-B,65-1051-B,65-1074-B,65-1095-B,65-1118-B,65-1137-B,65-1154-B,65-1170-B,65-1190-B,65-1206-B
engaging	65-1229-B,65-1244-B
engender	65-1261-B
engine	65-1280-B
engineer	65-1293-B,65-1311-B
engrave	65-1332-B,65-1350-B,65-1365-B,65-1381-B
engross	65-1407-B,65-1422-B
enhance	65-1453-B
enigma	65-1470-B,65-1485-B
enigmatic	65-1499-B
enjoin	65-1520-B,65-1549-B
enjoy	65-1566-B,65-1582-B,65-1598-B,65-1615-B,65-1628-B,65-1641-B
enlarge	65-1654-B,65-1674-B,65-1691-B,65-1723-B
enlighten	65-1744-B,65-1761-B,65-1783-B,65-1806-B
enlist	65-1822-B,65-1840-B,65-1857-B
enliven	65-1886-B,65-1908-B,65-1928-B
enmity	65-1951-B
ennoble	65-1971-B
ennui	65-1991-B
enormity	65-2015-B,65-2035-B,65-2053-B
enormous	65-2074-B
enough	65-2092-B
enrage	65-2105-B,65-2124-B
enrich	65-2146-B,65-2165-B,65-2185-B
enroll	65-2209-B
ensemble	65-2225-B,65-2243-B,65-2257-B,65-2275-B,65-2291-B
enslave	65-2309-B,65-2324-B,65-2345-B
ensue	65-2362-B,65-2385-B
ensure	65-2400-B,65-2421-B,65-2438-B
entail	65-2457-B
entangle	65-2473-B,65-2496-B,65-2519-B,65-2534-B
entente	65-2550-B,65-2565-B,65-2581-B
enter	65-2597-B,65-2613-B,65-2626-B,65-2642-B,65-2655-B,65-2672-B,65-2688-B,65-2704-B,65-2717-B,65-2730-B,65-2743-B
enteric	65-2759-B
enteritis	65-2772-B
enterprise	65-2790-B,65-2814-B,65-2836-B,65-2876-B
entertain	65-2897-B,65-2915-B,65-2937-B
entertaining	65-2960-B
entertainment	65-2984-B,65-3009-B,65-3029-B,65-3052-B,65-3076-B
enthrall	65-3098-B,65-3119-B
enthusiasm	65-3136-B,65-3167-B,65-3185-B,65-3205-B,65-3226-B,65-3243-B,65-3260-B
entice	65-3277-B
entire	65-3293-B,65-3308-B,65-3319-B,65-3338-B,65-3351-B
