fırtına	83-2133-B,183-2920-B,209-2582-B
fırtınalı	54-2133-B,90-1118-B,104-2168-B,161-236-B,181-1975-B,183-2947-B,192-177-B,211-1739-B,212-81-B
fırtınası	19-1388-S,163-2579-S,175-799-S
fırıldak	159-806-S,204-1576-B,209-2757-B
fırıldanmak	211-135-B
fırıldatmak	200-1359-B,211-155-B
fırın	14-1340-B,14-1390-B,131-1398-B,184-217-B
fırın ekmekci	14-1405-B
fırıncı	14-1373-B
fırınlama	24-1482-B
fıskiye	63-395-B
fıstık camı	138-1812-B
fısıldama	211-418-B
fısıldamak	22-1157-B,25-41-B,211-358-B
fısıltı	22-1073-B,124-2753-B,188-2790-B,201-2478-B,211-379-B,211-441-B
fıtık	94-774-B
fışkılık	61-1313-B
fışkırma	90-942-B,106-2797-B,179-2351-B
fışkırmak	67-47-B,90-959-B,106-2813-B,170-1481-B,180-2080-B
fışkırtmak	63-410-B,90-977-B,106-2830-B,179-2369-B,180-2100-B
fışırdamak	77-940-B
fışırtı	77-959-B,77-1048-B,189-1582-B
gabardin	83-1683-B
gabi	19-2964-B,61-734-B
gaddar	12-831-B,15-390-B,19-1998-B,45-400-B,45-459-S,75-3000-B,88-3004-B,121-1669-B,161-2544-B,198-2398-B,200-2242-B
gaddarca	88-3016-B
gaddarlık	12-922-B,15-536-B,122-2837-B,130-1012-B,200-2177-B
gadir	214-653-B
gadretmek	45-1024-B,49-1481-B,136-2849-B,214-665-B
gaf	19-2916-B,20-609-B,23-2796-B,40-2624-B,83-1825-B
gaf pot	19-2928-S
gafil	156-173-B,203-447-B
gaflet	126-410-B
gaga	16-524-B,18-466-B
gaga ağız	16-534-B
gagalama	134-2708-B
gagalamak	134-2722-B,137-3232-B
gaile	27-0-B
gailesiz	112-1318-B
gak	28-1486-B
gaklamak	28-1494-B
gala	144-155-B
galebe	143-3163-B,198-1158-B,206-735-B
galeri	163-1617-B
galeyan	68-3234-B,70-1562-B,75-448-B,78-3255-B,133-1227-B
galiba	8-2878-B,112-2076-B,144-2146-B,145-1912-B,166-2817-B
galibarda	115-2849-B
galip	59-307-B,198-1220-B,206-701-B,212-345-B
galiz	43-2262-B
galsame	85-1421-B
galvanizm	83-2456-B
gam	44-2753-B,164-1459-B,176-3065-B
gamet	83-2694-B
gamlı	163-48-B,177-13-B
gammazlamak	175-417-B,191-1319-B
gamze	54-611-B,54-624-S
gangster	83-2844-B,148-3366-B
ganimet	20-2549-B,114-1593-B,138-1156-B,198-1522-B
ganimet yağma	114-1606-B
ganimeti yağma	20-2563-B
gar	181-2916-B
garabet	46-120-B,81-2138-B,172-1454-B
garaj	83-3128-B
garanti	89-2389-B,89-2521-B,101-1239-B,201-2376-B,208-1450-B,208-1561-B
garanti etmek	65-2400-B,89-2407-B
garantili	14-1014-B
garaz	97-3028-B,116-2034-B,143-3597-B,179-539-B
gardenya	84-97-B
gardiyan	89-2694-B,108-272-B,200-439-B
gardırop	208-702-B
garez	52-280-B,89-2152-S,179-233-B,205-556-B,211-2072-B
gargara	84-183-B,123-2802-B
garibesi	122-2743-S
garip	6-2413-B,18-1928-B,46-189-B,62-628-B,69-2420-B,71-1150-B,71-1214-S,73-1396-B,73-1429-S,81-2181-B,83-460-B,89-1049-B,108-1808-B,117-1999-B,121-887-B,127-2191-B,131-1014-B,134-2753-B,134-2818-S,150-1881-B,151-446-B,155-3383-B,172-1471-B,184-1153-B,202-1929-B,210-773-B,212-2822-B
garip adam	43-2003-B
garip hoş	150-255-S
garnizon	84-490-B
garp	210-1325-B
garson	207-2372-B
gasp	71-618-S,87-1900-B
gastrit	84-816-B
gavur	201-114-B
gaybubet	1-2085-B
gayda	14-1150-B
gaye	5-1478-B,7-2317-B,21-1235-B,28-887-B,42-1383-B,51-2388-B,60-539-B,64-3025-B,86-2753-B,118-1902-B,118-2703-B,140-2294-B,192-2204-B
gayesiz	64-3034-B,140-2456-B
gayet	64-847-B,98-1760-B,110-718-B
gayret	10-27-B,11-2146-B,53-3254-B,60-1552-B,62-3035-B,64-3218-B,65-3167-B,75-1059-B,75-1125-B,75-1262-B,102-234-B,148-2460-B,185-1787-B,185-1962-B,205-2286-B,206-1569-B,214-2406-B
gayretli	9-3659-B,11-2181-S,53-3333-B,65-3185-B,75-1140-B,104-2478-B,163-2695-B,184-2294-B,185-924-B,185-1803-B,208-994-B,214-2442-B
gayretsiz	109-2256-B
gayri	131-0-B,164-884-B
gayri meşru	98-79-B
gaz	108-519-B
gazal	8-352-B,84-1540-B
gazap	7-1818-B,83-772-B,93-804-B,101-2634-B,151-1850-B,213-2728-B
gazel	115-2287-B,129-250-B
gazete	84-1554-B,107-847-B,126-1721-B,132-2583-B,145-1031-B,169-2429-B
gazete muhabiri	156-2889-B
gazeteci	107-952-B,126-1704-B,126-1738-B
gazetecilik	107-929-B
gazino	27-1853-B
gazlamak	84-586-B
gazlı	84-643-B,84-803-B
gazlı bez	84-1366-B
gazoz	141-1891-B,175-2134-B
gebe	18-11-B,64-2445-B,99-2049-B,143-3532-B,150-2420-B
gebe kalma	37-435-S,37-472-B
gebe olmak	37-138-S
gebelik	85-292-B
gebeliği onleyici	40-1739-B
gec	110-935-B
gec olu rahmetli	110-945-B
gece	67-3452-B,126-2143-B
gece kulubu	126-2185-B
geceleyin	126-3072-B,131-2127-B
gecelik	126-2209-B
gecen	110-729-B,133-3224-B,134-430-B
gecen zaman	63-636-B
gecenlerde	110-970-B
gecer	129-1285-B,133-2851-B,159-1858-B,162-1840-B
gecerli	18-1067-B,46-654-B,62-2236-B,79-2904-B,133-2867-B,177-820-B,204-1077-B
gecerlik	46-561-B,177-835-B
gecerlilik	62-2126-B
gecersiz	14-633-B,105-1670-B,127-2758-B,202-3149-B
gecesefası	81-698-B
geceye ait	126-3092-B
gecici	48-1104-B,66-1073-B,71-1748-B,82-2424-B,122-1935-B,123-969-B,133-3239-B,148-124-B,192-345-B,197-482-B,197-716-B,207-931-B
gecici arzu	73-1150-S
gecici erteleme	157-76-B
gecicilik	192-377-B
gecidi sığ gecit	80-216-S
gecikme	49-2160-B,52-1654-B,95-1062-B,110-922-B,158-1621-B,207-2349-B
gecikme tehir	49-2174-B
gecikmek	49-2194-B,113-290-B,158-1636-B,191-730-B
geciktirme	30-868-B,52-1451-B,158-1652-B
geciktirmek	49-2209-B,52-1386-S,52-1469-B,145-2636-B,149-2396-B,158-1670-B
gecim	22-304-B,46-2736-B,108-150-B,108-288-B,113-1519-B,113-1913-B,155-1542-B,188-119-B,188-2596-B,188-2710-B
gecimli	36-154-B
gecimsiz	135-2587-B
gecindirmek	188-134-B
gecinen yırtıcı	143-2606-S
gecinme	113-1537-B,113-1927-B,186-1662-B
gecinmek	69-2064-B,73-1651-B,85-522-B,113-1433-B,113-1943-B,116-2536-B,186-1644-B
gecirgen	37-3083-B,136-1982-B
gecirgenlik	136-2002-B
gecirme	73-1723-B,197-175-B,197-1010-B
gecirme duzeltme	159-126-S
gecirmek	29-2733-B,37-2865-B,41-414-B,44-2763-B,57-654-B,63-3392-S,85-536-B,87-1921-S,99-1542-B,113-1448-B,113-2217-S,118-180-B,128-2899-S,133-2726-B,146-3034-B,147-314-B,149-2412-B,155-362-S,158-2276-S,162-910-B,173-2647-B,178-1590-B,183-623-S,183-1188-S,197-193-B,201-1659-B
gecirmez	209-346-S,209-457-S
