hatıl	16-586-B,85-1909-B,184-2718-B
hatır	119-2074-B,120-2890-B,163-1171-B
hatıra	101-1160-B,108-366-B,156-0-B,195-1474-B,198-1537-B
hatırlama	7-1142-B,154-127-B,156-96-B
hatırlamak	153-1923-B,153-1981-B,154-148-B,156-17-B,157-443-B,193-2214-B
hatırlanacak	127-1060-B
hatırlatmak	146-3172-B,156-53-B
hatırı sayılır	39-128-B
hatırşinas	4-1603-B
hav	78-2880-S
hava	5-1557-B,13-341-B,20-1026-B,120-1699-B,124-1862-B,173-595-B,178-3081-B,199-1664-B,209-2636-B,211-2642-B
havaalanı	4-1525-B
havacı	13-2088-B
havacılık	13-2029-B
havacıva	5-2632-B
havadar	5-1677-B,22-1756-B
havadis	162-655-B,194-1826-B
havai	4-1494-B
havalandırma	4-1471-B
havalandırmak	4-1449-B,205-805-B
havalanma	190-1658-B
havale	35-1298-B,53-207-S,53-256-B,130-1632-B,155-2237-B,197-212-B
havali	57-3771-B,126-661-B,143-1534-B,150-1376-B,155-266-B
havalimanı	5-1645-B
havalı	177-2665-B
havan	123-1100-B
havaneli	137-1260-B
havari misyoner	8-2558-B
havasını boşaltmak	49-1189-B
havasız	33-64-B,185-2400-B
havhav	21-1532-B
havlama	15-1211-B,214-1014-B,214-1793-B
havlamak	15-1224-B,16-244-B,214-1805-B
havlu	196-1383-B
havlı	59-2436-B,125-742-B
havra	189-2443-B
havsala	44-2559-B,135-835-B
havuc	27-1059-B
havuz	15-2108-S,141-1413-B,141-1663-B,153-2509-B,190-2808-B
havuz balığı	87-351-B
havuz golcuk	141-1424-B
havuz liman	58-2143-B
havuz toplamak	141-1674-B
havza	157-2105-B
haya	169-465-B,192-2843-B,192-3095-B
hayal	27-2759-B,47-2051-B,50-473-B,60-550-B,73-1138-B,75-2414-B,76-168-B,98-529-B,98-800-B,98-960-B,98-1002-B,137-1908-B,144-719-B,158-3402-B,168-2720-B,169-825-B,172-641-B,178-709-B,206-2670-B
hayal goruntu	137-1922-B
hayal kapris gecici arzu	73-1150-B
hayal kırıklığı	54-3012-B,111-2173-B
hayal kırıklığına uğratmak	56-483-B
hayal yalan	75-2473-S
hayalet	8-2932-B,137-1947-B,168-2553-B,168-2733-B,169-837-B,178-3093-B,180-252-B
hayali	5-1690-B,11-2956-B,30-2332-B,50-488-B,60-562-B,73-1412-B,75-2532-B,104-898-B,125-78-B,178-1196-B,186-576-B,206-2747-B
hayali acayip garip	73-1429-B
hayalperest	73-1071-B,73-1459-B
hayasız	101-697-B
hayasızlık	62-3092-B,98-2149-B
hayat	69-2195-B,207-17-B,213-1530-B
hayatiyet	106-2206-B,163-2913-B
hayatta kalmak	188-2117-B
haydi	193-932-B
haydut	14-2451-B,22-26-B,22-2283-B,76-881-B,81-2436-B,132-446-B,160-1029-B
haykırma	25-1850-B,170-3007-B
haykırmak	16-121-S,16-148-B,25-1865-B,28-589-B,95-1189-B,170-2426-B,170-3024-B,173-253-B,180-1671-B,214-1353-B
haykırtmak	173-270-B
haykırış	16-164-B,95-1207-B,131-499-B,173-288-B,180-1689-B,211-1091-B,214-1369-B
haylaz	121-1567-B,125-1964-B,125-2058-S,146-1186-B
haylazca	146-1204-B
haylazlık	67-281-B,121-1473-B
hayli	39-160-B,124-222-B,144-2658-S,158-46-B,161-593-B,210-949-B
hayli cok onemli	39-179-B
hayli oldukca	151-181-B
haymatlos	181-2711-B
hayran olmak	3-2942-B
hayret	17-2567-B,39-1883-S,39-1916-B,117-1945-S,118-2042-B,149-2916-B,150-954-B,185-2860-B,188-1663-B,212-2708-B,212-2879-B
hayret verici	11-3573-B
hayrete duşmek	11-3534-S
haysiyet	7-277-B
haysiyetli	147-3243-B
haysiyetsiz	56-330-B,57-249-B
hayta	115-445-B
hayvan	7-2208-B,16-1017-B,23-1130-B,23-1431-S,43-3061-B
hayvan yavrusu	45-1583-B
hayvan yemi	147-3450-B
hayvanat bahcesi	215-0-B
hayvanca vahşi	17-2059-B
hayvansal	7-2222-B
hayvanı	137-1276-S
hayıflanmak	17-2529-B,207-2240-B
hayır	13-433-B,17-1042-B,17-1192-B,87-576-B
hayır sahibi	17-1116-B
hayırdua	17-1013-S
hayırlı	17-1287-B,87-588-B,163-1863-B
hayırsever	29-3113-B
hayırseverlik	6-3524-B,29-3223-B,137-2258-B
hayırsız	163-59-B,207-830-B
hayız	136-1453-B
haz	49-2300-B,49-3283-B,88-1317-B,90-1096-B,107-1055-B,132-1233-B,139-2876-B
hazar	134-2301-B,134-2460-B
hazcılık	93-1726-B
hazin	60-661-B,83-319-B,123-2485-B,138-2960-B,163-74-B,176-3191-B
hazine	121-0-B,149-1441-B,193-1226-B,197-2406-B,197-2464-B,198-2199-B
hazmetmek	11-2447-B,183-1904-B
hazmetmek sindirmek	53-2758-S
hazne	153-2526-B,157-2121-B,183-2705-B,204-564-B
hazzetme	112-2308-B,191-1022-B
hazzetmek	49-3295-B,155-1198-B
hazım	11-2468-B,53-2791-B,135-2689-B
hazır	13-1561-B,46-1718-B,77-400-B,80-2347-B,90-3005-B,91-801-B,98-1779-B,129-2498-B,144-843-B,146-3192-B,153-244-B,168-1020-B,203-945-B
hazır bulunma	144-734-B
hazır bulunmak refakat	12-1796-B
hazırcevap	156-1994-B,198-529-B
hazırcevaplık	75-279-B
hazırlama	37-3350-B,144-260-B,144-306-B,148-0-B
hazırlamak	10-1352-B,22-1808-B,39-1619-S,41-871-B,58-2021-B,66-2321-B,77-708-B,85-588-B,85-1813-B,132-36-B,144-389-B,168-1031-B
hazırlamak cay demlemek	22-1840-S
hazırlanmak	10-1372-B,144-409-B
hazırlık	10-1393-B,144-283-B,144-329-B,144-463-B,148-21-B
hazırlıksız	70-3061-B,99-2635-B
haşa	163-311-B
haşarat	205-1818-B
haşefe	8-534-B
haşere	103-2142-B
haşin	1-1934-B,3-94-B,15-612-B,59-1712-B,79-2843-B,92-129-B,100-1978-B,148-3243-B,168-2081-B,169-1294-B,182-2246-B,188-1441-B
haşin korkunc	88-3030-B
haşin merhametsiz	92-208-S
haşinlik	3-113-B,13-470-B,92-142-B
haşiv	140-421-B
haşiye	86-1508-B,142-1274-B
haşiş	26-233-B,94-96-B,117-1162-B
haşlama	164-1402-B
haşlamak	16-181-B,17-1773-B,20-878-B,27-818-B,77-2886-B,152-1365-B,160-952-B,164-1417-B
haşlanmak	20-893-B
haşmet	86-1309-B,108-1761-B,116-1303-B
haşmetli	116-1248-B,181-2768-B
haşıl	172-2631-B
he	92-1124-B
hece	70-1152-B
heceleme	178-1833-B
heceli	141-1076-S
hecin	25-2580-B,60-1979-B
hedef	7-2329-B,18-2734-B,21-1247-B,28-898-B,33-643-B,51-2400-B,52-539-B,60-575-B,60-1058-B,60-1120-S,86-2763-B,117-1304-B,121-2443-B,128-898-B,128-1030-B,140-2322-B,186-416-B,191-436-B
hedef amac nişan	5-1487-B
heder	208-2208-B
hediye	17-2148-S,21-1704-B,59-577-B,85-1217-B,88-1582-B,144-858-B
hedonizm	93-1746-B
hegemonya	93-2182-B
hekim	58-2265-B,111-1019-B,137-3031-B
hekimlik	119-555-B,137-2962-B
hektar	93-1570-B
hela	203-2455-B
helak	52-838-B,73-3190-B,161-2862-B
helezon	178-2948-B,178-3005-B
helikopter	93-2637-B
helis	93-2695-B,178-2963-B,178-3019-B
helisel	178-2976-B
helyum	93-2681-B
hem	6-1359-B
hematit	94-50-B
hemcins	74-3070-B,172-2068-B
hemen	6-1080-S,7-3195-B,54-1438-B,60-2300-B,80-2441-B,80-2493-S,80-2516-B,103-3570-B,107-2500-B,129-1821-B,144-1218-B,158-2469-B,176-2099-B,184-552-B,193-1078-B
hemen cabuk harekete gecme	146-3206-B
hemen hemen	6-1080-B
hemen olan	103-3510-B
hemhudut	40-979-B,42-878-B
hemze	94-1045-B
hemşire	128-93-B,172-2083-B
hemşire dadı emzirmek	128-108-B
hemşirelik	128-215-B
hendek	53-3062-S,58-295-B,59-2962-B,90-1137-B,197-2841-B
hendese	85-38-B
hengame	159-2953-B
hep	5-2715-B,68-272-B
hepsi	5-223-B,25-565-B,89-895-B,196-470-B,210-1698-B,210-1756-B
her	8-1562-B,63-285-B,68-354-B
her biri	8-2243-B
her defa	6-1934-B
her gunku	58-448-B,151-666-B
her halde	8-1606-S
her nasılsa her halde	8-1606-B
her zaman	6-1950-B
her zaman hic	68-210-S
her şeye gucu yeten	6-1007-B
her şeye inanan	44-362-B
hercumerc	152-1235-B
herhangi biri	8-1677-B
herif	74-3085-B,90-1163-B,93-2071-S,124-708-B
herifcioğlu	199-2167-B
herkes	5-2723-B,8-1591-B,68-376-B
herze	18-237-B
hesaba katmak	39-37-S
hesap	2-1568-B,10-599-B,18-476-B,25-1409-B,42-1511-B,67-2100-B
hesap cuzdanı	133-3143-B
hesap etmek saymak	153-3124-B
hesap tahmin	67-2115-B
hesaplama	36-3672-B
hesaplamak	25-1425-B,76-438-B,164-1469-B
hesaplaşma	32-1311-B
hesaplaşmak	165-343-B
hesapsız	42-2245-B,103-1334-B,127-2880-B,203-19-B
hevenk	24-238-B,33-1183-B,90-3017-B
heves	6-2719-B,51-2944-B,65-3226-B,72-309-B,100-2049-B,108-844-B,115-1900-B,178-3108-B,205-2299-B,214-2431-B
hevesli	61-2792-B,72-761-B,88-2363-B,158-515-B
hevesli istekli	61-2806-B
hevessiz	178-3121-B
heybe	163-279-B
heybet	116-1319-B,176-172-B
heybetli	60-469-B,74-1389-B,80-1966-B,87-3159-B,88-227-B,122-3072-B,126-2935-B,141-2832-B,154-1333-B,176-111-B,181-2786-B,185-3034-B,186-822-B,197-2698-B
heybetli urkutucu	80-1986-B
