kandırmak	18-404-B,33-1834-B,53-1596-B,56-3340-B,105-2019-B,116-2553-B,150-2989-B,190-1255-B,192-434-B
kandırıcı	137-126-B
kanepe	42-1100-B,168-1374-B,175-2337-B
kangal	34-11-B
kangren	125-3075-B
kangrenli	83-2825-B
kani	38-61-B
kaniş	15-791-B,141-1639-B
kankan	25-2920-B
kanlı	19-1929-B,19-2012-B,124-1428-B,163-2663-B
kanon	161-605-B
kanser	26-2962-B
kanserli	25-3029-B
kansız	19-1829-B
kantaron	28-2243-B
kantin	26-960-B
kanton	26-1018-B
kanun	3-328-B,26-549-B,33-2353-B,64-2236-B,110-1765-B,118-2987-B,155-871-B,162-90-B,182-286-B
kanunen	198-2744-B
kanunlaştırmak	64-2248-B
kanunname	33-2364-B
kanunsuz	110-1835-B,201-2709-B
kanunsuz evlilik dışı	98-105-B
kanunsuzluk	121-2022-B
kanyon	30-286-B
kanı	67-1903-B
kanıt	68-521-S,101-1908-B,101-2091-B,147-80-B,192-2908-S,192-3039-B
kanıtlama	145-2002-B
kanıtlamak	147-3349-B,186-2264-B,192-2888-B
kaos	29-1663-B
kap	22-2620-S,26-1757-B,44-2248-B,142-1478-B,153-2543-B,203-2548-B,203-2939-B,205-2477-B
kapak	43-386-B,47-329-B,112-561-B,213-2697-B
kapak kanat	77-1855-B
kapalı	33-79-B,45-1403-B,94-1102-B,99-289-B,124-728-B,171-665-B,181-2108-B,185-2416-B
kapama	33-338-B,171-678-B
kapamak	19-1545-B,26-1281-B,33-93-B,43-398-B,44-946-B,64-2342-B,64-2586-B,113-2725-B,128-2737-B,165-3192-B,171-690-B,173-873-S,183-2367-B
kapan	174-3036-B,197-1748-B
kapanca	197-1759-B
kapanma	33-353-B
kapanmak	33-107-B,72-2289-B,113-2738-B
kapanık	47-953-B,135-2022-B
kapanır	34-526-S
kapanış	38-361-B,212-47-B
kapasite	26-1478-B
kapasite hacim memnuniyet	40-569-S
kapatma	37-2225-B
kapatmak	33-122-B,92-2703-B,97-857-B,100-1089-B,113-2752-B,128-3273-B,135-878-B,171-703-B
kapital	26-1980-B
kapital stok fon	83-99-B
kapitalizm	26-2049-B
kaplama	27-1696-B,43-593-B,43-701-B,71-3046-B,131-1663-B,131-2055-B
kaplamak	24-1968-B,26-701-B,27-835-B,33-429-B,33-1797-B,41-1293-B,43-412-B,60-40-S,71-2622-B,79-1297-B,88-924-B,91-901-B,106-1625-B,112-2898-B,131-2288-B,137-585-B,139-1921-S,179-2568-B,187-474-B,205-324-B
kaplamak yayılmak	137-602-B
kaplan	194-2126-B
kaplanboğan	122-2270-B
kaplumbağa	196-103-B,200-637-B
kaplıca	15-2628-B,177-1968-B
kapma	87-1910-B,165-920-B,174-2935-B
kapmak	98-1379-B,138-1477-B,175-125-B,190-1271-B
kapmak ele gecirmek	87-1921-B
