zurafa	85-1782-B
zurna	32-15-B
zurriyet	19-1963-B,51-1797-B,73-666-B,84-2340-B,142-1105-B
zuğurt	98-3094-B,101-2564-B
zuğurtluk	101-2583-B
zıddiyet	8-148-B
zımba	148-3028-B,181-759-B
zımbalama	148-2982-S
zımbalamak	148-3041-B,181-1724-B
zımbırtı	185-2351-B
zımni	190-218-B
zımparalamak	163-2555-B
zındık	146-303-B
zıpcıktı	203-1853-B
zıpkın	178-336-B
zıpkınlamak	92-10-B
zıplama	26-1873-B,96-97-B,163-1764-B,173-205-S
zıplamak	21-905-B,26-1888-B,96-110-B,107-2011-B
zıplatmak	21-697-B,21-921-B,107-2026-B
zıpzıp	117-982-B
zırdeli	114-1114-B
zırh	10-830-B
zırva	18-2482-B,95-2717-B
zırva sacmalık	24-522-S
zırıldamak	210-2808-B
zırıltı	152-2171-B,185-2369-B,210-2827-B
zıt	1-609-B,4-978-B,8-189-B,8-697-B,41-95-B,42-1902-B,44-2901-B,51-1210-B,51-1368-B,55-2990-B,103-162-B,130-675-B,157-929-B
zıt karşıt	40-2529-S
zıtlaşma	38-712-B
zıtlaşmak	38-732-B
zıtlık	4-991-B,8-1214-B,40-2392-B,40-2588-B,55-3007-B,130-755-B,157-944-B
zıvana	41-1881-B
ıhlamur	195-693-B
ıl mak dok ul mek	142-2418-S
ılgım	121-932-B
ılıca	177-1981-B,193-1122-B
ılık	115-1070-B,192-69-B,192-1733-B,208-1122-B
ılıklık	208-1134-B,208-1261-B
ılım	66-2008-B
ılım vakar	66-2026-B
ılımlı	120-2024-B,122-704-B,122-1024-B,175-1439-B,182-876-B
ılımlı hafifletmek	122-723-B
ılımlılık	40-1017-B,120-2039-B,122-772-B,122-1041-B,175-1502-B,192-26-B
ırak	156-639-B
ırgat	26-2314-B,211-2893-B
ırk	78-279-B,135-2399-B,151-942-B,183-1574-B
ırkcılık	151-952-B
ırmak	24-1459-B,160-650-B,184-1959-B
ırzına gecme	152-726-B
ıskarmoz	159-1265-B
ıskarta	210-169-B
ıslah	6-3216-B,41-2743-B,99-2935-B,153-3293-B,154-1035-B,154-2513-B,154-2800-B,156-1827-B
ıslahatcı	99-2950-B
ıslahevi cezaevi	135-1669-B
ıslak	31-2777-S,31-2828-B,122-1481-B,210-1465-B
ıslan t mak	175-1080-B
ıslanma	175-1098-B
ıslanmak	47-312-B,122-1512-B,176-2354-B,210-1476-B
ıslatma	175-1115-B
ıslatmak	15-2685-B,47-260-B,54-967-B,59-1767-B,60-787-B,122-1530-B,208-1916-B,210-1490-B
ıslık	211-463-B
ıslık calmak	211-479-B
ıslıklamak	27-3231-B
ıslıklı	171-1005-B
ısmarlama	46-1549-B,101-1381-B,130-1754-B
ısmarlamak	101-1399-B,130-1771-B,139-441-B
ıspanak	178-2568-B
ısrar	136-2993-B,203-2404-B
ısrar etmek	136-3118-B
ısrar etmek yalvarmak	66-282-B
ıssız	51-3278-S,51-3376-B,114-463-B,114-555-B,176-1161-B,207-902-B
ıstakoz	113-2430-B
ıstampa	132-457-B,148-3059-B,161-1867-B,181-675-B,181-774-B
ıstırap	5-608-B,8-1483-B,57-3416-B,88-2897-B,93-333-B,121-2005-B,132-808-B,132-891-B,134-194-B,137-521-B,187-254-B,198-1875-B,213-1939-B
ısı	25-2333-B,76-2658-B,93-936-B,192-127-B
ısınma	79-117-B,193-469-B
ısınmak	93-947-B,170-324-B,208-1150-B
ısıolcer	25-2386-B
ısırgan	126-1375-B
ısırma sokma	18-1738-B
ısırmak	18-1758-B,29-967-B
ısırık	18-1773-B
ısıtmak	29-227-B,208-1165-B
ısıtıcı	93-1072-B
ıtriyat	136-1221-B
ıtır	67-1229-B,85-115-B,136-1152-B
ızdırap keder	7-2121-B
ızgara	88-1095-S,88-1175-B,88-2764-B,88-2777-B,88-2990-B
ış ma	34-1284-S
ışık	86-215-S,109-1766-B,112-1571-B,130-1172-B
ışık dargın bakış	85-2586-S
ışık sacmak	170-340-B
ışıklı	22-2431-B
ışıkolcer	137-2819-B
ışıldak	166-529-B
ışıldamak	19-1197-B
ışıltılı	5-640-B,170-398-B
ışın	86-15-B,152-2528-B
ışın yayan	151-1298-B
ışın yaymak	151-1339-B
ışınları kırmak	154-2814-B
ışını	187-1535-S
ışığı	123-34-S
şablon	134-1639-B,182-1767-B
şafak	47-2019-B
şafak tanyeri	47-1939-B
şaft	168-2944-B
şah	168-2956-B
şahadet	12-2412-B,12-2465-B,13-869-B,68-601-B,192-3056-B
şahadetname	28-3168-B,192-3014-B
şahane	98-3514-B,108-1793-B,116-1286-B,154-3550-B,161-1507-B,165-2466-B,177-1830-B,179-698-B
şahane imparatorluğa ait	98-3531-B
şahbaz	205-2044-B
şaheser	117-3018-B
şahika	92-2115-B
şahin	72-1864-S,72-1916-B,92-1329-B,95-440-B
şahit	13-888-B,68-619-B,212-2041-B
şahitlik	192-3075-B,212-2056-B
şahlanma	151-2903-B
şahlanmak	151-2918-B,153-880-S
şahmerdan	138-1088-B,151-2810-B,199-1939-B
şahsen	112-884-B,136-3486-B
şahsiyet	76-606-B,136-3192-B,136-3245-B,136-3426-B,167-243-B
şahsiyet zat	136-3265-B
şahsiyetsiz	18-2627-B
şahtere	82-3053-B
şahıs	29-2278-B,74-3003-B,76-623-B,101-3444-B,116-2466-B,136-3209-B,136-3448-B,167-258-B,177-603-B
şahıs kimse	136-3224-B
şair	15-819-B,121-607-B,172-1159-B,176-1978-B
şairlik	140-2199-B
şaka	14-944-B,15-169-B,29-300-B,82-3094-B,95-285-B,106-1941-B,106-2774-B,107-551-B,110-311-B,139-2323-B,139-2771-B,173-384-B,179-1525-B,212-2090-B
şaka muziplik	95-296-B
şaka oyun	143-576-S
şaka yapmak	107-562-B
şakacı	71-2751-B,107-110-B,139-2396-S,139-2439-B,151-498-B,173-1247-B,174-849-B,207-2082-B
şakacılık	139-2456-B,139-2788-B,151-2108-B
şakak	192-297-B
şakalaşmak	29-312-B
şakayık	135-2272-B
şaki	153-1484-B,160-1059-B,194-1245-B
şaklama	43-1459-B
şakraklık	207-234-B
şakul	20-571-B
şakıma	208-525-B
şakımak	172-1055-B,208-541-B
şakşakcı	139-1617-B
şal	117-630-B,169-1933-B,183-1833-B,199-814-B
şalgam	200-424-B
şalter	189-1702-B
şamama	95-2393-B
şamandıra	78-1361-B
şamar	173-1087-B,174-900-B
şamar tokat	173-1099-B
şamata	16-1609-B,54-657-B,142-2109-B,151-1137-B,151-1826-B,159-3024-B,162-733-B,177-1162-B,203-1601-B
şamatacı	128-2713-B,151-1152-B,199-2137-B
şamdan	25-3215-B
şamfıstığı	138-2632-B
şampanya	29-983-B
şampiyon	29-1050-B
şampuan	169-623-B
şampuanlama	169-640-B
şan	86-1405-B,109-232-B,110-1564-B,156-1663-B,157-1322-B
şangırdamak	30-2458-B,32-2612-B
şangırdatmak	30-2478-B,32-2632-B
şangırtı	32-2653-B
şanjman	84-1681-B
şanlı	86-1243-B,98-728-B
şans	22-714-B,27-2559-B,29-1151-B,80-3025-B,91-1307-B,92-1595-B,94-2756-B,115-717-S,115-740-B,170-2249-B
şanslı	80-2826-S,115-779-B,147-2436-B
şanssız	202-474-B,202-1730-B
şantoz	10-3056-B
şap	6-1876-B
şapka	92-705-B
şapkacı	92-849-B
şapırtı	174-913-B
şapşal	82-1836-B,173-2987-B,174-181-B,174-253-B
şarampol	132-1539-B
şarap	171-317-B,212-160-B
şarbon	8-569-B
şark	62-367-B,130-2592-B
şarkuteri	49-3158-B
şarkı	29-1588-B,176-1897-B,184-970-B
şarkı soyleme	29-1602-B
